,PseudoTime1,PseudoTime2
E971_213,0.266,NA
E72_588,0.73651,NA
E778_461,NA,0.57716
E977_478,NA,0.59849
E59_278,0.34755,NA
E301_334,NA,0.41782
E252_570,NA,0.71393
E393_602,NA,0.75408
E342_499,NA,0.62484
E207_340,NA,0.42535
E115_356,0.44542,NA
E73_660,0.82685,NA
E741_324,NA,0.40527
E155_468,0.58595,NA
E119_651,0.81556,NA
E519_20,NA,0.02384
E330_27,NA,0.03262
E471_697,0.87327,NA
E837_109,0.13551,NA
E820_753,0.94354,NA
E448_361,0.45169,NA
E883_479,NA,0.59975
E433_700,0.87704,NA
E102_542,NA,0.6788
E844_22,NA,0.02635
E993_318,0.39774,NA
E242_290,NA,0.36261
E484_11,NA,0.01255
E505_52,0.06399,NA
E676_98,0.12171,NA
E653_221,NA,0.27604
E32_490,NA,0.61355
E101_410,0.51317,NA
E620_491,NA,0.61481
E682_737,NA,0.92346
E219_347,0.43413,NA
E61_336,0.42033,NA
E192_713,NA,0.89335
E128_365,NA,0.45671
E608_441,NA,0.55207
E876_660,0.82685,NA
E184_495,0.61982,NA
E465_322,NA,0.40276
E0_674,0.84442,NA
E283_614,NA,0.76913
E720_620,NA,0.77666
E20_332,NA,0.41531
E187_172,0.21455,NA
E196_673,NA,0.84316
E956_466,NA,0.58344
E204_514,0.64366,NA
E672_456,NA,0.57089
E849_1,NA,0.0
E836_774,0.96989,NA
E522_258,0.32246,NA
E137_260,NA,0.32497
E239_271,0.33877,NA
E806_62,NA,0.07654
E586_458,NA,0.5734
E919_376,NA,0.47051
E424_56,NA,0.06901
E907_152,0.18946,NA
E178_742,0.92974,NA
E33_591,NA,0.74028
E754_702,0.87955,NA
E594_255,NA,0.3187
E491_463,NA,0.57967
E697_683,NA,0.85571
E706_232,0.28984,NA
E292_355,NA,0.44417
E767_527,NA,0.65997
E376_535,NA,0.67001
E299_658,NA,0.82434
E368_782,0.97992,NA
E745_518,NA,0.64868
E520_188,NA,0.23463
E503_119,NA,0.14806
E589_121,0.15056,NA
E906_592,0.74153,NA
E392_435,0.54454,NA
E309_427,NA,0.5345
E734_567,NA,0.71016
E534_240,0.29987,NA
E235_382,0.47804,NA
E674_277,NA,0.3463
E714_105,0.13049,NA
E56_660,NA,0.82685
E289_358,0.44793,NA
E264_439,0.54956,NA
E976_78,0.09661,NA
E277_352,0.4404,NA
E441_565,0.70765,NA
E648_773,NA,0.96863
E483_165,NA,0.20577
E693_470,NA,0.58846
E171_576,NA,0.72146
E908_324,0.40527,NA
E468_478,0.59849,NA
E502_63,NA,0.07779
E948_210,0.26223,NA
E25_765,NA,0.95859
E605_461,0.57716,NA
E426_467,NA,0.58469
E855_172,NA,0.21455
E727_407,NA,0.50941
E588_139,0.17315,NA
E52_32,NA,0.0389
E624_235,NA,0.2936
E13_409,NA,0.51192
E500_347,NA,0.43413
E373_421,NA,0.52698
E432_86,0.10665,NA
E388_342,0.42785,NA
E789_260,NA,0.32497
E332_533,NA,0.6675
E860_180,0.22459,NA
E23_771,NA,0.96612
E657_696,NA,0.87202
E108_62,NA,0.07654
E406_563,NA,0.70514
E486_393,0.49184,NA
E337_721,0.90339,NA
E60_479,0.59975,NA
E532_130,NA,0.16186
E380_13,0.01506,NA
E638_347,NA,0.43413
E556_422,NA,0.52823
E162_424,NA,0.53074
E926_675,0.84567,NA
E584_40,NA,0.04893
E800_27,0.03262,NA
E852_247,0.30866,NA
E744_591,NA,0.74028
E254_464,0.58093,NA
E466_218,0.27227,NA
E788_435,0.54454,NA
E414_3,NA,0.00251
E996_621,0.77792,NA
E360_148,0.18444,NA
E774_780,0.97742,NA
E24_681,NA,0.8532
E323_85,0.1054,NA
E815_345,0.43162,NA
E43_147,NA,0.18319
E359_677,NA,0.84818
E135_770,0.96487,NA
E195_54,0.0665,NA
E649_428,NA,0.53576
E900_244,NA,0.30489
E185_229,NA,0.28607
E110_636,NA,0.79674
E141_163,0.20326,NA
E190_433,NA,0.54203
E176_39,NA,0.04768
E840_500,NA,0.6261
E645_587,NA,0.73526
E67_562,0.70389,NA
E614_590,0.73902,NA
E959_488,0.61104,NA
E31_370,0.46299,NA
E208_323,0.40402,NA
E845_487,0.60979,NA
E211_467,0.58469,NA
E905_260,NA,0.32497
E312_286,0.35759,NA
E546_490,0.61355,NA
E496_299,NA,0.3739
E177_31,NA,0.03764
E104_511,0.6399,NA
E983_749,0.93852,NA
E533_202,0.2522,NA
E7_633,NA,0.79297
E272_370,NA,0.46299
E381_792,0.99247,NA
E134_183,0.22836,NA
E892_135,NA,0.16813
E673_20,0.02384,NA
E348_234,0.29235,NA
E894_139,NA,0.17315
E975_61,NA,0.07528
E362_549,0.68758,NA
E213_137,0.17064,NA
E459_584,NA,0.73149
E708_350,NA,0.43789
E218_683,NA,0.85571
E773_496,0.62108,NA
E385_362,0.45295,NA
E291_733,NA,0.91844
E550_506,NA,0.63363
E765_729,NA,0.91343
E833_234,NA,0.29235
E515_572,NA,0.71644
E240_315,0.39398,NA
E897_463,0.57967,NA
E865_573,NA,0.71769
E260_521,NA,0.65245
E542_396,NA,0.49561
E131_92,NA,0.11418
E864_652,0.81681,NA
E507_538,0.67378,NA
E349_449,0.56211,NA
E377_336,NA,0.42033
E872_496,0.62108,NA
E621_320,NA,0.40025
E434_456,NA,0.57089
E41_220,NA,0.27478
E828_622,NA,0.77917
E563_302,NA,0.37767
E276_408,NA,0.51066
E565_138,0.17189,NA
E866_763,0.95609,NA
E270_658,0.82434,NA
E729_479,NA,0.59975
E372_215,0.26851,NA
E69_5,NA,0.00502
E703_11,0.01255,NA
E751_678,0.84944,NA
E120_531,NA,0.66499
E967_376,0.47051,NA
E251_449,NA,0.56211
E704_757,0.94856,NA
E667_185,0.23087,NA
E355_554,0.69385,NA
E951_564,0.7064,NA
E367_435,NA,0.54454
E16_577,0.72271,NA
E407_670,NA,0.8394
E27_688,0.86198,NA
E415_588,0.73651,NA
E941_153,NA,0.19072
E293_243,0.30364,NA
E298_353,NA,0.44166
E559_727,NA,0.91092
E770_488,0.61104,NA
E557_321,NA,0.40151
E450_47,0.05772,NA
E902_644,0.80678,NA
E456_573,NA,0.71769
E811_403,0.50439,NA
E354_445,0.55709,NA
E761_310,NA,0.3877
E122_383,NA,0.4793
E583_590,0.73902,NA
E304_516,NA,0.64617
E955_323,0.40402,NA
E578_678,NA,0.84944
E118_603,0.75533,NA
E961_489,0.6123,NA
E841_785,0.98369,NA
E365_97,0.12045,NA
E427_14,NA,0.01631
E249_764,NA,0.95734
E357_608,NA,0.76161
E572_179,NA,0.22334
E461_553,0.6926,NA
E70_266,0.3325,NA
E295_378,0.47302,NA
E576_383,0.4793,NA
E887_115,NA,0.14304
E512_17,NA,0.02008
E604_761,0.95358,NA
E142_20,NA,0.02384
E642_127,NA,0.15809
E775_304,0.38018,NA
E394_708,NA,0.88708
E46_200,NA,0.24969
E921_301,0.37641,NA
E437_81,0.10038,NA
E750_509,0.63739,NA
E635_504,NA,0.63112
E132_486,NA,0.60853
E374_233,NA,0.29109
E220_276,0.34504,NA
E492_421,NA,0.52698
E217_318,NA,0.39774
E358_764,0.95734,NA
E425_652,NA,0.81681
E170_405,0.5069,NA
E551_730,0.91468,NA
E306_408,0.51066,NA
E987_123,NA,0.15307
E771_43,0.0527,NA
E221_600,NA,0.75157
E560_147,NA,0.18319
E428_176,NA,0.21957
E103_504,NA,0.63112
E582_443,NA,0.55458
E160_640,NA,0.80176
E933_721,0.90339,NA
E139_366,0.45797,NA
E15_356,NA,0.44542
E268_549,NA,0.68758
E786_31,NA,0.03764
E311_292,0.36512,NA
E968_196,NA,0.24467
E256_199,NA,0.24843
E457_777,0.97365,NA
E549_729,0.91343,NA
E596_517,NA,0.64743
E216_276,0.34504,NA
E127_145,NA,0.18068
E798_17,0.02008,NA
E210_200,NA,0.24969
E801_694,NA,0.86951
E857_18,0.02133,NA
E382_158,0.19699,NA
E795_293,0.36637,NA
E319_766,NA,0.95985
E817_5,0.00502,NA
E489_726,NA,0.90966
E980_175,NA,0.21832
E148_785,NA,0.98369
E88_303,0.37892,NA
E106_24,0.02886,NA
E918_415,NA,0.51945
E784_46,NA,0.05646
E990_383,0.4793,NA
E783_562,NA,0.70389
E94_649,NA,0.81305
E191_622,0.77917,NA
E746_227,0.28356,NA
E568_694,0.86951,NA
E454_121,NA,0.15056
E937_365,0.45671,NA
E345_623,NA,0.78043
E954_19,0.02258,NA
E709_348,NA,0.43538
E246_569,0.71267,NA
E29_26,0.03137,NA
E779_471,NA,0.58971
E587_649,NA,0.81305
E826_342,0.42785,NA
E300_503,NA,0.62986
E234_513,0.64241,NA
E45_501,0.62735,NA
E787_381,0.47679,NA
E144_675,NA,0.84567
E130_407,0.50941,NA
E710_742,0.92974,NA
E244_284,0.35508,NA
E633_10,0.01129,NA
E733_767,0.9611,NA
E499_669,NA,0.83814
E371_526,0.65872,NA
E305_115,0.14304,NA
E395_333,NA,0.41656
E404_96,NA,0.1192
E350_745,0.9335,NA
E791_253,NA,0.31619
E413_254,0.31744,NA
E625_512,0.64115,NA
E194_91,NA,0.11292
E405_513,NA,0.64241
E105_587,0.73526,NA
E889_525,0.65747,NA
E165_204,NA,0.25471
E201_231,NA,0.28858
E661_116,NA,0.14429
E629_697,NA,0.87327
E166_481,0.60226,NA
E882_392,0.49059,NA
E671_483,NA,0.60477
E792_90,0.11167,NA
E75_791,0.99122,NA
E412_313,0.39147,NA
E944_61,NA,0.07528
E895_297,0.37139,NA
E334_216,NA,0.26976
E535_388,0.48557,NA
E890_74,NA,0.09159
E39_761,NA,0.95358
E575_378,0.47302,NA
E149_315,NA,0.39398
E121_579,NA,0.72522
E929_72,0.08908,NA
E843_756,0.9473,NA
E113_722,0.90464,NA
E258_469,0.5872,NA
E617_220,0.27478,NA
E151_109,0.13551,NA
E248_110,NA,0.13676
E677_72,NA,0.08908
E401_536,NA,0.67127
E732_5,0.00502,NA
E794_577,NA,0.72271
E280_178,0.22208,NA
E324_105,NA,0.13049
E530_629,NA,0.78795
E429_117,0.14555,NA
E562_554,0.69385,NA
E79_611,NA,0.76537
E449_519,NA,0.64994
E763_307,0.38394,NA
E669_684,NA,0.85696
E981_76,NA,0.0941
E233_446,NA,0.55834
E564_664,0.83187,NA
E22_41,0.05019,NA
E804_242,NA,0.30238
E398_155,0.19322,NA
E978_585,NA,0.73275
E963_233,0.29109,NA
E691_533,NA,0.6675
E689_649,0.81305,NA
E225_324,NA,0.40527
E114_440,NA,0.55082
E125_8,NA,0.00878
E229_525,NA,0.65747
E662_273,NA,0.34128
E378_222,NA,0.27729
E296_425,0.53199,NA
E539_22,0.02635,NA
E776_691,0.86575,NA
E702_724,NA,0.90715
E932_602,NA,0.75408
E994_611,0.76537,NA
E760_250,0.31242,NA
E95_554,0.69385,NA
E58_104,0.12923,NA
E76_519,0.64994,NA
E379_471,NA,0.58971
E909_48,0.05897,NA
E315_461,NA,0.57716
E529_39,0.04768,NA
E839_217,NA,0.27102
E175_101,0.12547,NA
E598_687,NA,0.86073
E543_796,0.99749,NA
E523_544,NA,0.6813
E847_607,0.76035,NA
E544_53,NA,0.06524
E928_100,0.12422,NA
E369_645,NA,0.80803
E730_783,NA,0.98118
E647_678,0.84944,NA
E49_452,NA,0.56587
E297_344,0.43036,NA
E156_778,0.97491,NA
E438_687,0.86073,NA
E593_623,0.78043,NA
E316_301,0.37641,NA
E54_560,0.70138,NA
E266_355,0.44417,NA
E112_35,NA,0.04266
E695_520,NA,0.65119
E913_373,NA,0.46675
E726_757,0.94856,NA
E917_663,NA,0.83061
E143_774,0.96989,NA
E363_324,NA,0.40527
E660_578,0.72396,NA
E472_526,NA,0.65872
E893_107,NA,0.133
E83_690,0.86449,NA
E126_541,0.67754,NA
E735_179,0.22334,NA
E273_798,1.0,NA
E35_617,NA,0.7729
E870_578,NA,0.72396
E717_611,0.76537,NA
E613_647,0.81054,NA
E694_319,NA,0.399
E871_21,0.02509,NA
E719_691,0.86575,NA
E464_208,NA,0.25972
E228_202,NA,0.2522
E179_739,0.92597,NA
E257_326,0.40778,NA
E700_798,1.0,NA
E145_333,NA,0.41656
E326_689,NA,0.86324
E366_19,0.02258,NA
E527_660,0.82685,NA
E722_632,0.79172,NA
E322_210,NA,0.26223
E957_612,NA,0.76662
E153_629,0.78795,NA
E504_16,0.01882,NA
E278_169,0.21079,NA
E384_160,0.1995,NA
E585_270,0.33752,NA
E626_26,0.03137,NA
E199_260,0.32497,NA
