	dim1	dim2	pt
E971_213	-15.505621	-3.5810316	0.266
E72_588	16.566746	-8.665556	0.73651
E778_461	1.1107075	17.89071	0.57716
E977_478	-0.2768398	8.70692	0.59849
E59_278	-4.4806743	-1.79006	0.34755
E301_334	-0.083230056	3.2679002	0.41782
E252_570	1.8895401	19.979101	0.71393
E393_602	3.6352186	18.428158	0.75408
E342_499	-0.18309484	9.317753	0.62484
E207_340	-0.62405145	3.2964165	0.42535
E115_356	4.389109	-3.386491	0.44542
E73_660	14.375937	-13.005875	0.82685
E741_324	0.14626616	7.1326337	0.40527
E155_468	16.281172	-15.225406	0.58595
E119_651	19.927109	-11.703162	0.81556
E519_20	-22.309788	-5.9308147	0.02384
E330_27	-20.367994	-4.964793	0.03262
E471_697	16.525047	-11.794701	0.87327
E837_109	-18.74704	-6.709517	0.13551
E820_753	19.610144	-11.410082	0.94354
E448_361	8.8484335	-5.154616	0.45169
E883_479	0.30894616	11.109498	0.59975
E433_700	17.150507	-8.849299	0.87704
E102_542	1.5081614	14.488499	0.6788
E844_22	-21.596716	-4.961721	0.02635
E993_318	3.0011923	-3.0523257	0.39774
E242_290	0.020577656	3.5619383	0.36261
E484_11	-22.071405	-4.81991	0.01255
E505_52	-20.329931	-4.950019	0.06399
E676_98	-19.333206	-5.808133	0.12171
E653_221	-10.645247	-3.811623	0.27604
E32_490	0.7396911	12.005214	0.61355
E101_410	8.26614	-5.2278385	0.51317
E620_491	-0.5806403	18.000544	0.61481
E682_737	2.4146595	18.529238	0.92346
E219_347	8.417153	-5.545861	0.43413
E61_336	8.440757	-5.6036863	0.42033
E192_713	1.3464477	16.574202	0.89335
E128_365	0.1532249	7.81101	0.45671
E608_441	0.090219334	6.3172984	0.55207
E876_660	15.223768	-10.58112	0.82685
E184_495	8.099263	-6.0552897	0.61982
E465_322	-2.7634783	-3.194028	0.40276
E0_674	15.595098	-8.063321	0.84442
E283_614	2.9032528	20.17474	0.76913
E720_620	2.1365695	16.31477	0.77666
E20_332	-0.28837913	5.3559704	0.41531
E187_172	-13.589578	-3.3993444	0.21455
E196_673	2.9580154	16.258587	0.84316
E956_466	-0.15806282	5.2228703	0.58344
E204_514	14.935568	-13.987888	0.64366
E672_456	-0.59301466	19.564774	0.57089
E849_1	-23.41229	-4.39612	0.0
E836_774	18.98683	-10.4967165	0.96989
E522_258	-2.8857183	-1.3756914	0.32246
E137_260	3.3168309	-2.8162193	0.32497
E239_271	4.311508	-3.2478504	0.33877
E806_62	-20.541555	-5.8511276	0.07654
E586_458	1.5126373	13.887927	0.5734
E919_376	-0.95719445	6.878488	0.47051
E424_56	-21.346647	-5.259006	0.06901
E907_152	-11.691052	-4.202772	0.18946
E178_742	15.869234	-15.026354	0.92974
E33_591	2.175932	15.472137	0.74028
E754_702	17.323252	-12.64422	0.87955
E594_255	-2.547618	-3.1827574	0.3187
E491_463	1.8055348	17.513103	0.57967
E697_683	3.3829513	15.736155	0.85571
