,PseudoTime1,PseudoTime2
E491_541,0.67754,NA
E459_651,0.81556,NA
E721_162,NA,0.20201
E495_4,NA,0.00376
E390_144,0.17942,NA
E825_529,0.66248,NA
E448_588,NA,0.73651
E248_582,0.72898,NA
E279_700,NA,0.87704
E717_213,NA,0.266
E883_608,NA,0.76161
E106_237,0.29611,NA
E339_262,NA,0.32748
E562_448,0.56085,NA
E904_712,NA,0.8921
E671_350,0.43789,NA
E440_281,NA,0.35132
E935_738,0.92472,NA
E521_413,0.51694,NA
E963_643,NA,0.80552
E811_263,0.32873,NA
E149_769,0.96361,NA
E909_300,0.37516,NA
E755_109,0.13551,NA
E179_112,NA,0.13927
E39_186,NA,0.23212
E22_632,0.79172,NA
E13_159,NA,0.19824
E306_694,0.86951,NA
E338_24,0.02886,NA
E197_649,NA,0.81305
E571_250,0.31242,NA
E952_713,NA,0.89335
E410_58,NA,0.07152
E661_87,NA,0.1079
E876_527,0.65997,NA
E27_622,0.77917,NA
E59_1,NA,0.0
E879_314,0.39272,NA
E851_773,0.96863,NA
E233_497,NA,0.62233
E778_297,0.37139,NA
E515_217,NA,0.27102
E585_325,0.40652,NA
E308_237,0.29611,NA
E634_314,0.39272,NA
E462_752,0.94228,NA
E95_476,0.59598,NA
E750_407,0.50941,NA
E553_200,0.24969,NA
E252_669,NA,0.83814
E729_396,0.49561,NA
E278_551,NA,0.69009
E418_382,0.47804,NA
E665_790,0.98996,NA
E245_658,0.82434,NA
E949_511,0.6399,NA
E997_178,NA,0.22208
E357_200,NA,0.24969
E903_3,NA,0.00251
E7_786,NA,0.98494
E82_514,0.64366,NA
E881_543,NA,0.68005
E371_341,0.4266,NA
E452_178,NA,0.22208
E177_110,0.13676,NA
E678_622,0.77917,NA
E937_685,0.85822,NA
E603_627,NA,0.78545
E964_86,0.10665,NA
E925_298,0.37265,NA
E416_116,0.14429,NA
E644_311,0.38896,NA
E785_227,NA,0.28356
E737_314,0.39272,NA
E513_179,NA,0.22334
E412_656,NA,0.82183
E804_614,NA,0.76913
E267_771,NA,0.96612
E44_503,0.62986,NA
E621_530,NA,0.66374
E563_659,NA,0.8256
E617_431,0.53952,NA
E70_645,0.80803,NA
E924_229,0.28607,NA
E608_171,NA,0.2133
E655_253,0.31619,NA
E394_610,NA,0.76412
E815_667,0.83563,NA
E170_163,NA,0.20326
E101_513,NA,0.64241
E193_404,NA,0.50565
E650_769,0.96361,NA
E645_699,NA,0.87578
E526_244,0.30489,NA
E777_607,0.76035,NA
E578_565,0.70765,NA
E134_37,NA,0.04517
E522_493,0.61731,NA
E763_277,0.3463,NA
E749_771,0.96612,NA
E987_326,NA,0.40778
E626_68,NA,0.08407
E817_519,0.64994,NA
E485_721,0.90339,NA
E927_137,0.17064,NA
E259_472,NA,0.59097
E63_703,NA,0.8808
E965_217,NA,0.27102
E293_601,NA,0.75282
E954_39,NA,0.04768
E842_526,NA,0.65872
E792_798,1.0,NA
E662_264,NA,0.32999
E745_529,NA,0.66248
E988_189,0.23588,NA
E977_62,NA,0.07654
E169_511,0.6399,NA
E536_607,0.76035,NA
E959_395,0.49435,NA
E48_551,0.69009,NA
E163_252,NA,0.31493
E4_753,0.94354,NA
E681_141,NA,0.17566
E808_241,NA,0.30113
E870_661,NA,0.82811
E433_224,0.2798,NA
E103_521,0.65245,NA
E402_793,NA,0.99373
E286_121,0.15056,NA
