	dim1	dim2	pt
E491_541	-3.182614	-12.509959	0.67754
E459_651	-4.6675625	-18.579144	0.81556
E721_162	4.1069384	18.276136	0.20201
E495_4	5.6169696	25.069103	0.00376
E390_144	1.9077599	15.061922	0.17942
E825_529	-3.2740538	-12.4869585	0.66248
E448_588	-1.8944821	-14.632657	0.73651
E248_582	-1.711095	-10.247243	0.72898
E279_700	-4.308899	-24.038961	0.87704
E717_213	1.7098954	5.977199	0.266
E883_608	0.061764996	-6.79824	0.76161
E106_237	-0.6009607	6.608801	0.29611
E339_262	2.329457	7.7658153	0.32748
E562_448	-3.7491758	0.35012633	0.56085
E904_712	-3.3849044	-19.293983	0.8921
E671_350	-3.6134021	4.092808	0.43789
E440_281	4.3468833	2.1329134	0.35132
E935_738	-4.1642647	-21.249647	0.92472
E521_413	-5.2542963	1.1188293	0.51694
E963_643	-2.7212074	-14.521292	0.80552
E811_263	0.31895867	6.0131435	0.32873
E149_769	-3.6135688	-24.815533	0.96361
E909_300	0.930587	8.040054	0.37516
E755_109	4.364403	18.916166	0.13551
E179_112	2.9669473	17.805464	0.13927
E39_186	1.7196767	14.592255	0.23212
E22_632	-3.6275756	-19.284134	0.79172
E13_159	3.2446232	17.747993	0.19824
E306_694	-3.6310897	-20.473589	0.86951
E338_24	4.596457	23.644403	0.02886
E197_649	-0.70740265	-6.77364	0.81305
E571_250	2.404044	4.7090745	0.31242
E952_713	-2.7542868	-24.415419	0.89335
E410_58	4.53341	22.464739	0.07152
E661_87	3.849226	16.920849	0.1079
E876_527	-1.8689238	-7.8652616	0.65997
E27_622	-2.4422617	-13.399674	0.77917
E59_1	6.297037	25.22475	0.0
E879_314	-3.4190402	3.9435368	0.39272
E851_773	-3.36571	-23.450289	0.96863
E233_497	-0.8668189	-8.956185	0.62233
E778_297	-4.860956	3.3849883	0.37139
E515_217	2.0967932	11.367785	0.27102
E585_325	-3.5775928	4.026311	0.40652
E308_237	1.9332141	9.294061	0.29611
E634_314	-1.4289061	5.6311107	0.39272
E462_752	-3.3577762	-16.814548	0.94228
E95_476	-5.575492	-0.06742986	0.59598
E750_407	-5.6654086	-0.062236574	0.50941
E553_200	3.807549	15.333898	0.24969
E252_669	-3.8014557	-13.641886	0.83814
E729_396	-4.06967	3.772994	0.49561
E278_551	-2.3859725	-13.485892	0.69009
E418_382	-4.957231	2.9359381	0.47804
E665_790	-4.3914733	-25.161196	0.98996
E245_658	-3.6335292	-13.121896	0.82434
E949_511	-4.8113	-2.6631744	0.6399
E997_178	1.5149733	9.69253	0.22208
E357_200	3.340434	17.5792	0.24969
E903_3	6.404331	25.032305	0.00251
E7_786	-3.5933309	-26.090305	0.98494
E82_514	-4.817708	0.17394435	0.64366
E881_543	-3.265396	-12.863242	0.68005
E371_341	-0.21260735	5.819594	0.4266
E452_178	1.3960301	7.3820114	0.22208
E177_110	3.1889558	21.577845	0.13676
E678_622	-2.8856528	-20.773209	0.77917
E937_685	-3.6183584	-23.377024	0.85822
E603_627	-2.3317003	-20.12269	0.78545
E964_86	3.8411388	19.833572	0.10665
E925_298	-4.243828	4.023074	0.37265
E416_116	4.044909	16.612324	0.14429
E644_311	0.79752344	7.080844	0.38896
E785_227	3.188626	4.723468	0.28356
E737_314	-3.7054622	3.9647455	0.39272
E513_179	2.2470908	8.9807	0.22334
E412_656	-2.9706953	-24.44977	0.82183
E804_614	-2.364649	-13.284944	0.76913
E267_771	-2.8685884	-25.377398	0.96612
E44_503	-4.5906353	-3.3062704	0.62986
E621_530	-1.9841449	-10.753143	0.66374
E563_659	-3.5304334	-18.911768	0.8256
E617_431	-4.2933474	2.7214682	0.53952
E70_645	-2.1766765	-12.256895	0.80803
E924_229	0.52216876	8.077358	0.28607
E608_171	2.9604511	12.755372	0.2133
E655_253	0.8422835	6.8660536	0.31619
E394_610	-3.861971	-12.892935	0.76412
E815_667	-3.986534	-18.401398	0.83563
E170_163	2.183001	14.142336	0.20326
E101_513	4.3341165	-3.3844643	0.64241
E193_404	4.1500034	-2.0772364	0.50565
E650_769	-3.184716	-24.862295	0.96361
E645_699	-2.2380278	-10.682271	0.87578
E526_244	0.48705444	7.4973297	0.30489
E777_607	-4.484948	-3.7300942	0.76035
E578_565	-4.083864	-4.3587317	0.70765
E134_37	4.9897957	23.79987	0.04517
E522_493	-2.33683	-6.9481	0.61731
E763_277	2.1958115	11.169973	0.3463
E749_771	-2.6690857	-25.241337	0.96612
E987_326	4.584497	1.3798679	0.40778
E626_68	3.4252777	20.966509	0.08407
E817_519	-4.5321746	-3.8819218	0.64994
E485_721	-3.2483938	-24.909914	0.90339
E927_137	3.3452554	14.865346	0.17064
E259_472	-0.89224917	-6.551478	0.59097
E63_703	-4.0581546	-26.139164	0.8808
E965_217	1.1796025	8.067384	0.27102
E293_601	-2.38257	-11.187513	0.75282
E954_39	5.3496966	23.390903	0.04768
E842_526	1.9632266	-4.8392034	0.65872
E792_798	-2.7844844	-18.845903	1.0
E662_264	1.516024	8.591699	0.32999
E745_529	5.643067	-2.2611723	0.66248
E988_189	2.8673787	14.382822	0.23588
E977_62	4.1661153	22.324871	0.07654
E169_511	-4.637637	-4.591738	0.6399
E536_607	-2.5701127	-13.989933	0.76035
E959_395	-0.9392617	5.9334073	0.49435
E48_551	-5.1393437	-0.89665085	0.69009
E163_252	3.73155	2.7670634	0.31493
E4_753	-4.939743	-24.91083	0.94354
E681_141	3.8665311	16.09903	0.17566
E808_241	2.1847103	7.6935124	0.30113
E870_661	-3.876352	-18.790369	0.82811
E433_224	3.5482004	15.689381	0.2798
E103_521	-1.9625509	-12.003093	0.65245
E402_793	-4.2306924	-25.004429	0.99373
E286_121	2.5964458	15.750587	0.15056
E567_147	2.161469	15.5928135	0.18319
E985_667	-4.62003	-20.288353	0.83563
E75_719	-3.1100502	-25.112747	0.90088
E377_578	-3.2638495	-13.346775	0.72396
E234_631	-3.416968	-18.428034	0.79046
E232_663	-3.324041	-18.649927	0.83061
E635_417	-4.990324	0.0052806577	0.52196
E690_720	-2.3992896	-24.419882	0.90213
E175_401	4.1108565	-2.563598	0.50188
E933_85	4.525937	20.874107	0.1054
E890_143	3.4048784	21.214626	0.17817
E852_766	-4.410561	-24.335373	0.95985
E612_471	-4.612568	-4.1237097	0.58971
E406_415	-6.301438	1.4104087	0.51945
E991_282	-0.076783605	6.790139	0.35257
E206_742	-4.5808544	-24.662426	0.92974
E8_679	-3.3799865	-23.67303	0.85069
E355_291	5.1479034	-0.90282845	0.36386
E257_425	-4.9418035	0.76793325	0.53199
E832_43	4.1782913	21.993755	0.0527
E429_634	-4.2519665	-19.025785	0.79423
E472_620	0.20568252	-8.026006	0.77666
E646_138	4.0723476	16.063929	0.17189
E744_422	1.0783798	-5.938901	0.52823
E37_224	3.288184	15.872498	0.2798
E263_225	1.6660875	13.825814	0.28105
E97_2	6.3057327	25.191969	0.00125
E455_124	2.0614793	15.565249	0.15433
E834_580	1.1242838	-5.878164	0.72647
E154_65	6.139186	22.385756	0.0803
E243_324	4.4878306	0.4310135	0.40527
E488_561	-3.2104032	-20.965904	0.70263
E164_61	4.108634	23.100498	0.07528
E430_289	4.0064287	1.0991848	0.36136
E213_567	-1.07748	-6.893767	0.71016
E127_110	3.382846	17.506777	0.13676
E790_284	-2.6794868	5.314726	0.35508
E579_27	5.719154	23.45974	0.03262
E389_620	0.2067387	-6.1349187	0.77666
E584_241	2.4751823	14.278261	0.30113
E238_95	6.133969	21.817484	0.11794
E1_378	-4.5986	1.5453595	0.47302
E900_124	3.807102	15.32114	0.15433
E730_395	-5.95849	1.4538115	0.49435
E497_246	2.894753	6.79789	0.3074
E554_624	-0.0063456637	-7.264706	0.78168
E956_307	-1.5061065	6.0163965	0.38394
E806_51	4.416016	22.031652	0.06274
E28_125	4.765597	23.190039	0.15558
E833_442	-6.055953	0.90641403	0.55332
E960_520	-2.9482725	-11.60625	0.65119
E124_240	-0.91010785	6.3335667	0.29987
E405_522	1.860294	-5.2241154	0.6537
E748_698	-3.6495392	-20.903503	0.87453
E417_251	2.3037844	6.220207	0.31368
E30_645	-3.137278	-17.19357	0.80803
E98_314	-4.0015783	4.586432	0.39272
E926_612	-2.8108177	-20.829756	0.76662
