,cl
E0,1
E1,0
E2,1
E3,0
E4,0
E5,0
E6,1
E7,0
E8,0
E9,1
E10,1
E11,1
E12,1
E13,1
E14,1
E15,1
E16,0
E17,1
E18,0
E19,1
E20,0
E21,0
E22,0
E23,0
E24,1
E25,1
E26,0
E27,1
E28,0
E29,1
E30,0
E31,0
E32,0
E33,0
E34,1
E35,0
E36,0
E37,1
E38,0
E39,0
E40,0
E41,0
E42,1
E43,1
E44,0
E45,0
E46,1
E47,0
E48,1
E49,1
E50,1
E51,0
E52,0
E53,0
E54,1
E55,0
E56,0
E57,0
E58,0
E59,1
E60,0
E61,1
E62,0
E63,0
E64,0
E65,1
E66,0
E67,1
E68,0
E69,1
E70,1
E71,0
E72,0
E73,1
E74,0
E75,0
E76,0
E77,1
E78,0
E79,1
E80,1
E81,0
E82,1
E83,1
E84,0
E85,0
E86,0
E87,1
E88,0
E89,0
E90,1
E91,1
E92,1
E93,0
E94,1
E95,0
E96,0
E97,0
E98,1
E99,1
E100,0
E101,1
E102,1
E103,0
E104,0
E105,1
E106,0
E107,0
E108,1
E109,0
E110,1
E111,0
E112,0
E113,0
E114,0
E115,1
E116,0
E117,0
E118,0
E119,1
E120,1
E121,1
E122,1
E123,1
E124,0
E125,1
E126,1
E127,1
E128,0
E129,0
E130,0
E131,0
E132,1
E133,0
E134,1
E135,0
E136,0
E137,0
E138,1
E139,0
E140,1
E141,1
E142,1
E143,1
E144,0
E145,0
E146,0
E147,0
E148,0
E149,0
E150,1
E151,1
E152,1
E153,0
E154,1
E155,1
E156,0
E157,1
E158,1
E159,0
E160,1
E161,0
E162,1
E163,0
E164,1
E165,0
E166,0
E167,0
E168,1
E169,0
E170,0
E171,1
E172,0
E173,0
E174,0
E175,1
E176,0
E177,0
E178,0
E179,1
E180,1
E181,0
E182,0
E183,1
E184,0
E185,0
E186,0
E187,1
E188,0
E189,0
E190,0
E191,1
E192,1
E193,1
E194,1
E195,1
E196,0
E197,1
E198,1
E199,1
E200,0
E201,0
E202,0
E203,0
E204,0
E205,0
E206,1
E207,0
E208,1
E209,0
E210,0
E211,0
E212,0
E213,1
E214,1
E215,1
E216,0
E217,0
E218,0
E219,1
E220,0
E221,1
E222,1
E223,0
E224,1
E225,1
E226,0
E227,1
E228,0
E229,0
E230,0
E231,0
E232,0
E233,0
E234,0
E235,1
E236,0
E237,1
E238,0
E239,1
E240,1
E241,1
E242,0
E243,0
E244,1
E245,1
E246,1
E247,0
E248,0
E249,1
E250,1
E251,1
E252,1
E253,1
E254,0
E255,0
E256,1
E257,0
E258,0
E259,0
E260,0
E261,0
E262,0
E263,1
E264,1
E265,0
E266,1
E267,1
E268,0
E269,0
E270,0
E271,1
E272,0
E273,1
E274,1
E275,1
E276,1
E277,0
E278,1
E279,1
E280,1
E281,0
E282,1
E283,0
E284,1
E285,0
E286,0
E287,0
E288,0
E289,0
E290,0
E291,1
E292,0
E293,1
E294,0
E295,0
E296,1
E297,1
E298,0
E299,0
E300,1
E301,1
E302,0
E303,1
E304,0
E305,1
E306,0
E307,0
E308,0
E309,0
E310,0
E311,1
E312,1
E313,1
E314,0
E315,1
E316,1
E317,1
E318,1
E319,1
E320,0
E321,0
E322,0
E323,1
E324,1
E325,1
E326,0
E327,0
E328,0
E329,0
E330,1
E331,0
E332,0
E333,1
E334,1
E335,0
E336,0
E337,0
E338,1
E339,1
E340,0
E341,0
E342,1
E343,1
E344,1
E345,0
E346,0
E347,0
E348,0
E349,1
E350,1
E351,1
E352,1
E353,0
E354,0
E355,0
E356,1
E357,1
E358,0
E359,0
E360,1
E361,0
E362,0
E363,0
E364,0
E365,0
E366,1
E367,1
E368,1
E369,0
E370,0
E371,1
E372,1
E373,0
E374,0
E375,0
E376,0
E377,0
E378,0
E379,0
E380,0
E381,1
E382,1
E383,0
E384,0
E385,1
E386,0
E387,1
E388,0
E389,1
E390,0
E391,1
E392,0
E393,0
E394,0
E395,1
E396,0
E397,1
E398,0
E399,0
E400,1
E401,0
E402,0
E403,1
E404,0
E405,1
E406,1
E407,0
