,PseudoTime1,PseudoTime2
E12_417,0.52196,NA
E868_385,NA,0.48181
E536_305,0.38143,NA
E641_277,NA,0.3463
E493_649,NA,0.81305
E772_746,NA,0.93476
E938_264,NA,0.32999
E370_548,0.68632,NA
E241_424,NA,0.53074
E975_187,0.23338,NA
E546_782,0.97992,NA
E952_473,NA,0.59222
E112_204,0.25471,NA
E583_335,NA,0.41907
E647_358,0.44793,NA
E946_20,0.02384,NA
E692_260,NA,0.32497
E62_777,0.97365,NA
E664_149,0.1857,NA
E849_791,NA,0.99122
E700_713,NA,0.89335
E930_186,NA,0.23212
E688_796,0.99749,NA
E162_624,0.78168,NA
E617_69,0.08532,NA
E34_690,0.86449,NA
E679_695,NA,0.87077
E236_181,0.22585,NA
E40_83,NA,0.10289
E184_632,NA,0.79172
E712_375,0.46926,NA
E131_79,NA,0.09787
E901_764,0.95734,NA
E429_547,NA,0.68507
E130_379,0.47428,NA
E440_748,NA,0.93726
E507_756,NA,0.9473
E790_652,0.81681,NA
E890_655,NA,0.82058
E635_793,0.99373,NA
E362_204,0.25471,NA
E825_295,0.36888,NA
E161_768,NA,0.96236
E629_334,NA,0.41782
E755_227,0.28356,NA
E804_731,NA,0.91593
E896_325,NA,0.40652
E697_199,NA,0.24843
E857_616,0.77164,NA
E588_411,0.51443,NA
E475_717,0.89837,NA
E384_360,0.45044,NA
E135_644,0.80678,NA
E551_36,0.04391,NA
E827_779,NA,0.97616
E623_661,0.82811,NA
E840_727,0.91092,NA
E987_577,NA,0.72271
E694_370,0.46299,NA
E198_440,NA,0.55082
E565_428,0.53576,NA
E101_584,NA,0.73149
E234_371,NA,0.46424
E582_614,0.76913,NA
E977_127,NA,0.15809
E758_762,0.95483,NA
E214_64,0.07905,NA
E604_181,0.22585,NA
E915_751,0.94103,NA
E850_233,0.29109,NA
E988_759,0.95107,NA
E734_413,0.51694,NA
E1_200,0.24969,NA
E14_544,0.6813,NA
E552_208,NA,0.25972
E158_780,NA,0.97742
E991_66,0.08156,NA
E920_780,0.97742,NA
E640_658,0.82434,NA
E592_663,NA,0.83061
E880_352,0.4404,NA
E547_681,0.8532,NA
E394_361,NA,0.45169
E273_128,NA,0.15935
E472_360,NA,0.45044
E204_704,NA,0.88206
E956_36,0.04391,NA
E375_432,NA,0.54078
E148_709,NA,0.88833
E597_190,NA,0.23714
E983_714,0.8946,NA
E916_651,0.81556,NA
E862_385,0.48181,NA
E925_359,0.44918,NA
E154_7,NA,0.00753
E643_364,0.45546,NA
E163_417,NA,0.52196
E454_342,0.42785,NA
E528_718,0.89962,NA
E126_404,NA,0.50565
E553_134,0.16688,NA
E15_760,0.95232,NA
E563_515,NA,0.64492
E341_657,0.82309,NA
E817_105,0.13049,NA
E710_616,0.77164,NA
E228_641,0.80301,NA
E496_548,0.68632,NA
E843_400,NA,0.50063
E142_550,NA,0.68883
E674_306,NA,0.38269
E884_510,NA,0.63864
E8_269,NA,0.33626
E51_150,0.18695,NA
E519_523,0.65496,NA
E965_507,NA,0.63488
E157_753,NA,0.94354
E659_610,NA,0.76412
E109_457,NA,0.57215
E514_192,0.23965,NA
E609_524,0.65621,NA
E622_238,0.29737,NA
E481_338,0.42284,NA
E873_682,NA,0.85445
E598_702,0.87955,NA
E529_584,0.73149,NA
E314_726,0.90966,NA
E294_573,0.71769,NA
E327_620,NA,0.77666
E124_288,0.3601,NA
E260_117,NA,0.14555
E484_143,0.17817,NA
E199_737,NA,0.92346
E732_793,NA,0.99373
E634_464,0.58093,NA
E670_77,NA,0.09536
E3_640,NA,0.80176
E419_269,NA,0.33626
E744_55,NA,0.06775
E195_465,NA,0.58218
E498_521,0.65245,NA
E570_695,0.87077,NA
E413_736,0.92221,NA
E91_670,NA,0.8394
E576_564,NA,0.7064
E608_562,NA,0.70389
E587_143,0.17817,NA
E64_454,0.56838,NA
E485_444,0.55583,NA
E561_164,NA,0.20452
E810_652,NA,0.81681
E78_266,NA,0.3325
E20_168,NA,0.20954
E545_22,0.02635,NA
E166_612,NA,0.76662
E555_788,NA,0.98745
E852_245,NA,0.30615
