	dim1	dim2	pt
E12_417	-1.9446365	-6.2657666	0.52196
E868_385	0.42418817	7.9010196	0.48181
E536_305	3.5454254	1.883188	0.38143
E641_277	4.6384397	4.3399153	0.3463
E493_649	-13.987783	3.0091674	0.81305
E772_746	-13.076801	4.2380214	0.93476
E938_264	4.0487156	4.794887	0.32999
E370_548	-7.3732314	-4.7748713	0.68632
E241_424	0.29124752	7.7915545	0.53074
E975_187	18.820011	-0.8661314	0.23338
E546_782	-13.082741	0.8185524	0.97992
E952_473	-3.3937829	8.729659	0.59222
E112_204	7.3289094	-1.3657916	0.25471
E583_335	7.671413	-0.72599596	0.41907
E647_358	0.33329117	-6.3539567	0.44793
E946_20	27.717985	-2.8416204	0.02384
E692_260	7.009254	-0.7357974	0.32497
E62_777	-13.326588	2.8807106	0.97365
E664_149	21.245031	-2.5841312	0.1857
E849_791	-12.522095	1.2285826	0.99122
E700_713	-17.531574	-0.3914078	0.89335
E930_186	19.483105	-2.4141915	0.23212
E688_796	-11.435919	1.9873005	0.99749
E162_624	-11.653125	0.6390356	0.78168
E617_69	25.31456	-2.986455	0.08532
E34_690	-13.0829	3.7529984	0.86449
E679_695	-15.904072	5.8068757	0.87077
E236_181	9.391419	-1.6077802	0.22585
E40_83	23.351662	-2.9978442	0.10289
E184_632	-3.850836	8.598731	0.79172
E712_375	-0.38051915	-6.4480524	0.46926
E131_79	25.11874	-2.3098888	0.09787
E901_764	-16.247625	0.48383656	0.95734
E429_547	-4.3113723	7.9343624	0.68507
E130_379	1.4847587	-4.646704	0.47428
E440_748	-11.831434	0.44080308	0.93726
E507_756	-15.809226	3.2406552	0.9473
E790_652	-10.490242	0.38358977	0.81681
E890_655	-16.779936	-1.1735536	0.82058
E635_793	-14.828223	5.803872	0.99373
E362_204	8.24294	-1.1944813	0.25471
E825_295	1.4448717	-6.5454764	0.36888
E161_768	-18.167294	4.2280154	0.96236
E629_334	3.9459245	5.41089	0.41782
E755_227	7.4402227	0.08297608	0.28356
E804_731	-11.700309	3.9191706	0.91593
E896_325	3.5645192	3.8193796	0.40652
E697_199	8.195336	-0.34765446	0.24843
E857_616	-2.9532194	-6.195487	0.77164
E588_411	-1.6317351	-7.5373545	0.51443
E475_717	-14.558363	3.5583103	0.89837
E384_360	-0.64830065	-6.1871486	0.45044
E135_644	-12.171283	0.86689883	0.80678
E551_36	28.324635	-3.7693636	0.04391
E827_779	-12.919988	2.0550437	0.97616
E623_661	-12.176375	0.8719093	0.82811
E840_727	-13.697996	0.5370885	0.91092
E987_577	-3.1626554	7.9344206	0.72271
E694_370	-1.608222	-7.3144984	0.46299
E198_440	-0.75635237	7.5686283	0.55082
E565_428	-0.8499212	-6.460612	0.53576
E101_584	-3.2527425	8.01952	0.73149
E234_371	0.98218125	8.657632	0.46424
E582_614	-3.999138	-5.882097	0.76913
E977_127	22.065392	-1.2336023	0.15809
E758_762	-14.322012	2.5205672	0.95483
E214_64	28.512981	-3.6397552	0.07905
E604_181	18.854235	-1.2327913	0.22585
E915_751	-16.30974	3.8152003	0.94103
E850_233	7.8852806	-2.0316782	0.29109
E988_759	-16.72575	3.9152284	0.95107
E734_413	2.829017	-5.461659	0.51694
E1_200	8.571724	-1.1861384	0.24969
E14_544	-2.32312	-7.5429068	0.6813
E552_208	7.1758246	-1.6690681	0.25972
E158_780	-16.99571	0.6977829	0.97742
E991_66	26.790548	-3.2424388	0.08156
E920_780	-16.04425	3.814927	0.97742
E640_658	-13.776774	1.3958594	0.82434
E592_663	-2.807826	8.1348505	0.83061
E880_352	-1.9224727	-7.6570134	0.4404
E547_681	-14.080235	-0.2830783	0.8532
E394_361	2.0533953	6.418588	0.45169
E273_128	25.530684	-2.9109278	0.15935
E472_360	3.5614939	6.097144	0.45044
E204_704	4.3599534	-3.7220128	0.88206
E956_36	27.362864	-4.0072155	0.04391
E375_432	-3.3871262	9.449187	0.54078
E148_709	-13.217439	3.7124617	0.88833
E597_190	6.808735	-1.7000175	0.23714
E983_714	-11.220749	-0.07803325	0.8946
E916_651	-13.741964	-2.4635959	0.81556
E862_385	-2.6206403	-6.2194033	0.48181
E925_359	-0.44367602	-5.7201157	0.44918
E154_7	29.33581	-2.6602347	0.00753
E643_364	-0.89239675	-5.9847593	0.45546
E163_417	-2.4212077	7.7909784	0.52196
E454_342	0.7845448	-6.687115	0.42785
E528_718	-14.354502	0.8979001	0.89962
E126_404	1.2724917	7.452238	0.50565
E553_134	19.398493	-2.1388404	0.16688
E15_760	-14.665762	2.8492477	0.95232
E563_515	-1.7989994	8.342801	0.64492
E341_657	-12.310551	5.801361	0.82309
E817_105	19.784643	-0.51679295	0.13049
E710_616	-5.810651	-5.789613	0.77164
E228_641	-15.944315	5.0058403	0.80301
E496_548	-5.75167	-5.6855183	0.68632
E843_400	1.6820271	7.3347425	0.50063
E142_550	-16.726505	-0.4576887	0.68883
E674_306	4.7808704	5.291205	0.38269
E884_510	-2.7710018	8.35434	0.63864
E8_269	8.520399	-0.9804414	0.33626
E51_150	18.083937	-1.6457599	0.18695
E519_523	-8.905342	-4.812678	0.65496
E965_507	-0.6501277	8.575568	0.63488
E157_753	-4.378432	8.584724	0.94354
E659_610	-13.792106	2.4327738	0.76412
E109_457	-1.4048067	9.123114	0.57215
E514_192	6.5247674	-2.1092699	0.23965
E609_524	-5.9976635	-6.7226443	0.65621
E622_238	7.5493407	-1.8570449	0.29737
E481_338	2.5655036	-6.1209025	0.42284
E873_682	-14.921254	0.91887707	0.85445
E598_702	-16.193296	-1.9675785	0.87955
E529_584	-6.3188076	-5.9354863	0.73149
E314_726	-16.699533	2.239444	0.90966
E294_573	-16.500704	5.306897	0.71769
E327_620	-15.995195	-2.0056162	0.77666
E124_288	1.6142282	-6.2372823	0.3601
E260_117	20.15076	-1.9054831	0.14555
E484_143	26.321125	-4.070409	0.17817
E199_737	-12.641193	2.2532396	0.92346
E732_793	-14.758821	-0.38640457	0.99373
E634_464	-2.3238528	-7.1832805	0.58093
E670_77	26.013788	-2.096046	0.09536
E3_640	-15.160705	5.8695793	0.80176
E419_269	6.9129243	-2.312297	0.33626
E744_55	25.028112	-2.553089	0.06775
E195_465	-0.19064857	7.702275	0.58218
E498_521	-8.289173	-5.0691295	0.65245
E570_695	-15.116261	4.2540407	0.87077
E413_736	-14.617109	1.6344521	0.92221
E91_670	-17.768848	0.7328577	0.8394
E576_564	-1.5022774	8.054854	0.7064
E608_562	-15.640324	2.7474732	0.70389
E587_143	20.303347	-2.7034042	0.17817
E64_454	-5.9644904	-5.4634576	0.56838
E485_444	-3.0333827	-6.818392	0.55583
E561_164	19.174955	-0.973623	0.20452
E810_652	-18.119461	3.1800401	0.81681
E78_266	4.4115705	4.3036094	0.3325
E20_168	19.242712	-0.9730147	0.20954
E545_22	27.41399	-3.184137	0.02635
E166_612	-13.491045	2.333627	0.76662
E555_788	-16.947054	4.2148967	0.98745
E852_245	19.603699	-1.1124873	0.30615
E85_672	-14.540241	-2.4915788	0.84191
E165_172	20.565243	-1.6062546	0.21455
E115_612	-11.832618	-1.6600773	0.76662
E627_332	2.0871723	-5.49149	0.41531
E882_516	-2.3458903	-6.5478787	0.64617
E52_512	-4.722005	-5.9140663	0.64115
E984_325	2.3249888	7.2917633	0.40652
E663_130	19.809315	-1.4373405	0.16186
E982_13	29.06366	-2.4781067	0.01506
E75_221	6.7775917	-2.5495138	0.27604
E678_223	9.057462	-1.7360744	0.27854
E618_738	-16.667618	3.3097193	0.92472
E399_246	5.8759933	-1.4939872	0.3074
E794_553	-14.365845	0.7816417	0.6926
E680_518	-6.254484	-5.705805	0.64868
E426_684	-12.249581	-1.1408744	0.85696
E466_619	-16.377293	1.293229	0.77541
E939_379	1.260996	6.1861324	0.47428
E743_657	-16.749674	2.3366628	0.82309
E207_350	0.01599924	-7.4157944	0.43789
E364_602	-13.48429	-0.32225344	0.75408
E729_660	-14.056171	-2.955839	0.82685
E437_229	7.540232	-2.1394086	0.28607
E84_79	25.163311	-2.8368936	0.09787
E894_444	-3.8236969	-6.085798	0.55583
E599_398	1.7947174	-4.8175154	0.49812
E292_391	3.6270669	4.218838	0.48934
E94_695	-14.542738	4.910085	0.87077
E512_465	-2.34744	-6.835924	0.58218
E486_402	2.0801542	7.591	0.50314
E178_325	3.592353	6.100979	0.40652
E690_329	1.4021305	-4.7403326	0.41154
E418_101	22.65412	-2.2966325	0.12547
E283_495	-7.9715014	-6.1323147	0.61982
E655_676	-17.95646	2.164856	0.84693
E302_11	28.343792	-2.3694775	0.01255
E297_37	27.888485	-2.7899828	0.04517
E352_248	8.469122	-1.6813408	0.30991
E740_306	3.5848274	5.4799786	0.38269
E768_545	-4.20313	8.437464	0.68256
E762_271	3.786515	6.038248	0.33877
E159_419	-2.9561021	-6.9778676	0.52447
E501_21	28.394474	-3.4772806	0.02509
E910_795	-12.675844	2.8392606	0.99624
E45_768	-17.339025	-0.31892237	0.96236
E68_348	1.3372037	8.039994	0.43538
E326_644	-12.841212	3.1644251	0.80678
E660_434	2.6356258	6.4759746	0.54329
E175_146	23.281736	-2.1096342	0.18193
E39_431	0.93411475	7.269497	0.53952
E693_650	-17.156836	2.7998517	0.8143
E494_25	27.22074	-3.717333	0.03011
E905_474	1.5751046	7.4324627	0.59348
E899_685	-14.663201	4.066271	0.85822
E727_248	7.1338906	-0.18172298	0.30991
E205_118	20.084427	-0.18863234	0.1468
E721_346	6.404738	1.9390721	0.43287
E497_516	-2.8993034	7.8479056	0.64617
E888_463	-3.1984663	-6.381401	0.57967
E427_161	19.63809	-2.1668735	0.20075
E259_742	-15.268624	2.0100133	0.92974
E373_141	20.104439	-2.4778242	0.17566
E56_18	25.773808	-2.2229288	0.02133
E254_421	-14.408399	7.0175967	0.52698
E937_412	-4.517271	-6.0521193	0.51568
E2_714	-11.715055	4.4221644	0.8946
E698_407	2.690069	6.607028	0.50941
E757_170	24.260372	-2.753268	0.21205
E315_218	7.079541	-1.639462	0.27227
E997_663	-12.196676	1.0106288	0.83061
E574_2	29.64949	-2.3680964	0.00125
E340_89	23.649815	-2.622051	0.11041
