,PseudoTime1,PseudoTime2
E881_381,0.38052,NA
E736_387,0.38655,NA
E271_979,0.98092,NA
E63_195,NA,0.19378
E785_125,0.12349,NA
E744_495,0.49498,NA
E6_697,NA,0.69779
E804_215,NA,0.21386
E181_388,0.38755,NA
E591_250,NA,0.249
E915_467,0.46687,NA
E473_386,NA,0.38554
E487_464,NA,0.46386
E597_370,0.36948,NA
E604_39,0.03715,NA
E561_725,NA,0.7259
E116_154,NA,0.15261
E575_471,NA,0.47088
E102_937,0.93876,NA
E131_895,0.89659,NA
E832_235,0.23394,NA
E346_427,0.42671,NA
E331_419,NA,0.41867
E41_266,0.26506,NA
E2_941,NA,0.94277
E774_914,NA,0.91566
E475_380,NA,0.37952
E45_438,0.43775,NA
E873_162,NA,0.16064
E762_104,0.10241,NA
E260_220,NA,0.21888
E768_520,0.52008,NA
E764_884,NA,0.88554
E836_807,0.80823,NA
E482_800,0.8012,NA
E927_264,0.26305,NA
E284_370,NA,0.36948
E906_227,NA,0.2259
E93_108,NA,0.10643
E534_638,0.63855,NA
E618_871,NA,0.87249
E295_950,0.95181,NA
E574_60,NA,0.05823
E10_768,0.76908,NA
E192_908,0.90964,NA
E680_95,0.09337,NA
E914_634,NA,0.63454
E765_446,0.44578,NA
E844_57,0.05522,NA
E0_725,NA,0.7259
E557_264,0.26305,NA
E504_359,0.35843,NA
E737_726,0.72691,NA
E537_5,0.00301,NA
E290_498,0.49799,NA
E42_894,NA,0.89558
E650_240,0.23896,NA
E38_136,0.13454,NA
E309_512,NA,0.51205
E143_925,NA,0.92671
E576_899,0.9006,NA
E861_748,0.749,NA
E947_450,NA,0.4498
E797_249,NA,0.24799
E367_173,NA,0.17169
E858_587,0.58735,NA
E289_846,0.84739,NA
E173_252,0.251,NA
E127_806,0.80723,NA
E30_254,0.25301,NA
E111_358,0.35743,NA
E486_99,NA,0.09739
E658_798,0.7992,NA
E417_180,NA,0.17871
E950_454,NA,0.45382
E410_991,NA,0.99297
E528_966,NA,0.96787
E853_612,NA,0.61245
E715_821,NA,0.82229
E571_363,0.36245,NA
E379_65,0.06325,NA
E841_110,NA,0.10843
E213_596,NA,0.59639
E943_227,NA,0.2259
E175_135,NA,0.13353
E798_978,NA,0.97992
E671_263,NA,0.26205
E334_403,NA,0.40261
E198_44,0.04217,NA
E110_997,NA,0.999
E39_593,NA,0.59337
E956_121,NA,0.11948
E50_299,0.29819,NA
E223_137,0.13554,NA
E324_366,0.36546,NA
E163_684,NA,0.68474
E411_590,NA,0.59036
E578_31,NA,0.02912
E588_759,NA,0.76004
E345_576,0.57631,NA
E520_971,NA,0.97289
E634_654,0.65462,NA
E140_383,0.38253,NA
E980_714,NA,0.71486
E777_679,0.67972,NA
E966_642,NA,0.64257
E328_898,0.8996,NA
E385_843,0.84438,NA
E820_756,0.75703,NA
E308_467,0.46687,NA
E862_96,NA,0.09438
E920_529,0.52912,NA
E940_227,0.2259,NA
E82_105,NA,0.10341
E805_781,NA,0.78213
E312_91,NA,0.08936
E257_671,NA,0.67169
E250_729,0.72992,NA
E416_740,NA,0.74096
E649_423,NA,0.42269
E743_720,NA,0.72088
E644_149,0.14759,NA
E288_196,NA,0.19478
E614_846,0.84739,NA
E497_411,NA,0.41064
E95_8,NA,0.00602
E377_32,NA,0.03012
E359_872,NA,0.87349
E133_834,NA,0.83534
E646_841,NA,0.84237
E510_309,0.30823,NA
E953_785,NA,0.78614
E304_305,NA,0.30422
E229_715,NA,0.71586
E106_835,0.83635,NA
E730_604,NA,0.60442
E402_270,0.26908,NA
E177_355,NA,0.35442
E493_585,NA,0.58534
E668_607,0.60743,NA
E635_734,0.73494,NA
E320_882,0.88353,NA
E908_525,NA,0.5251
E254_43,NA,0.04116
E674_672,NA,0.67269
E883_509,NA,0.50904
E75_245,0.24398,NA
E256_12,0.01004,NA
E465_611,NA,0.61145
E877_947,0.9488,NA
E925_26,NA,0.0241
E996_58,NA,0.05622
E83_131,0.12952,NA
E751_616,NA,0.61647
E491_682,0.68273,NA
E523_360,0.35944,NA
E171_97,NA,0.09538
E729_422,0.42169,NA
E135_305,NA,0.30422
E894_287,0.28614,NA
E937_69,0.06727,NA
E206_263,0.26205,NA
E998_972,NA,0.9739
E961_529,0.52912,NA
E300_916,NA,0.91767
E66_541,NA,0.54116
E154_217,0.21586,NA
E822_618,NA,0.61847
E162_251,NA,0.25
E4_284,0.28313,NA
E527_658,0.65863,NA
E629_219,0.21787,NA
E670_6,0.00402,NA
E398_310,NA,0.30924
E924_283,NA,0.28213
E818_618,NA,0.61847
E718_560,0.56024,NA
E685_298,NA,0.29719
E654_751,0.75201,NA
E766_183,0.18173,NA
E275_924,NA,0.9257
E716_969,NA,0.97088
E580_322,NA,0.32129
E285_140,NA,0.13855
E931_106,0.10442,NA
E118_5,NA,0.00301
E159_668,NA,0.66867
E888_451,NA,0.4508
E790_471,NA,0.47088
E349_137,NA,0.13554
E488_912,0.91365,NA
E87_403,0.40261,NA
E232_555,0.55522,NA
E875_112,NA,0.11044
E433_205,0.20382,NA
E885_249,NA,0.24799
E693_832,0.83333,NA
E365_674,0.6747,NA
E297_967,0.96888,NA
E158_889,NA,0.89056
E220_281,NA,0.28012
E347_707,0.70783,NA
E462_539,NA,0.53916
E812_650,NA,0.6506
E606_382,0.38153,NA
E673_740,0.74096,NA
E526_964,0.96586,NA
E195_382,NA,0.38153
E391_913,0.91466,NA
E479_595,NA,0.59538
E725_618,NA,0.61847
E564_632,0.63253,NA
E242_365,NA,0.36446
E605_874,0.8755,NA
E123_106,0.10442,NA
E928_563,0.56325,NA
E500_608,NA,0.60843
E266_7,0.00502,NA
E913_34,0.03213,NA
E426_58,NA,0.05622
E929_884,NA,0.88554
E988_677,NA,0.67771
E934_990,0.99197,NA
E283_682,NA,0.68273
E552_834,0.83534,NA
E983_103,NA,0.10141
E437_36,0.03414,NA
E149_928,NA,0.92972
E294_839,NA,0.84036
E516_746,0.74699,NA
E167_159,NA,0.15763
E429_373,NA,0.37249
E278_401,NA,0.4006
E204_795,NA,0.79618
E831_669,0.66968,NA
E642_165,NA,0.16365
E214_21,0.01908,NA
E775_160,0.15863,NA
E665_125,0.12349,NA
E722_934,NA,0.93574
E413_343,0.34237,NA
