	dim1	dim2	pt
E881_381	-3.0542488	2.8156514	0.38052
E736_387	-2.5137033	3.9166236	0.38655
E271_979	1.470195	17.519815	0.98092
E63_195	-5.189967	-4.2452593	0.19378
E785_125	-12.630801	-6.282369	0.12349
E744_495	-2.4234312	7.8285685	0.49498
E6_697	13.93155	-5.9905334	0.69779
E804_215	-4.919329	-2.5480788	0.21386
E181_388	-2.7289069	4.3795366	0.38755
E591_250	-2.4983604	-3.4526258	0.249
E915_467	-0.79230046	5.2445374	0.46687
E473_386	5.2253404	-4.6742616	0.38554
E487_464	8.422734	-5.8345637	0.46386
E597_370	-2.833671	4.8937488	0.36948
E604_39	-21.281996	-7.109202	0.03715
E561_725	14.644976	-5.642825	0.7259
E116_154	-12.9349985	-5.5306244	0.15261
E575_471	7.535433	-5.745097	0.47088
E102_937	2.9745288	19.474316	0.93876
E131_895	1.3330532	16.40686	0.89659
E832_235	-6.2476482	-3.9907572	0.23394
E346_427	-1.5933303	5.252184	0.42671
E331_419	3.8806086	-5.300629	0.41867
E41_266	-10.549274	-4.8401217	0.26506
E2_941	20.547056	-4.1813173	0.94277
E774_914	21.499464	-4.1972346	0.91566
E475_380	0.664991	-5.2642465	0.37952
E45_438	-2.5483813	5.0065885	0.43775
E873_162	-12.775744	-5.246018	0.16064
E762_104	-18.232885	-6.776738	0.10241
E260_220	-5.459827	-3.9183576	0.21888
E768_520	-0.8200638	9.106047	0.52008
E764_884	21.07929	-4.916318	0.88554
E836_807	1.542734	18.989464	0.80823
E482_800	2.4400148	18.596262	0.8012
E927_264	-4.692052	-0.8960345	0.26305
E284_370	-3.304278	-3.2251787	0.36948
E906_227	-8.782724	-4.3500175	0.2259
E93_108	-13.196926	-7.3364677	0.10643
E534_638	0.4802044	10.450829	0.63855
E618_871	20.750929	-4.9929466	0.87249
E295_950	2.5359316	18.324072	0.95181
E574_60	-20.112625	-6.9871445	0.05823
E10_768	1.2157993	16.75705	0.76908
E192_908	2.6457405	19.977934	0.90964
E680_95	-19.391705	-5.269837	0.09337
E914_634	6.9984746	-5.0621495	0.63454
E765_446	-1.6532907	6.726388	0.44578
E844_57	-18.489672	-6.466815	0.05522
E0_725	9.281351	-5.8687005	0.7259
E557_264	-6.8440423	-3.8694403	0.26305
E504_359	-3.3739285	2.365604	0.35843
E737_726	0.5920314	13.274104	0.72691
E537_5	-21.73762	-6.9754767	0.00301
