,cl
E0,0
E1,0
E2,0
E3,0
E4,1
E5,1
E6,0
E7,0
E8,1
E9,1
E10,1
E11,0
E12,0
E13,0
E14,0
E15,0
E16,0
E17,0
E18,0
E19,1
E20,1
E21,0
E22,0
E23,0
E24,1
E25,0
E26,0
E27,0
E28,0
E29,1
E30,1
E31,1
E32,0
E33,0
E34,0
E35,1
E36,1
E37,0
E38,1
E39,0
E40,1
E41,1
E42,0
E43,0
E44,0
E45,1
E46,0
E47,0
E48,1
E49,0
E50,1
E51,0
E52,0
E53,0
E54,1
E55,1
E56,1
E57,0
E58,0
E59,0
E60,1
E61,1
E62,0
E63,0
E64,1
E65,0
E66,0
E67,0
E68,1
E69,1
E70,0
E71,1
E72,0
E73,1
E74,0
E75,1
E76,0
E77,0
E78,1
E79,1
E80,0
E81,1
E82,0
E83,1
E84,1
E85,0
E86,0
E87,1
E88,1
E89,0
E90,0
E91,0
E92,0
E93,0
E94,1
E95,0
E96,0
E97,0
E98,1
E99,1
E100,0
E101,1
E102,1
E103,0
E104,0
E105,1
E106,1
E107,0
E108,1
E109,0
E110,0
E111,1
E112,0
E113,1
E114,0
E115,0
E116,0
E117,1
E118,0
E119,0
E120,1
E121,1
E122,0
E123,1
E124,1
E125,1
E126,0
E127,1
E128,0
E129,0
E130,1
E131,1
E132,1
E133,0
E134,1
E135,0
E136,0
E137,1
E138,0
E139,1
E140,1
E141,0
E142,1
E143,0
E144,0
E145,1
E146,1
E147,0
E148,0
E149,0
E150,0
E151,0
E152,0
E153,1
E154,1
E155,0
E156,1
E157,1
E158,0
E159,0
E160,0
E161,0
E162,0
E163,0
E164,0
E165,0
E166,1
E167,0
E168,1
E169,1
E170,1
E171,0
E172,1
E173,0
E174,1
E175,0
E176,0
E177,0
E178,0
E179,1
E180,1
E181,1
E182,0
E183,1
E184,0
E185,0
E186,1
E187,1
E188,0
E189,0
E190,1
E191,0
E192,1
E193,1
E194,0
E195,0
E196,0
E197,0
E198,1
E199,0
E200,1
E201,0
E202,1
E203,1
E204,0
E205,0
E206,1
E207,0
E208,1
E209,1
E210,1
E211,0
E212,0
E213,0
E214,1
E215,1
E216,0
E217,0
E218,0
E219,1
E220,0
E221,1
E222,0
E223,1
E224,0
E225,1
E226,0
E227,1
E228,0
E229,0
E230,0
E231,1
E232,1
E233,1
E234,0
E235,1
E236,0
E237,1
E238,1
E239,0
E240,0
E241,0
E242,0
E243,1
E244,0
E245,0
E246,1
E247,1
E248,1
E249,0
E250,1
E251,1
E252,1
E253,0
E254,0
E255,0
E256,1
E257,0
E258,1
E259,0
E260,0
E261,1
E262,0
E263,1
E264,0
E265,0
E266,1
E267,1
E268,1
E269,0
E270,1
E271,1
E272,0
E273,1
E274,0
E275,0
E276,0
E277,1
E278,0
E279,1
E280,0
E281,0
E282,1
E283,0
E284,0
E285,0
E286,1
E287,0
E288,0
E289,1
E290,1
E291,1
E292,0
E293,0
E294,0
E295,1
E296,0
E297,1
E298,1
E299,1
E300,0
E301,0
E302,1
E303,0
E304,0
E305,0
E306,1
E307,0
E308,1
E309,0
E310,0
E311,1
E312,0
E313,1
E314,0
E315,1
E316,0
E317,1
E318,0
E319,0
E320,0
E321,0
E322,0
E323,0
E324,1
E325,0
E326,0
E327,0
E328,1
E329,1
E330,0
E331,0
E332,1
E333,0
E334,0
E335,1
E336,1
E337,0
E338,0
E339,0
E340,1
E341,0
E342,0
E343,1
E344,0
E345,1
E346,1
E347,0
E348,0
E349,0
E350,1
E351,1
E352,0
E353,0
E354,1
E355,0
E356,0
E357,0
E358,1
E359,0
E360,0
E361,0
E362,1
E363,1
E364,0
E365,1
E366,1
E367,0
E368,0
E369,0
E370,1
E371,1
E372,1
E373,0
E374,0
E375,0
E376,0
E377,0
E378,0
E379,1
E380,0
E381,0
E382,0
E383,1
E384,1
E385,1
E386,0
E387,0
E388,1
E389,1
E390,1
E391,1
E392,0
E393,1
E394,1
E395,0
E396,1
E397,0
E398,0
E399,0
E400,0
E401,0
E402,1
E403,0
E404,0
E405,0
E406,1
E407,0
E408,1
E409,0
E410,0
E411,0
E412,1
E413,1
E414,0
E415,0
E416,0
E417,0
E418,0
E419,1
E420,1
E421,1
E422,1
E423,0
E424,1
E425,1
E426,0
E427,0
E428,1
E429,0
E430,0
E431,1
E432,1
E433,1
E434,0
E435,1
E436,1
E437,1
E438,0
E439,1
E440,1
E441,1
E442,0
E443,1
E444,1
E445,1
E446,1
E447,0
E448,1
E449,1
E450,0
E451,0
E452,1
E453,0
E454,1
E455,0
E456,1
E457,0
E458,1
E459,1
E460,1
E461,1
E462,0
E463,1
E464,1
E465,0
E466,0
E467,1
E468,1
E469,1
E470,0
E471,0
E472,1
E473,0
E474,0
E475,0
E476,1
E477,1
E478,1
E479,0
E480,1
E481,0
E482,1
E483,1
E484,1
E485,0
E486,0
E487,0
E488,1
E489,1
E490,1
E491,1
E492,0
E493,0
E494,1
E495,1
E496,1
E497,0
E498,0
E499,0
E500,0
E501,0
E502,0
E503,0
E504,1
E505,1
E506,0
E507,0
E508,0
E509,1
E510,1
E511,0
E512,1
E513,1
E514,0
E515,0
E516,1
E517,1
E518,1
E519,0
E520,0
E521,1
E522,1
E523,1
E524,0
E525,1
E526,1
E527,1
E528,0
E529,1
E530,0
E531,1
E532,0
E533,0
E534,1
E535,0
E536,1
E537,1
E538,1
E539,0
E540,0
E541,0
E542,0
E543,1
E544,1
E545,1
E546,0
E547,0
E548,0
E549,0
E550,0
E551,1
E552,1
E553,0
E554,1
E555,0
E556,1
E557,1
E558,1
E559,0
E560,0
E561,0
E562,0
E563,1
E564,1
E565,0
E566,0
E567,1
E568,1
E569,1
E570,1
E571,1
E572,1
E573,1
E574,0
E575,0
E576,1
E577,1
E578,0
E579,0
E580,0
E581,0
E582,0
E583,0
E584,1
E585,0
E586,0
E587,0
E588,0
E589,0
E590,0
E591,0
E592,0
E593,0
E594,0
E595,1
E596,1
E597,1
E598,0
E599,1
E600,1
E601,1
E602,0
E603,1
E604,1
E605,1
E606,1
E607,1
E608,0
E609,0
E610,1
E611,1
E612,1
E613,0
E614,1
E615,1
E616,0
E617,1
E618,0
E619,0
E620,1
E621,1
E622,0
E623,0
E624,0
E625,1
E626,1
E627,0
