,PseudoTime1,PseudoTime2
E608_447,NA,0.44734
E972_525,0.52558,NA
E693_355,0.35507,NA
E66_573,NA,0.57372
E140_794,0.79539,NA
E639_194,NA,0.19358
E343_485,0.48546,NA
E177_804,NA,0.80542
E483_537,0.53761,NA
E476_62,0.06118,NA
E519_479,NA,0.47944
E677_524,NA,0.52457
E95_435,NA,0.43531
E741_453,NA,0.45336
E540_586,NA,0.58676
E957_239,0.23872,NA
E993_787,0.78837,NA
E390_534,0.5346,NA
E664_16,NA,0.01505
E980_174,NA,0.17352
E492_48,NA,0.04714
E218_917,NA,0.91876
E951_163,NA,0.16249
E424_73,0.07222,NA
E967_926,0.92778,NA
E950_991,NA,0.99298
E806_479,0.47944,NA
E754_987,0.98897,NA
E168_717,0.71815,NA
E281_659,NA,0.65998
E31_654,0.65496,NA
E863_255,0.25476,NA
E441_537,0.53761,NA
E991_905,NA,0.90672
E694_916,NA,0.91775
E133_443,NA,0.44333
E438_663,NA,0.66399
E898_381,NA,0.38114
E877_657,0.65797,NA
E383_905,0.90672,NA
E498_47,NA,0.04614
E2_731,NA,0.7322
E655_134,0.1334,NA
E611_489,0.48947,NA
E342_972,NA,0.97392
E407_269,NA,0.26881
E818_126,NA,0.12538
E686_524,0.52457,NA
E6_854,NA,0.85557
E750_912,NA,0.91374
E272_102,NA,0.1013
E925_323,NA,0.32297
E143_473,NA,0.47342
E468_750,0.75125,NA
E294_184,NA,0.18355
E876_400,0.4002,NA
E255_499,NA,0.4995
E861_583,0.58375,NA
E466_536,NA,0.53661
E14_471,NA,0.47141
E106_744,0.74524,NA
E849_775,NA,0.77633
E456_871,0.87262,NA
E592_202,NA,0.2016
E359_780,NA,0.78134
E318_795,NA,0.79639
E18_51,NA,0.05015
E330_775,NA,0.77633
E351_24,0.02307,NA
E315_558,0.55868,NA
E691_415,NA,0.41525
E426_893,NA,0.89468
E660_239,0.23872,NA
E895_668,NA,0.66901
E157_448,0.44835,NA
E295_91,0.09027,NA
E638_959,NA,0.96088
E915_326,0.32598,NA
E701_997,NA,0.999
E844_554,0.55466,NA
E716_831,NA,0.8325
E293_564,NA,0.56469
E452_139,0.13842,NA
E349_686,NA,0.68706
E566_367,NA,0.3671
E853_234,NA,0.2337
E161_928,NA,0.92979
E183_18,0.01705,NA
E554_590,0.59077,NA
E252_243,0.24273,NA
E985_961,0.96289,NA
E590_522,NA,0.52257
E522_27,0.02608,NA
E860_544,NA,0.54463
E477_725,0.72618,NA
E324_359,0.35908,NA
E163_615,NA,0.61585
E337_260,NA,0.25978
E910_708,0.70913,NA
E72_921,NA,0.92277
E916_319,0.31896,NA
E880_661,0.66199,NA
E799_501,NA,0.5015
E326_150,NA,0.14945
E728_469,NA,0.46941
E657_841,0.84253,NA
E314_975,NA,0.97693
E301_193,NA,0.19258
E970_446,0.44634,NA
E706_430,NA,0.43029
E856_596,NA,0.59679
E41_995,0.99699,NA
E523_761,0.76229,NA
E805_796,NA,0.79739
E79_110,0.10933,NA
E528_976,NA,0.97793
E842_770,0.77131,NA
E406_410,0.41023,NA
E894_161,0.16048,NA
E462_807,NA,0.80843
E233_950,0.95186,NA
E408_248,0.24774,NA
E874_314,0.31394,NA
E82_468,NA,0.46841
E971_1,NA,0.0
E42_130,NA,0.12939
E530_395,NA,0.39519
E51_366,NA,0.3661
E809_300,0.2999,NA
E306_380,0.38014,NA
E681_51,0.05015,NA
E99_1,0.0,NA
E733_852,0.85356,NA
E990_577,NA,0.57773
E514_167,NA,0.1665
E55_247,0.24674,NA
E834_650,NA,0.65095
E123_386,0.38616,NA
E974_629,0.62989,NA
E918_945,NA,0.94684
E942_731,NA,0.7322
E423_898,NA,0.8997
E58_797,NA,0.7984
E826_397,0.39719,NA
E500_347,NA,0.34704
E577_105,0.10431,NA
E945_722,0.72317,NA
E61_806,0.80742,NA
E323_69,NA,0.0682
E837_703,0.70411,NA
E366_301,0.3009,NA
E37_412,NA,0.41224
E596_227,0.22668,NA
E872_513,NA,0.51354
E251_54,0.05316,NA
E380_393,NA,0.39318
E159_606,NA,0.60682
E946_145,0.14443,NA
E250_566,0.5667,NA
E267_598,0.5988,NA
E780_910,NA,0.91174
E628_126,0.12538,NA
E879_286,0.28586,NA
E622_226,NA,0.22568
E730_73,NA,0.07222
E98_14,0.01304,NA
E775_312,0.31194,NA
E760_556,0.55667,NA
E709_142,0.14142,NA
E409_334,NA,0.334
E271_187,0.18656,NA
E650_415,0.41525,NA
E783_831,NA,0.8325
E131_63,0.06219,NA
E836_935,0.93681,NA
E625_894,0.89569,NA
E921_123,0.12237,NA
