	dim1	dim2	pt
E861_93	-13.979388	0.70254344	0.09228
E919_356	0.98363495	2.7105362	0.35607
E742_533	10.7986	17.416563	0.5336
E815_250	-4.308391	-0.8678999	0.24975
E886_449	5.6119742	-12.573119	0.44935
E33_181	-7.1153073	-0.1731544	0.18054
E259_635	7.1665244	-13.023457	0.63591
E932_200	-12.211482	-0.98415935	0.1996
E540_153	-6.2733464	-0.1503605	0.15246
E834_412	1.7796383	-5.826505	0.41224
E970_645	5.045089	15.326612	0.64594
E844_161	-9.424871	-0.3174831	0.16048
E729_439	2.6306229	5.4334416	0.43932
E735_535	4.4220686	-12.942191	0.53561
E398_811	4.594471	-14.671063	0.81244
E497_989	5.6865215	-14.614058	0.99097
E105_294	-3.4007218	0.22909008	0.29388
E468_71	-17.161425	-0.6126345	0.07021
E206_671	6.579089	15.38299	0.67202
E859_236	-10.559502	0.13702855	0.23571
E818_572	3.2679667	-14.951009	0.57272
E593_933	5.832547	-13.177268	0.9348
E641_117	-15.840073	1.483881	0.11635
E415_801	8.544794	-13.981804	0.80241
E363_129	-13.261118	0.7692592	0.12839
E317_931	11.0934105	15.789654	0.9328
E797_552	5.687916	-15.634304	0.55266
E750_81	-15.930476	1.0654608	0.08024
E247_281	0.44750136	1.1508845	0.28084
E728_843	8.014349	-17.398954	0.84453
E650_695	9.648019	16.151304	0.69609
E570_10	-18.099752	3.6947448	0.00903
E71_561	6.7984285	15.409084	0.56169
E976_537	3.8689065	15.428577	0.53761
E175_585	7.8358893	-12.448095	0.58576
E632_643	11.943599	16.752691	0.64393
E208_809	13.228179	17.418741	0.81043
E190_387	2.8744357	5.508503	0.38716
E799_511	5.2918053	-16.305609	0.51153
E62_411	4.314523	-12.3959675	0.41123
E599_463	8.290947	15.078564	0.46339
E255_858	6.760277	-18.368155	0.85958
E836_727	12.777877	17.790173	0.72818
E835_868	4.8909273	-17.009764	0.86961
E841_55	-17.730549	0.76514554	0.05416
E719_425	3.148997	5.6566663	0.42528
E339_149	-10.9408655	-1.0292922	0.14845
E879_620	3.2426057	14.245204	0.62086
E182_792	8.884307	-14.023399	0.79338
E876_324	1.720101	4.040814	0.32397
E958_774	8.892969	-16.970175	0.77533
E658_111	-15.3629055	0.2586351	0.11033
E470_466	2.46094	-12.311805	0.4664
E779_226	-11.603283	-0.34170148	0.22568
E858_504	10.163377	16.068657	0.50451
E429_159	-10.372722	-0.4764638	0.15848
E391_476	0.36476374	2.0504751	0.47643
E354_190	-4.9250855	1.1439314	0.18957
E392_672	7.0966177	-12.705213	0.67302
E364_753	6.008037	-17.501127	0.75426
E312_40	-17.53572	2.9147544	0.03912
E871_767	6.101883	-18.004705	0.7683
E891_651	5.2523193	-12.640421	0.65196
E649_947	9.03195	-17.433842	0.94885
E621_940	13.267789	17.67416	0.94183
E121_846	1.6629438	4.76395	0.84754
E580_264	-5.0258627	0.21567725	0.26379
E753_945	8.414773	-18.959152	0.94684
E837_689	2.5697978	16.855299	0.69007
E752_166	-9.994654	-0.4259441	0.1655
E327_664	7.9737377	-13.48915	0.66499
E962_637	7.0888886	-15.502605	0.63791
E699_974	10.399084	16.849527	0.97593
E622_290	0.7071616	-4.7999253	0.28987
E872_47	-17.55643	2.7183375	0.04614
E42_444	1.7469432	-4.868045	0.44433
E378_912	8.364048	-14.436741	0.91374
E47_121	-11.7736635	0.36075926	0.12036
E607_369	1.579681	3.4790657	0.36911
E381_827	4.862906	-12.652873	0.82849
E331_296	0.7507518	-4.817802	0.29589
E179_786	7.4105716	15.806606	0.78736
E980_5	-18.030699	3.9667423	0.00401
E760_379	1.2647908	2.9073858	0.37914
E718_608	4.452301	14.309301	0.60883
E143_975	5.597067	-15.255941	0.97693
E706_711	7.6546106	-15.348664	0.71214
E181_857	3.013165	14.653816	0.85858
E346_224	-4.7367754	0.07866056	0.22367
E499_548	4.9078374	-14.233979	0.54865
E64_430	2.911566	5.2154913	0.43029
E195_755	4.3993797	-17.09001	0.75627
E654_286	0.23140974	1.9505602	0.28586
E467_579	6.670361	15.0930195	0.57974
E65_519	9.242226	-16.56528	0.51956
E108_87	-14.630152	0.46711484	0.08626
E534_336	0.5153833	1.4981256	0.33601
E435_688	13.378912	17.804066	0.68907
E128_32	-16.48047	0.9558487	0.03109
E428_75	-17.192434	1.0611755	0.07422
E945_345	0.55289537	2.1477962	0.34504
E655_355	0.6392189	2.4778645	0.35507
E358_327	0.65093625	1.3314838	0.32698
E956_437	7.7732134	-14.495377	0.43731
E694_871	4.7104807	-19.509512	0.87262
E914_286	-8.319159	-0.63430315	0.28586
E240_515	2.220408	-6.4781384	0.51555
E236_95	-13.468873	0.695607	0.09428
E530_945	9.381699	-14.708664	0.94684
E458_51	-16.421133	0.72369695	0.05015
E883_295	0.2847997	-4.2012334	0.29488
E804_30	-17.923952	2.3383458	0.02909
E480_242	-8.161567	0.18392901	0.24173
E761_891	7.4449987	-18.26151	0.89268
E863_475	10.82826	16.941639	0.47543
E329_790	5.0305696	15.781332	0.79137
E853_236	-3.7579904	1.1849931	0.23571
E223_581	9.83512	15.785706	0.58175
E348_337	-0.31298476	-2.8496437	0.33701
E897_405	6.4395375	-14.307399	0.40522
E26_690	8.926947	-15.296473	0.69107
E543_218	-7.3630185	-0.113542445	0.21765
E608_535	7.355961	-19.546768	0.53561
E153_274	-3.8598459	0.47876704	0.27382
E936_200	-11.101605	0.59695333	0.1996
E777_791	2.6942728	14.167147	0.79238
E843_949	9.307483	-15.02362	0.95085
E674_730	5.3919454	-15.644084	0.73119
E684_236	-9.39643	-0.41320232	0.23571
E427_7	-18.076525	3.8348486	0.00602
E257_6	-18.06357	4.191837	0.00502
E116_8	-18.111746	4.090547	0.00702
E547_282	0.6368764	-4.224789	0.28185
E845_645	5.58936	16.208735	0.64594
E900_243	-4.783922	0.7053368	0.24273
E292_946	7.567797	-15.71077	0.94784
E657_371	0.9284306	1.9243691	0.37111
E920_168	-10.905174	-0.81374204	0.1675
E586_398	1.8643345	-7.6769543	0.39819
E633_860	3.9390376	-14.455149	0.86158
E917_131	-12.41605	-0.4124074	0.13039
E299_470	2.8690212	5.3393874	0.47041
E776_656	10.412545	16.420204	0.65697
E697_703	7.5228376	-16.512993	0.70411
E225_307	-2.7515643	0.77710736	0.30692
E977_506	5.1397786	-15.212905	0.50652
E434_453	4.0028706	-9.55886	0.45336
E316_817	9.468754	-13.322393	0.81846
E957_927	2.5089424	14.659443	0.92879
E49_243	-3.197782	1.5873605	0.24273
E330_592	8.872543	-15.928165	0.59278
E673_370	0.5142451	1.5413722	0.37011
E688_282	-5.777364	0.9601542	0.28185
E76_344	0.77245253	-4.4847207	0.34403
E587_269	-2.109486	-1.1579832	0.26881
E481_73	-16.194172	0.34874597	0.07222
E209_762	3.3175492	15.339823	0.76329
E389_232	-6.1205645	0.080115914	0.2317
E450_127	-12.565113	0.034150504	0.12638
E14_330	0.6520672	-5.1954436	0.32999
E43_707	4.555208	-17.722692	0.70812
E616_204	-11.040943	-0.059063047	0.20361
E432_839	2.457541	15.245351	0.84052
E366_223	-4.225787	0.5509346	0.22267
E384_495	3.5812738	7.402791	0.49549
E315_4	-18.240532	3.9443097	0.00301
E944_52	-17.530273	0.95281696	0.05115
E949_58	-16.214846	0.537449	0.05717
E117_597	5.7330303	15.264907	0.59779
E289_895	2.2451642	14.522783	0.89669
E290_456	7.6889987	15.84863	0.45637
E780_589	6.8719425	-14.651344	0.58977
E784_305	-8.411368	0.11581578	0.30491
E520_478	4.4833016	-10.335193	0.47844
E973_887	8.206647	-15.111941	0.88867
E192_903	3.3445752	14.893674	0.90471
E800_412	2.3851442	-6.219592	0.41224
E630_527	6.115796	15.387097	0.52758
E486_245	-4.8533955	-0.476558	0.24473
E927_197	-4.9868803	0.13071859	0.19659
E147_800	6.44625	-17.002329	0.8014
E993_722	12.335328	17.092041	0.72317
E332_233	-3.3817706	0.05545925	0.2327
E588_144	-11.871425	0.2441426	0.14343
E229_667	8.53488	-14.966931	0.668
E60_367	1.8671317	3.3942435	0.3671
E198_974	11.919846	16.85898	0.97593
E351_193	-10.046355	0.1954161	0.19258
E114_983	6.1788487	-15.514027	0.98495
E404_229	-9.274256	0.23534603	0.22869
E281_227	-6.6271486	-0.5822813	0.22668
E204_443	4.5776553	-10.272833	0.44333
E227_528	4.6342072	11.933315	0.52859
E235_859	5.1502686	14.506713	0.86058
E423_7	-18.360012	3.0633967	0.00602
E526_593	7.2701416	15.767057	0.59378
E297_715	11.512825	16.803333	0.71615
E940_838	6.155106	15.455608	0.83952
E895_477	6.2277884	-14.700478	0.47743
E583_986	6.4449596	-17.725706	0.98796
E447_184	-6.6653647	-0.21263212	0.18355
E528_935	3.218065	-17.994219	0.93681
E893_813	9.962499	16.577312	0.81444
E314_54	-17.09647	0.53932565	0.05316
E828_382	2.8602443	4.8086715	0.38215
E81_918	4.032123	14.634241	0.91976
E636_436	2.8664854	-6.7268887	0.43631
E870_173	-5.66159	-0.7666312	0.17252
E416_684	5.3410854	-15.789347	0.68506
E200_657	12.487454	17.71513	0.65797
E498_823	2.9556315	-17.567217	0.82447
E491_53	-17.214373	0.721429	0.05216
E123_963	5.6565485	16.193264	0.96489
E854_61	-16.827013	0.3386787	0.06018
E245_217	-4.0658436	0.17664653	0.21665
E469_866	13.132491	17.473028	0.8676
E659_768	13.014296	17.306328	0.76931
E764_879	4.417048	-16.043629	0.88064
E856_399	1.2447288	-6.409791	0.3992
E298_595	5.834511	16.02682	0.59579
E533_819	3.8093657	-14.945251	0.82046
E899_662	4.834114	-15.57095	0.66299
E21_404	0.32559785	-3.9498432	0.40421
E489_16	-17.578127	3.4241717	0.01505
E937_703	4.880751	15.127347	0.70411
E916_734	2.3401003	13.787358	0.73521
E644_638	11.223042	17.093264	0.63892
E677_701	5.4125896	-12.336973	0.70211
E778_89	-16.002243	0.29062188	0.08826
E504_248	-4.4503055	0.6681737	0.24774
E681_742	2.579856	14.4319	0.74323
E17_803	6.4848537	-18.246523	0.80441
E652_165	-11.604781	-0.46646747	0.16449
E474_290	0.33291146	-3.859147	0.28987
E268_953	4.069761	14.956327	0.95486
E610_16	-18.180565	3.9782875	0.01505
E12_989	3.9434958	-18.957682	0.99097
E661_428	3.0972302	5.968752	0.42828
E188_486	1.8839983	-10.408318	0.48646
E775_460	4.103246	14.524301	0.46038
E638_19	-18.49534	2.9032643	0.01805
E711_445	2.7109504	5.2361565	0.44534
E955_584	7.550956	-16.57481	0.58475
E646_221	-4.572012	-0.092267826	0.22066
E115_578	7.4094925	-16.360016	0.57874
E812_838	4.3303356	-19.228783	0.83952
E464_94	-16.624895	1.3143958	0.09328
E515_828	9.883082	-14.90249	0.82949
E577_820	3.571586	14.625859	0.82146
E155_719	6.645152	-19.762682	0.72016
E556_495	3.163737	5.9332533	0.49549
E987_376	0.7161028	-4.3373957	0.37613
E217_817	6.214788	-16.942432	0.81846
E738_215	-11.3323145	-0.38497365	0.21464
E527_320	0.15532605	-3.6448364	0.31996
E107_611	5.5766544	-12.983107	0.61184
E445_153	-14.798999	0.96903855	0.15246
E454_206	-4.439666	0.31929374	0.20562
E77_866	8.58721	-17.038637	0.8676
E747_361	1.2989643	-5.6220074	0.36108
E852_975	7.95372	-17.22171	0.97693
E959_612	6.568928	-13.553092	0.61284
E326_766	9.703921	-14.089717	0.7673
E216_226	-2.239596	-1.4548975	0.22568
E173_552	1.4758501	16.606533	0.55266
E868_373	3.304045	5.4662275	0.37312
E74_335	0.9667745	-2.225499	0.33501
E154_856	5.356332	15.220458	0.85757
E449_576	2.973156	14.007339	0.57673
E341_422	3.6042163	-8.9579	0.42227
E335_519	11.255964	17.295256	0.51956
E352_552	3.9203763	-12.24956	0.55266
E82_695	6.4754963	-18.719055	0.69609
E942_162	-10.518563	-0.6481272	0.16148
E726_606	7.9438806	-14.259464	0.60682
E145_129	-13.942945	1.1830715	0.12839
E322_199	-3.644555	0.77618104	0.1986
E131_358	2.538355	4.6291003	0.35807
E668_734	3.202071	14.346131	0.73521
E110_927	7.2864127	-18.657574	0.92879
E137_824	4.740029	16.287523	0.82548
E536_44	-17.213394	1.5037915	0.04313
E158_281	-4.1897883	0.23249656	0.28084
E819_965	7.598039	15.781317	0.9669
E546_457	3.9337523	-11.197523	0.45737
E811_912	5.888868	14.790937	0.91374
E998_663	4.924182	-14.623282	0.66399
E969_308	0.89573276	2.9655197	0.30792
E745_414	2.67089	6.0420184	0.41424
E698_304	-4.179111	1.2527442	0.30391
E825_992	8.544205	-17.496866	0.99398
E118_432	2.832314	-12.5126915	0.4323
E869_878	7.120712	15.723667	0.87964
E451_281	-9.767713	-0.5163461	0.28084
E319_238	-4.527394	-0.37111712	0.23771
E83_183	-11.228363	-0.9313167	0.18255
E560_197	-4.752854	0.07540509	0.19659
E355_43	-17.032795	2.1716466	0.04213
E613_552	4.8159966	-14.881126	0.55266
E365_968	10.354797	16.53393	0.96991
E985_430	0.74265003	2.2189264	0.43029
E545_740	7.0605774	15.66802	0.74122
E663_689	6.4671865	16.256046	0.69007
E885_524	4.440485	-10.0777855	0.52457
E400_922	5.452751	-18.824965	0.92377
E561_67	-16.317146	0.6687852	0.0662
E623_611	5.5211163	-18.613815	0.61184
E585_524	6.7390137	-15.162978	0.52457
E296_916	10.499145	-15.597111	0.91775
E601_82	-14.983878	0.68925035	0.08124
E798_830	5.7197104	-15.024041	0.83149
E948_648	5.9474063	-13.3685665	0.64895
E685_501	1.7414559	-9.430672	0.5015
E660_553	10.050262	16.823303	0.55366
E541_260	0.6752373	1.2402923	0.25978
E224_21	-17.987564	3.003097	0.02006
E350_147	-13.566428	0.65903234	0.14644
E581_783	3.0074294	-18.666212	0.78435
E966_604	5.7958055	-14.560513	0.60481
E263_709	9.220022	16.286045	0.71013
E816_780	5.767646	-13.053882	0.78134
E817_419	2.314625	4.2314177	0.41926
E715_88	-16.014942	-0.17400187	0.08726
E892_347	1.6942862	-2.1241343	0.34704
E40_981	12.137631	17.560354	0.98295
E462_820	6.2232413	-15.013586	0.82146
E908_747	6.3840613	-16.060692	0.74824
E91_732	8.406264	-13.637865	0.7332
E244_218	-11.723151	0.43634224	0.21765
E55_47	-18.532286	2.2780783	0.04614
E912_355	1.2587461	-6.370194	0.35507
E758_612	3.245901	14.109761	0.61284
E875_455	5.8333073	-14.153408	0.45537
E802_691	8.684764	-16.594828	0.69208
E705_194	-10.479871	-0.98041695	0.19358
E27_295	-1.5575567	-1.4089223	0.29488
E619_878	10.220872	-15.818148	0.87964
E571_576	4.828657	14.52696	0.57673
E267_162	-10.623836	-0.09943781	0.16148
E41_318	-4.989437	-0.48079094	0.31795
E402_47	-16.406979	2.273792	0.04614
E696_600	5.7642484	15.423592	0.6008
E579_833	4.1030364	-19.288748	0.8345
E768_303	0.832272	2.2981174	0.30291
E991_782	4.8996696	-17.883368	0.78335
E146_450	3.0410244	5.620091	0.45035
E63_292	0.952162	-5.009558	0.29188
E848_237	-3.5265872	0.5819287	0.23671
E233_128	-12.022901	-1.2791206	0.12738
E609_679	4.187283	-14.194536	0.68004
E548_443	2.120899	-7.6499357	0.44333
E813_376	2.866834	5.810348	0.37613
E414_818	8.557102	-13.424774	0.81946
E767_492	6.5187674	-17.025856	0.49248
E712_275	-5.519186	1.5287505	0.27482
E444_744	6.320904	15.812752	0.74524
E345_376	2.565962	5.314863	0.37613
E219_412	3.1647947	6.0760946	0.41224
E126_906	6.224985	-19.760052	0.90772
E95_373	1.3680209	-5.94058	0.37312
E399_732	9.191872	-14.28145	0.7332
E500_514	4.4796243	-9.578516	0.51454
E241_659	3.1707902	-16.834253	0.65998
E568_808	3.0005848	14.959149	0.80943
E727_72	-16.479362	1.6131674	0.07121
E765_985	6.993916	15.529288	0.98696
E100_640	2.9363067	-17.328188	0.64092
E124_113	-11.900325	0.3472638	0.11234
E653_376	1.425265	3.2690945	0.37613
E300_421	5.5739207	-11.956654	0.42126
E338_602	7.378167	-13.038718	0.60281
E516_186	-10.022257	-0.2652578	0.18556
E436_901	1.8082453	14.758159	0.90271
E612_87	-15.208002	-0.13606709	0.08626
E370_550	12.43213	17.047775	0.55065
E494_34	-16.866573	3.0345457	0.0331
E293_684	7.522719	-16.162107	0.68506
E731_52	-16.82096	1.732603	0.05115
E521_319	-0.18258917	1.3598123	0.31896
E851_766	3.6551585	15.342495	0.7673
E544_82	-15.673765	-0.6257941	0.08124
E106_818	9.676826	16.74199	0.81946
