,cl
E0,0
E1,0
E2,1
E3,0
E4,0
E5,1
E6,0
E7,0
E8,1
E9,0
E10,0
E11,0
E12,1
E13,0
E14,1
E15,0
E16,1
E17,0
E18,0
E19,1
E20,0
E21,0
E22,0
E23,0
E24,1
E25,0
E26,1
E27,0
E28,0
E29,0
E30,1
E31,0
E32,0
E33,0
E34,1
E35,0
E36,0
E37,1
E38,0
E39,1
E40,0
E41,1
E42,0
E43,1
E44,0
E45,0
E46,0
E47,0
E48,0
E49,0
E50,0
E51,0
E52,0
E53,0
E54,0
E55,1
E56,1
E57,0
E58,0
E59,1
E60,0
E61,0
E62,0
E63,0
E64,0
E65,0
E66,0
E67,1
E68,0
E69,1
E70,1
E71,0
E72,1
E73,1
E74,0
E75,1
E76,0
E77,0
E78,0
E79,0
E80,0
E81,1
E82,1
E83,0
E84,1
E85,0
E86,0
E87,0
E88,0
E89,0
E90,0
E91,0
E92,1
E93,1
E94,0
E95,0
E96,0
E97,1
E98,1
E99,1
E100,1
E101,1
E102,1
E103,0
E104,0
E105,1
E106,1
E107,0
E108,0
E109,0
E110,1
E111,0
E112,0
E113,0
E114,1
E115,1
E116,1
E117,0
E118,0
E119,0
E120,0
E121,1
E122,0
E123,1
E124,0
E125,0
E126,1
E127,1
E128,0
E129,0
E130,0
E131,0
E132,0
E133,0
E134,1
E135,0
E136,0
E137,0
E138,0
E139,1
E140,0
E141,1
E142,1
E143,0
E144,0
E145,0
E146,0
E147,0
E148,1
E149,0
E150,1
E151,0
E152,1
E153,1
E154,1
E155,1
E156,0
E157,1
E158,0
E159,0
E160,1
E161,1
E162,0
E163,0
E164,1
E165,0
E166,0
E167,1
E168,0
E169,0
E170,0
E171,0
E172,0
E173,0
E174,1
E175,0
E176,1
E177,0
E178,0
E179,1
E180,1
E181,0
E182,0
E183,0
E184,1
E185,1
E186,0
E187,0
E188,0
E189,0
E190,0
E191,1
E192,0
E193,1
E194,0
E195,0
E196,1
E197,0
E198,0
E199,0
E200,0
E201,0
E202,0
E203,0
E204,0
E205,1
E206,1
E207,0
E208,0
E209,0
E210,1
E211,1
E212,1
E213,1
E214,1
E215,0
E216,0
E217,0
E218,0
E219,1
E220,0
E221,0
E222,0
E223,0
E224,0
E225,0
E226,1
E227,0
E228,1
E229,1
E230,1
E231,1
E232,1
E233,0
E234,0
E235,0
E236,1
E237,0
E238,1
E239,0
E240,0
E241,0
E242,0
E243,0
E244,0
E245,1
E246,1
E247,0
E248,0
E249,0
E250,1
E251,0
E252,1
E253,0
E254,0
E255,1
E256,0
E257,0
E258,1
E259,0
E260,0
E261,1
E262,0
E263,1
E264,1
E265,1
E266,0
E267,0
E268,1
E269,1
E270,0
E271,1
E272,0
E273,0
E274,0
E275,1
E276,1
E277,0
E278,1
E279,0
E280,0
E281,1
E282,0
E283,0
E284,1
E285,1
E286,0
E287,1
E288,0
E289,0
E290,1
E291,0
E292,0
E293,0
E294,1
E295,1
E296,0
E297,1
E298,0
E299,0
E300,1
E301,0
E302,1
E303,1
E304,1
E305,1
E306,0
E307,0
E308,1
E309,1
E310,1
E311,0
E312,1
E313,1
E314,1
E315,0
E316,1
E317,0
E318,0
E319,0
E320,0
E321,0
E322,0
E323,0
E324,1
E325,0
E326,0
E327,1
E328,0
E329,0
E330,0
E331,0
E332,0
E333,1
E334,0
E335,0
E336,0
E337,0
E338,0
E339,1
E340,0
E341,0
E342,0
E343,1
E344,0
E345,1
E346,0
E347,1
E348,0
E349,0
E350,0
E351,1
E352,0
E353,1
E354,0
E355,0
E356,0
E357,0
E358,0
E359,0
E360,0
E361,0
E362,0
E363,0
E364,1
E365,0
E366,0
E367,0
E368,1
E369,0
E370,1
E371,0
E372,0
E373,1
E374,1
E375,0
E376,1
E377,0
E378,1
E379,0
E380,0
E381,1
E382,1
E383,0
E384,1
E385,0
E386,0
E387,1
E388,1
E389,1
E390,0
E391,0
E392,1
E393,1
E394,0
E395,0
E396,0
E397,0
E398,0
E399,0
E400,0
E401,0
E402,1
E403,0
E404,0
E405,0
E406,0
E407,0
E408,0
E409,1
E410,1
E411,1
E412,1
E413,0
E414,1
E415,1
E416,0
E417,0
E418,0
E419,0
E420,1
E421,1
E422,0
E423,0
E424,1
E425,0
E426,0
E427,0
E428,1
E429,0
E430,0
E431,0
E432,1
E433,0
E434,1
E435,0
E436,0
E437,0
E438,0
E439,0
E440,0
E441,1
E442,1
E443,1
E444,1
E445,0
E446,0
E447,1
E448,0
E449,0
E450,0
E451,1
E452,0
E453,1
E454,0
E455,0
E456,0
E457,0
E458,1
E459,1
E460,1
E461,1
E462,0
E463,0
E464,0
E465,1
E466,0
E467,0
E468,0
E469,0
E470,0
E471,0
E472,0
E473,0
E474,0
E475,0
E476,0
E477,1
E478,0
E479,0
E480,1
E481,1
E482,0
E483,1
E484,0
E485,0
E486,0
E487,0
E488,0
E489,1
E490,0
E491,0
E492,0
E493,0
E494,0
E495,1
E496,1
E497,0
E498,1
E499,0
E500,1
E501,1
E502,0
E503,0
E504,1
E505,0
E506,0
E507,0
E508,0
E509,1
E510,0
E511,1
E512,1
E513,1
E514,1
E515,0
E516,1
E517,0
E518,1
E519,1
E520,0
E521,1
E522,0
E523,0
E524,1
E525,1
E526,1
E527,0
E528,1
E529,1
E530,0
E531,0
E532,0
E533,1
E534,0
E535,1
E536,0
E537,1
E538,1
E539,0
E540,0
E541,1
E542,0
E543,0
E544,0
E545,1
E546,1
E547,0
E548,0
E549,1
E550,0
E551,1
E552,0
E553,0
E554,1
E555,0
E556,1
E557,0
E558,0
E559,0
E560,0
E561,1
E562,0
E563,0
E564,1
E565,0
E566,0
E567,1
E568,0
E569,1
E570,0
E571,0
E572,1
E573,0
E574,1
E575,0
E576,1
E577,1
E578,1
E579,1
E580,0
E581,1
E582,1
E583,1
E584,1
E585,1
E586,0
E587,0
E588,0
E589,1
E590,1
E591,1
E592,0
E593,1
E594,1
E595,0
E596,1
E597,0
E598,0
E599,1
E600,0
E601,1
E602,1
E603,1
E604,1
E605,1
E606,1
E607,0
E608,0
E609,0
E610,1
E611,1
E612,1
E613,1
E614,1
E615,0
E616,1
E617,0
E618,1
E619,0
E620,1
E621,1
E622,0
E623,0
E624,0
E625,0
E626,0
E627,0
