	dim1	dim2	pt
E769_348	6.362536	-8.039104	0.43538
E954_580	-1.0891455	-10.928241	0.72647
E436_526	13.2391615	0.8401942	0.65872
E213_409	-6.654709	-4.2300334	0.51192
E750_230	8.382166	-7.221218	0.28733
E85_262	10.606518	5.9205866	0.32748
E783_593	2.4088364	12.482333	0.74279
E604_146	3.9631188	-4.893181	0.18193
E670_662	7.040384	-7.958412	0.82936
E68_366	3.1355712	-4.023758	0.45797
E874_104	-5.3213034	6.2874923	0.12923
E781_18	-8.495313	-4.547262	0.02133
E869_715	0.34360847	-8.6781435	0.89586
E996_191	7.2626705	-4.6949096	0.23839
E826_716	-2.5604398	4.5738964	0.89711
E920_298	-6.9034023	0.4467901	0.37265
E226_445	-6.5031757	-3.2398129	0.55709
E744_141	3.8956378	-4.671615	0.17566
E280_108	10.108228	1.6497949	0.13425
E816_652	-0.916859	1.4953295	0.81681
E665_550	-8.29026	2.757325	0.68883
E829_296	4.801585	6.913179	0.37014
E857_151	-1.4170835	1.1793866	0.18821
E936_567	1.0130082	3.9676936	0.71016
E193_195	-6.1084523	4.9710507	0.24341
E983_222	5.1409054	-1.0288032	0.27729
E80_187	14.108292	4.3843412	0.23338
E271_61	-10.818266	-1.9751692	0.07528
E887_311	-10.549775	0.2042602	0.38896
E721_747	9.512593	-4.8966904	0.93601
E103_636	-2.5222716	-11.066194	0.79674
E308_36	-6.858953	3.313363	0.04391
E861_360	-11.870457	-1.5730842	0.45044
E827_453	-6.1014047	8.798955	0.56713
E912_451	10.279895	2.9602919	0.56462
E772_471	-2.6472306	-8.574234	0.58971
E252_684	-1.9986367	-5.8649282	0.85696
E977_276	9.305189	3.5117235	0.34504
E953_599	-3.727171	-0.59290415	0.75031
E793_574	10.456828	5.107544	0.71895
E825_311	0.44960806	-9.996403	0.38896
E614_59	-5.4692187	5.63619	0.07277
E319_505	-5.349682	-8.430234	0.63237
E407_637	-9.75905	0.8708166	0.79799
E660_557	-4.506896	-11.127806	0.69762
E812_685	5.6645155	-6.7122555	0.85822
E867_288	-3.9323163	3.4354055	0.3601
E273_340	-8.586961	-6.2234483	0.42535
E212_425	-1.8174883	-11.364902	0.53199
E545_264	12.469576	3.198811	0.32999
E143_153	-8.300357	-10.053811	0.19072
E644_134	5.7557096	-8.760506	0.16688
E918_336	8.621515	-0.61500967	0.42033
E510_439	6.9578037	8.334812	0.54956
E250_586	3.4566267	2.6932094	0.734
E426_372	11.763959	-2.632228	0.4655
E109_96	-0.49062285	5.7786016	0.1192
E151_208	-2.742997	5.561554	0.25972
E531_170	0.3102668	0.4050611	0.21205
E82_406	11.568179	-1.802395	0.50816
E853_116	-11.750206	1.6961287	0.14429
E23_540	8.447162	6.8111157	0.67629
E787_374	-12.099952	-1.8923776	0.46801
E419_193	-9.587142	-6.9797144	0.2409
E27_656	-6.1164327	-1.233168	0.82183
E227_231	-3.8932748	-9.273198	0.28858
E911_47	-13.439894	4.6750016	0.05772
E808_164	-3.5495644	-1.1787852	0.20452
E167_429	-10.264188	-1.6143074	0.53701
E398_573	1.64148	-9.004235	0.71769
E179_773	8.6369	-5.719308	0.96863
E384_605	-1.3886023	11.353057	0.75784
E623_135	1.3219894	-1.2541217	0.16813
E41_103	15.178425	2.998966	0.12798
E474_574	-0.9621554	-1.8848524	0.71895
E43_41	-13.36121	6.300221	0.05019
E483_639	-6.460104	0.7882664	0.8005
E988_785	14.405208	-1.7264389	0.98369
E332_140	10.678079	1.9117861	0.1744
E738_517	-11.662099	-0.62870115	0.64743
E821_454	-4.506535	10.771277	0.56838
E778_575	1.684617	3.9822474	0.7202
E618_686	5.1696286	11.109868	0.85947
E477_648	-7.5235167	-7.595943	0.81179
E611_162	-4.104781	3.1612778	0.20201
E307_688	6.0790296	2.2655663	0.86198
E506_414	-6.014393	-0.057646822	0.51819
E985_156	1.4583107	-10.972832	0.19448
E584_292	2.7539523	-3.4101892	0.36512
E482_581	-5.1362605	-9.545088	0.72773
E725_254	-9.17588	-3.2785323	0.31744
E831_552	-4.7137628	4.997545	0.69134
E295_296	-12.655463	-2.3893926	0.37014
E265_252	-1.4701378	-13.269843	0.31493
E652_658	-9.697866	-8.298156	0.82434
E563_275	-4.0820165	-0.20712024	0.34379
E138_123	-1.3739173	-2.7349286	0.15307
E461_736	-7.3511214	0.98129845	0.92221
E202_288	0.56804013	-0.15960687	0.3601
E35_556	-0.5066163	5.175485	0.69636
E524_549	0.054434747	4.299131	0.68758
E718_86	12.505116	2.798332	0.10665
E16_191	8.644809	6.178515	0.23839
E698_546	-7.8699794	1.0525789	0.68381
E327_2	-14.544693	8.512082	0.00125
E683_223	-3.445067	-10.793338	0.27854
E22_467	9.227462	-5.7160034	0.58469
E763_572	-3.3129926	-11.356617	0.71644
E952_347	4.8629994	2.8838296	0.43413
E40_766	-1.6264861	-6.9502873	0.95985
E452_65	-5.843492	9.815003	0.0803
E191_774	13.190286	5.1929655	0.96989
E314_303	14.49219	3.025862	0.37892
E269_156	-11.078251	4.9708767	0.19448
E233_678	2.8386068	12.717338	0.84944
E688_366	-6.7453494	-8.355608	0.45797
E104_242	-3.270698	-9.198757	0.30238
E328_312	2.8568094	12.699279	0.39021
E580_127	-1.7624072	-9.786257	0.15809
E495_256	13.95065	-0.41512862	0.31995
E797_511	3.8565397	3.9365194	0.6399
E479_306	12.364373	1.7920948	0.38269
E998_527	8.672611	0.108532205	0.65997
E44_384	7.990805	6.800185	0.48055
E572_174	12.317796	-0.6426355	0.21706
E96_508	1.7681897	7.7986565	0.63614
E756_486	-4.179887	5.940906	0.60853
