,PseudoTime1,PseudoTime2
E439_705,0.88317,NA
E389_181,0.22487,NA
E555_189,0.23492,NA
E234_667,NA,0.83543
E954_397,NA,0.49623
E211_502,NA,0.62814
E570_453,0.56658,NA
E486_574,NA,0.71859
E767_242,0.30151,NA
E927_500,0.62563,NA
E503_67,0.08166,NA
E396_48,NA,0.05779
E837_571,NA,0.71482
E485_221,NA,0.27513
E341_709,NA,0.88819
E595_267,NA,0.33291
E494_578,0.72362,NA
E762_219,NA,0.27261
E807_716,NA,0.89698
E776_420,NA,0.52513
E802_22,NA,0.02513
E697_611,0.76508,NA
E52_31,0.03643,NA
E333_550,NA,0.68844
E107_555,0.69472,NA
E831_402,NA,0.50251
E765_312,0.38945,NA
E989_467,0.58417,NA
E719_489,NA,0.61181
E647_434,NA,0.54271
E772_19,0.02136,NA
E49_59,0.07161,NA
E722_519,NA,0.6495
E800_150,NA,0.18593
E655_336,0.4196,NA
E974_180,NA,0.22362
E844_755,0.94598,NA
E334_378,0.47236,NA
E869_153,NA,0.1897
E137_591,0.73995,NA
E247_296,0.36935,NA
E641_62,NA,0.07538
E237_687,0.86055,NA
E692_58,0.07035,NA
E339_433,NA,0.54146
E380_103,NA,0.12688
E707_507,0.63442,NA
E998_181,0.22487,NA
E23_569,0.71231,NA
E715_684,0.85678,NA
E963_229,NA,0.28518
E729_621,0.77764,NA
E117_754,0.94472,NA
E24_393,0.49121,NA
E1_232,0.28894,NA
E188_156,0.19347,NA
E148_240,0.29899,NA
E526_213,0.26508,NA
E617_566,NA,0.70854
E846_107,0.13191,NA
E745_218,0.27136,NA
E445_228,0.28392,NA
E447_582,0.72864,NA
E969_786,NA,0.98492
E182_627,0.78518,NA
E962_4,0.00251,NA
E896_378,0.47236,NA
E538_158,NA,0.19598
E639_303,0.37814,NA
E302_657,0.82286,NA
E522_216,NA,0.26884
E404_227,0.28266,NA
E492_446,0.55779,NA
E80_768,0.96231,NA
E573_168,NA,0.20854
E970_712,NA,0.89196
E832_726,0.90955,NA
E225_453,0.56658,NA
E604_339,NA,0.42337
E734_743,0.9309,NA
E723_713,0.89322,NA
E98_336,NA,0.4196
E111_772,NA,0.96734
E254_439,NA,0.54899
E946_678,0.84925,NA
E179_702,NA,0.8794
E196_667,0.83543,NA
E278_798,NA,1.0
E618_486,0.60804,NA
E703_489,NA,0.61181
E771_52,NA,0.06281
E525_525,0.65704,NA
E411_687,NA,0.86055
E95_142,NA,0.17588
E201_70,0.08543,NA
E257_356,NA,0.44472
E865_152,0.18844,NA
E672_324,0.40452,NA
E839_168,0.20854,NA
E30_314,NA,0.39196
E266_659,NA,0.82538
E326_175,0.21734,NA
E992_613,0.76759,NA
E678_160,0.19849,NA
