	dim1	dim2	pt
E772_583	19.169466	-1.2954012	0.8362068965517241
E270_420	-17.062382	-5.998949	0.6020114942528736
E237_140	1.3828795	-1.7040782	0.1997126436781609
E740_417	-15.119771	-7.83497	0.5977011494252874
E198_379	12.21041	-0.07428566	0.5431034482758621
E764_1	-0.4184763	15.135677	0.0
E380_170	-3.0367587	0.21167596	0.2428160919540229
E391_132	0.47274387	9.6749325	0.1882183908045977
E678_25	-1.075991	14.663541	0.0344827586206896
E103_46	-0.28440583	9.933613	0.0646551724137931
E775_50	-1.1106519	11.150488	0.0704022988505747
E268_301	-6.643957	0.4543691	0.4310344827586206
E365_201	3.3573503	0.78294724	0.2873563218390804
E705_166	-5.709256	0.7795029	0.2370689655172413
E19_665	21.284891	-3.1076026	0.9540229885057472
E52_255	-7.9426184	-1.0211521	0.3649425287356322
E191_632	-17.398027	-5.132629	0.9066091954022988
E809_298	7.6425767	0.90218437	0.4267241379310345
E570_231	-6.5339518	-0.52541184	0.3304597701149425
E629_675	-15.636663	-6.885578	0.9683908045977012
E739_13	-1.4652742	13.949269	0.0172413793103448
E442_323	11.95149	-0.7331706	0.4626436781609195
E862_210	-7.537688	-0.38484	0.300287356321839
E995_212	8.700449	0.19962326	0.3031609195402299
E239_53	-1.3989311	10.838844	0.0747126436781609
E575_267	7.2469115	1.7035791	0.382183908045977
E512_371	-17.83098	0.9037738	0.5316091954022989
E730_312	17.676674	1.645683	0.4468390804597701
E444_318	7.1536107	0.8706684	0.4554597701149425
E599_661	-16.307953	-4.513636	0.9482758620689656
E550_686	21.236132	-0.9227237	0.9841954022988506
E411_350	-15.983821	-1.6759661	0.5014367816091954
E29_136	1.1894695	1.557716	0.1939655172413793
E751_146	1.8559368	-1.6720618	0.2083333333333333
E654_325	-11.318985	-2.9948454	0.4655172413793103
E752_682	-17.810379	0.932181	0.978448275862069
E77_547	-17.277899	-6.584367	0.7844827586206896
E167_14	-1.1821136	14.844302	0.0186781609195402
E450_551	-16.711885	-1.655591	0.7902298850574713
E612_229	-6.1535125	-0.15280232	0.3275862068965517
E395_134	0.033794377	12.386094	0.1910919540229885
E161_687	19.508472	-2.0724616	0.985632183908046
E443_560	21.034985	-3.8502157	0.8031609195402298
E873_257	7.973569	0.29485208	0.367816091954023
E696_548	-14.28761	-4.0375614	0.7859195402298851
E790_188	-4.3733544	0.41202286	0.2686781609195402
E736_165	-0.53151953	6.666968	0.2356321839080459
E106_615	17.25843	-1.2281682	0.882183908045977
E574_124	-0.9840493	7.2175636	0.1767241379310344
E540_433	-14.459922	-4.3589187	0.6206896551724138
E688_16	-0.9160099	15.053264	0.021551724137931
E193_18	-1.2201301	11.995056	0.0244252873563218
E950_497	17.706984	-2.8723552	0.7126436781609196
E945_263	-7.0652757	-0.62635857	0.3764367816091954
E113_114	1.7759056	-0.6281609	0.1623563218390804
E259_40	-1.4442436	12.956665	0.0560344827586206
E538_390	-11.910479	-3.8728287	0.5589080459770115
E826_451	-14.367281	-2.9406104	0.646551724137931
E966_576	16.4086	-1.4621022	0.8261494252873564
E337_591	17.595863	-3.0066154	0.8477011494252874
E564_652	21.370531	-2.6940112	0.9353448275862069
E425_402	18.92865	-2.4050596	0.5761494252873564
E23_55	0.0061521367	9.504912	0.0775862068965517
E197_88	-1.3741982	8.926706	0.125
E7_627	19.252512	-2.7151384	0.8994252873563219
E519_389	-16.882618	-1.753851	0.5574712643678161
E835_171	-0.40546528	7.0808043	0.2442528735632184
E414_215	-5.046941	-0.08770321	0.3074712643678161
E667_268	-9.090542	-1.2139977	0.3836206896551724
E245_190	0.24960507	-2.0546353	0.271551724137931
E679_12	-0.8059058	13.963221	0.0158045977011494
E757_436	-12.319997	-2.872661	0.625
E286_229	-6.7477403	-1.3544823	0.3275862068965517
E554_11	-1.3093892	13.82443	0.014367816091954
E587_591	22.26929	-3.1894126	0.8477011494252874
E149_513	18.474573	1.6447937	0.735632183908046
E38_631	19.067429	-3.3878229	0.9051724137931034
E441_108	1.2424242	0.3790361	0.153735632183908
E887_244	-7.5724382	-0.45251516	0.3491379310344827
E670_675	-12.9419565	-6.202298	0.9683908045977012
E276_501	22.383972	-2.4397745	0.7183908045977011
E905_67	-1.3409613	9.723729	0.0948275862068965
E374_521	-16.615795	-6.7740173	0.7471264367816092
E189_128	0.61108136	0.87883544	0.1824712643678161
E832_481	17.885471	-2.3179398	0.6896551724137931
E972_250	-4.523896	-0.56150734	0.3577586206896552
E918_443	-15.889369	-7.4261513	0.6350574712643678
E850_524	-13.1126375	-2.020194	0.7514367816091954
E216_331	12.508338	-0.7412817	0.4741379310344827
E361_314	-11.934949	-3.2474704	0.4497126436781609
E723_470	19.633785	-4.7407465	0.6738505747126436
E892_157	0.7314144	-1.4089091	0.2241379310344827
E732_412	17.522202	-1.6656063	0.5905172413793104
E505_186	1.528808	-0.47254804	0.2658045977011494
E919_127	0.8373346	0.11974767	0.1810344827586207
E521_590	19.941526	-4.395185	0.8462643678160919
E317_228	-7.137226	-0.48490912	0.3261494252873563
E5_609	19.725277	-2.2310164	0.8735632183908046
E102_152	0.073338665	-0.8892831	0.2169540229885057
E171_694	23.061235	-0.48086905	0.9956896551724138
E455_373	-13.727811	-2.0602171	0.5344827586206896
E400_401	-7.0241575	-0.9143879	0.5747126436781609
E904_300	-15.927274	-4.208807	0.4295977011494253
E828_673	-15.967192	-7.0714965	0.9655172413793104
E294_518	19.100792	-5.2843966	0.742816091954023
E861_571	20.791286	-0.8490227	0.8189655172413793
E185_493	-13.4871235	-4.599661	0.7068965517241379
E980_431	18.613825	-1.6214083	0.617816091954023
E668_338	6.189465	-0.5471029	0.4841954022988505
E810_153	2.305153	-0.9514916	0.2183908045977011
E453_222	7.0583825	1.3403195	0.3175287356321839
E985_495	22.723303	-1.2396969	0.7097701149425287
E645_135	1.4198372	-1.3589056	0.1925287356321839
E491_629	20.228506	-2.0388823	0.9022988505747126
E258_477	-10.170025	-2.1502807	0.6839080459770115
E507_233	8.493889	-0.37196907	0.3333333333333333
E322_410	-19.052366	-4.5010424	0.5876436781609196
E929_105	-0.12490948	6.826216	0.1494252873563218
E151_78	0.19611418	9.214035	0.1106321839080459
E110_210	7.875669	0.7666541	0.300287356321839
E16_79	-1.3054634	12.448571	0.1120689655172413
E413_392	13.250946	-1.1370274	0.5617816091954023
E559_411	12.920492	-1.6751195	0.5890804597701149
E174_306	11.99228	-0.8446762	0.4382183908045977
E17_74	-0.69032055	8.443075	0.1048850574712643
E41_580	-15.859053	-4.396344	0.8318965517241379
E526_451	-17.579683	-3.176688	0.646551724137931
E73_179	-0.41156647	6.1735096	0.2557471264367816
E970_385	12.95283	-0.74831915	0.5517241379310345
E827_554	-18.404478	-3.0320034	0.7945402298850575
E591_608	20.098574	-0.89392406	0.8721264367816092
E517_666	18.50446	1.6339208	0.9554597701149424
E830_260	12.279616	-0.5928182	0.3721264367816091
E295_405	-17.606396	-5.367291	0.5804597701149425
