	dim1	dim2	pt
E782_532	15.771409	-18.63269	0.7618364418938307
E845_60	3.5628695	-5.8595023	0.0846484935437589
E736_494	3.235188	-3.4583197	0.7073170731707317
E404_398	-13.724995	20.030758	0.569583931133429
E562_516	-8.773025	9.16118	0.7388809182209469
E392_551	2.3639562	-4.571551	0.7890961262553802
E592_345	-6.271824	3.0012443	0.4935437589670014
E343_10	11.402759	-12.980331	0.0129124820659971
E743_121	-10.635724	13.248603	0.1721664275466284
E435_3	18.579996	-21.25996	0.0028694404591104
E723_528	-0.2699699	-0.006386746	0.7560975609756098
E446_354	-7.187206	7.501718	0.5064562410329986
E70_262	0.74709034	-0.8815287	0.3744619799139168
E569_543	-7.16569	9.7186985	0.7776183644189383
E158_288	-10.413655	15.354834	0.4117647058823529
E154_9	17.243563	-19.417648	0.0114777618364418
E179_136	14.15562	-16.38802	0.1936872309899569
E108_605	7.6897583	-6.9641623	0.866571018651363
E709_618	-9.198325	11.051974	0.8852223816355811
E395_561	4.1364045	-6.336833	0.8034433285509326
E815_535	14.869922	-15.935163	0.7661406025824964
E942_527	-12.92329	17.123837	0.7546628407460545
E206_93	-13.846312	19.208832	0.1319942611190817
E398_137	7.1594815	-11.436216	0.1951219512195122
E639_379	-4.3198323	9.5706835	0.5423242467718795
E382_417	-7.376474	10.768771	0.5968436154949784
E602_240	1.4524899	0.6955794	0.3428981348637016
E457_278	-10.731144	12.66162	0.3974175035868005
E547_333	-11.690013	15.114501	0.4763271162123386
E761_264	11.138574	-13.55304	0.3773314203730272
E506_247	-6.9382114	8.544772	0.3529411764705882
E866_495	-4.252866	9.469065	0.7087517934002869
E666_351	10.966985	-12.505308	0.5021520803443329
E676_239	-4.3135633	7.625727	0.3414634146341463
E695_505	17.63695	-20.526638	0.7230989956958394
E174_236	14.53824	-16.796946	0.3371592539454806
E715_301	-13.43192	19.467426	0.430416068866571
E455_435	9.640658	-11.002287	0.6226685796269728
E526_373	14.9983425	-16.70334	0.533715925394548
E983_529	5.989484	-3.57023	0.757532281205165
E381_384	-2.7666106	2.6714225	0.5494978479196556
E784_219	1.6367605	-2.5213547	0.3127690100430416
E531_223	-1.6612399	1.3814324	0.3185078909612625
E627_654	-8.942658	9.898841	0.9368723098995696
E300_60	16.140718	-18.81953	0.0846484935437589
E549_73	1.1185495	-3.987172	0.103299856527977
E793_471	-11.832656	15.951846	0.6743185078909613
E811_10	17.66416	-20.333342	0.0129124820659971
E367_526	7.5064554	-9.043997	0.7532281205164992
E749_621	-9.46801	9.9382305	0.8895265423242468
E889_416	-12.117449	15.133709	0.5954088952654233
E504_233	-8.031584	7.130093	0.3328550932568149
E530_174	-3.9374	3.4972124	0.2482065997130559
E307_273	17.306787	-19.841394	0.3902439024390244
E867_212	-11.919673	15.703852	0.3027259684361549
E169_534	-9.217021	6.924286	0.7647058823529411
E180_235	-9.538979	5.6006026	0.3357245337159254
E162_432	-1.6407156	0.04152106	0.6183644189383071
E311_427	8.099322	-9.996051	0.6111908177905309
E74_275	-7.8838086	10.527494	0.3931133428981349
E804_558	-7.700041	7.342068	0.7991391678622669
E668_498	7.362503	-9.95401	0.7130559540889526
E976_77	8.643995	-14.325228	0.1090387374461979
E80_30	9.790921	-9.709844	0.0416068866571018
E978_153	9.942935	-11.182436	0.2180774748923959
E672_508	14.822569	-18.02333	0.727403156384505
E949_412	-14.134989	18.95253	0.5896700143472023
E257_386	-0.13024051	3.6140904	0.5523672883787661
E319_215	-2.799849	2.491323	0.3070301291248206
E774_39	15.975808	-16.806252	0.0545193687230989
E124_655	8.130261	-9.823764	0.9383070301291248
E368_570	-5.3399816	5.322152	0.8163558106169297
E81_101	18.652397	-20.919743	0.1434720229555236
E675_547	4.3946323	-5.2524447	0.7833572453371592
E301_612	-0.16511747	3.6591673	0.8766140602582496
E732_571	15.359268	-17.469938	0.8177905308464849
E678_563	-2.8107312	4.762468	0.806312769010043
E975_39	19.103432	-21.33233	0.0545193687230989
E90_683	14.234783	-16.166029	0.9784791965566716
E246_571	10.334046	-9.775736	0.8177905308464849
E864_616	-5.7045174	2.9617124	0.8823529411764706
E708_172	8.786172	-11.68843	0.2453371592539454
E525_69	7.548885	-5.7441893	0.0975609756097561
E735_280	-4.597794	2.3119671	0.400286944045911
E521_441	-12.708466	18.008728	0.6312769010043041
E612_359	-2.8552802	3.500007	0.5136298421807748
E559_352	4.281396	-1.7266566	0.503586800573888
E229_620	-7.696903	9.543344	0.8880918220946915
E664_284	5.6372223	-7.2028613	0.406025824964132
E711_649	12.836146	-16.044462	0.9296987087517934
E817_545	4.033327	-2.588495	0.7804878048780488
E945_159	3.2615993	-2.4379597	0.2266857962697274
E271_495	-13.6001215	19.027603	0.7087517934002869
E330_296	1.5035226	-5.530765	0.4232424677187948
E839_467	-14.208228	19.128736	0.6685796269727403
E682_58	6.0976624	-10.352382	0.0817790530846484
E671_150	-8.264795	11.566967	0.2137733142037302
E912_696	-5.0256042	6.8509374	0.9971305595408896
E148_366	-9.706232	10.862255	0.5236728837876614
E345_477	-3.8079476	4.4172688	0.6829268292682927
E427_137	8.074645	-11.612839	0.1951219512195122
E706_470	-0.80256563	1.206168	0.672883787661406
E477_472	7.445555	-7.4539557	0.6757532281205165
E673_191	-10.784555	13.177197	0.2725968436154949
E861_529	-1.2546681	-0.18221503	0.757532281205165
E903_199	14.647822	-17.146126	0.2840746054519368
E377_50	3.160363	-1.6943698	0.0703012912482066
E83_559	-5.3001165	8.736734	0.8005738880918221
E599_490	5.3173475	-7.4426403	0.7015781922525107
E96_137	-11.46171	13.825136	0.1951219512195122
E962_572	14.315981	-16.944134	0.8192252510760402
E380_489	12.522364	-12.573221	0.7001434720229556
E910_321	15.369713	-17.645676	0.4591104734576757
E896_666	-5.4225206	10.346552	0.9540889526542324
E223_537	3.4878817	-4.431634	0.7690100430416069
E317_110	-0.8536665	1.2490218	0.1563845050215208
E909_541	-11.349837	9.591741	0.7747489239598279
E704_682	9.968156	-10.910728	0.9770444763271162
E267_210	-5.49191	6.615988	0.2998565279770445
E259_292	-0.057600535	-0.4744413	0.4175035868005738
E505_159	0.60459626	-3.5426364	0.2266857962697274
E67_41	16.29095	-18.075089	0.0573888091822094
E219_147	6.996935	-8.582871	0.2094691535150645
E420_374	15.891248	-13.824471	0.5351506456241033
E953_195	-9.440464	6.480808	0.2783357245337159
E250_524	-2.7084134	1.2947546	0.7503586800573888
E972_170	-9.341472	7.206236	0.242467718794835
E269_208	0.86815673	-2.1938534	0.296987087517934
E2_698	10.537294	-11.991796	1.0
E552_562	6.43272	-7.7239037	0.8048780487804879
E159_667	8.126721	-9.479132	0.9555236728837876
E670_431	14.672194	-16.955294	0.6169296987087518
E56_313	-12.799329	16.631966	0.4476327116212338
E893_261	-4.6874814	3.5865145	0.3730272596843615
E648_194	-10.408515	13.722836	0.2769010043041607
E507_263	17.39509	-19.651087	0.375896700143472
E38_614	-9.458934	13.436646	0.8794835007173601
E980_501	-11.941183	16.3412	0.7173601147776184
E371_137	-7.200771	4.6261907	0.1951219512195122
E954_281	-8.33246	7.5848346	0.4017216642754663
E881_106	-13.743976	19.078638	0.1506456241032998
E36_18	19.022566	-22.04529	0.024390243902439
E968_170	-12.131647	16.10672	0.242467718794835
E376_454	-0.14249729	-3.1382663	0.6499282639885222
E746_36	15.144599	-17.618214	0.0502152080344332
E685_684	-0.5788742	-2.1438565	0.9799139167862266
E703_310	7.8760095	-9.319138	0.4433285509325681
E737_516	-11.531768	14.47454	0.7388809182209469
E992_460	5.231374	-5.703328	0.6585365853658537
E204_299	9.979944	-9.069382	0.4275466284074605
E312_130	-10.960434	13.910747	0.1850789096126255
E899_409	-14.137908	19.336985	0.5853658536585366
E935_12	18.371	-20.993544	0.0157819225251076
E199_431	-7.0779443	8.156464	0.6169296987087518
E999_179	-13.546514	18.509829	0.2553802008608321
E590_414	-10.5476675	13.239799	0.5925394548063128
E440_271	-3.2203093	5.8324523	0.3873744619799139
E726_581	12.609488	-13.475629	0.8321377331420373
E605_199	9.087264	-7.0481296	0.2840746054519368
E426_578	-0.010714189	3.48823	0.8278335724533716
E53_199	-8.507186	12.198225	0.2840746054519368
E796_25	18.159805	-19.652521	0.0344332855093256
E428_255	-5.614424	4.5597086	0.3644189383070301
E264_126	-2.2116277	0.6667856	0.1793400286944046
E831_36	17.856499	-20.076092	0.0502152080344332
E901_655	5.519258	-3.5026574	0.9383070301291248
E240_76	18.8573	-21.832527	0.1076040172166427
E210_200	-13.7084675	17.201866	0.2855093256814921
E795_313	5.618227	-4.6575356	0.4476327116212338
E365_314	-9.270703	9.853455	0.4490674318507891
E258_641	11.236213	-11.303548	0.9182209469153516
E573_258	-3.5198812	0.7083265	0.3687230989956958
E965_359	-14.587505	17.322502	0.5136298421807748
E295_662	-8.686413	10.420586	0.9483500717360116
E77_615	-0.470251	-0.82323563	0.8809182209469153
E607_268	15.691876	-17.258013	0.3830703012912482
E448_640	-3.112482	1.8070993	0.9167862266857962
E850_482	-5.737986	6.4125395	0.6901004304160688
E45_608	18.38296	-20.48994	0.8708751793400287
E171_415	-13.597083	19.493809	0.593974175035868
E616_280	-1.039932	-3.299524	0.400286944045911
E26_219	-12.543426	17.225206	0.3127690100430416
E638_475	10.463582	-10.701014	0.6800573888091822
E724_302	1.0854787	-1.7994156	0.4318507890961262
E958_406	14.925885	-16.45928	0.5810616929698709
