	dim1	dim2	pt
E33_51	-4.736548	3.3742404	0.1006036217303823
E352_304	-2.8630335	13.203007	0.6096579476861167
E398_177	-0.56793076	-10.96049	0.3541247484909456
E316_412	8.278505	-6.6735935	0.8269617706237424
E61_334	-0.9918624	20.041306	0.670020120724346
E212_384	-0.87412053	26.277918	0.7706237424547284
E969_370	6.666977	-8.603144	0.7424547283702213
E256_260	-2.0604196	14.330901	0.5211267605633803
E276_141	-1.5080374	-22.559744	0.2816901408450704
E104_85	-3.8995786	12.088676	0.1690140845070422
E223_449	-1.7480971	29.229624	0.9014084507042254
E808_62	-3.8406987	2.0276947	0.1227364185110664
E29_258	8.368027	-5.6559796	0.5171026156941649
E405_258	3.6760094	-13.566818	0.5171026156941649
E912_333	-0.89129496	25.37735	0.6680080482897385
E655_246	-1.4254818	-22.83824	0.4929577464788732
E917_422	-0.09830811	-18.630201	0.8470824949698189
E373_198	-1.4760184	15.720553	0.3963782696177062
E620_428	-1.1415883	23.443882	0.8591549295774648
E595_379	0.49055666	20.439985	0.7605633802816901
E827_265	4.2595196	-12.005589	0.5311871227364185
E731_115	-1.2463171	-16.413544	0.2293762575452716
E213_250	-3.7814193	11.844584	0.5010060362173038
E12_10	-1.8664172	0.29641885	0.0181086519114688
E123_47	-2.9696896	-2.3796778	0.0925553319919517
E517_178	-1.0090134	19.205673	0.3561368209255533
E785_10	-2.7423022	1.2531705	0.0181086519114688
E959_250	2.749989	-14.539998	0.5010060362173038
E767_178	-3.0014105	-8.246821	0.3561368209255533
E73_138	3.2492206	-11.528529	0.2756539235412474
E875_272	-1.7541949	-22.189898	0.545271629778672
E202_98	2.1118884	-19.748991	0.1951710261569416
E258_32	-4.672999	-2.2703905	0.062374245472837
E192_45	-3.1784322	-1.4810137	0.0885311871227364
E989_250	-2.401794	15.100935	0.5010060362173038
E542_262	4.583143	-12.535337	0.5251509054325956
E3_301	0.35000184	19.93962	0.6036217303822937
E183_188	-0.097864196	18.468857	0.3762575452716298
E289_270	5.1438127	-11.525129	0.5412474849094567
E822_47	-4.1637335	2.53347	0.0925553319919517
E544_278	4.5546484	-11.652519	0.5573440643863179
E865_173	0.523338	-10.307029	0.3460764587525151
E377_59	-3.8567169	-2.7276351	0.1167002012072434
E489_57	-2.720665	-2.1281548	0.1126760563380281
E550_214	-1.2786396	-20.644936	0.4285714285714285
E101_100	-2.2178235	6.0998273	0.1991951710261569
E777_320	7.603252	-6.0925198	0.641851106639839
E31_329	0.5326988	24.596243	0.6599597585513078
E322_129	-2.0959904	13.320105	0.2575452716297787
E611_258	0.6316421	-19.909573	0.5171026156941649
E872_191	7.91464	-6.2239647	0.3822937625754527
E290_207	3.0314178	-14.671455	0.414486921529175
E698_292	-1.7985011	14.962419	0.5855130784708249
E783_187	0.8513643	-9.844987	0.3742454728370221
E406_17	-2.3512294	2.2606964	0.0321931589537223
E134_125	-2.2537878	-8.301342	0.249496981891348
E747_326	5.609201	-8.689042	0.6539235412474849
E318_4	3.648504	-0.97684824	0.0060362173038229
E211_357	0.79533696	19.489838	0.716297786720322
E147_229	-2.2361221	14.295449	0.4587525150905432
E682_481	8.782547	-6.521238	0.96579476861167
E179_69	-4.4108887	-2.2597468	0.1368209255533199
E591_226	2.382402	-13.98143	0.4527162977867203
E861_79	-3.9440365	-3.0964053	0.1569416498993963
E117_246	-3.502468	-9.357251	0.4929577464788732
E142_115	7.2187266	-5.85261	0.2293762575452716
E74_143	-3.4513562	9.400498	0.2857142857142857
E733_413	2.2795892	-15.963839	0.8289738430583501
E411_232	-3.4665804	12.238997	0.4647887323943662
E208_56	-4.9244475	-1.290965	0.1106639839034205
E168_370	-1.1565907	24.773344	0.7424547283702213
E17_369	-0.2822484	27.505955	0.7404426559356136
E317_142	-2.6863897	10.923883	0.2837022132796781
E157_118	-2.2002444	5.8293104	0.2354124748490945
E919_227	-0.23120932	20.240036	0.4547283702213279
E944_103	-2.9123573	-22.418564	0.2052313883299799
E494_371	-0.3052352	24.035038	0.744466800804829
E277_366	-0.47167996	-19.70652	0.7344064386317908
E165_433	-0.5355488	-20.223295	0.869215291750503
E545_302	1.655239	-13.44529	0.6056338028169014
E230_155	0.13727692	-1.2969086	0.3098591549295774
E830_179	4.712044	-9.428153	0.358148893360161
E344_141	-3.1593013	9.1781645	0.2816901408450704
E307_70	-4.0850353	3.9808366	0.1388329979879275
E779_349	8.25747	-6.313197	0.7002012072434608
E467_264	-0.9265446	21.73041	0.5291750503018109
E530_365	3.5110686	-9.6514	0.7323943661971831
E718_243	-0.8150932	21.844929	0.4869215291750503
E387_350	-1.8939096	-17.257067	0.7022132796780685
E138_304	1.3968613	-16.868074	0.6096579476861167
E876_237	-3.302062	10.980734	0.4748490945674044
E50_466	0.5725506	-16.201633	0.9356136820925554
E826_476	6.4851346	-10.425303	0.9557344064386318
E438_325	7.7678843	-8.035996	0.6519114688128773
E714_397	-0.6092874	-22.280478	0.7967806841046278
E11_484	-0.6191078	18.957914	0.971830985915493
E743_483	-2.9453785	29.943066	0.9698189134808852
E194_143	-2.5665252	-8.133286	0.2857142857142857
E737_323	-0.4568899	21.00261	0.647887323943662
E395_476	5.140082	-11.450566	0.9557344064386318
E49_479	-0.41253307	26.209743	0.9617706237424548
E311_427	-0.0570145	-17.573986	0.8571428571428571
E178_38	-4.1067963	3.342138	0.0744466800804829
E110_467	5.2511625	-10.26127	0.937625754527163
E243_278	-0.0008053925	23.15685	0.5573440643863179
E610_258	8.77412	-4.582669	0.5171026156941649
E58_314	-0.5033364	23.659662	0.6297786720321932
E371_424	-1.2539719	14.897397	0.8511066398390342
E695_92	-2.7632804	6.674521	0.1830985915492957
E564_87	-0.46412712	-6.3926764	0.1730382293762575
E382_433	-1.505111	29.150864	0.869215291750503
E437_453	-1.2346364	-21.027128	0.909456740442656
E584_384	-0.36574823	24.518564	0.7706237424547284
E725_239	-0.9463038	16.424557	0.4788732394366197
E988_17	-2.9300268	-1.0184611	0.0321931589537223
E4_387	-0.6361591	27.96114	0.7766599597585513
E742_206	8.533377	-4.737614	0.4124748490945674
E968_58	-4.557565	3.6040134	0.1146881287726358
E897_205	-2.5802994	11.887431	0.4104627766599598
E166_288	-1.1471491	23.241581	0.5774647887323944
E986_265	1.2042308	-17.649	0.5311871227364185
E226_144	1.2054524	-12.835156	0.2877263581488933
E703_244	5.6706524	-9.431002	0.4889336016096579
E75_304	6.486329	-9.994303	0.6096579476861167
E22_275	-0.94585377	22.031132	0.5513078470824949
E858_305	3.6082273	-13.0765295	0.6116700201207244
E801_271	4.195464	-9.532352	0.5432595573440644
E1_150	-2.9709425	-8.235915	0.2997987927565392
E871_167	-3.5484662	12.829024	0.3340040241448692
E239_321	-0.4360943	20.76642	0.6438631790744467
E914_364	4.0535307	-11.247109	0.7303822937625755
E810_276	-1.0015137	20.621313	0.5533199195171026
E895_213	2.6834974	-12.739223	0.4265593561368209
E502_205	1.1467392	-16.820337	0.4104627766599598
E734_1	4.159807	-1.0935717	0.0
E754_144	-2.976761	-8.143972	0.2877263581488933
E24_410	-1.013939	28.214201	0.8229376257545271
E555_4	3.7512608	-0.9975525	0.0060362173038229
E978_186	0.86203724	-16.985723	0.3722334004024145
E423_63	-3.2007291	2.5537956	0.124748490945674
E384_245	-0.55093265	-21.232033	0.4909456740442656
E475_484	-0.31750372	-15.731594	0.971830985915493
E966_450	-0.5737214	27.745604	0.903420523138833
E247_310	-1.0688953	20.990961	0.6217303822937625
E472_107	0.0005419145	-5.581781	0.2132796780684104
E362_408	-2.2079246	29.353945	0.8189134808853119
E48_235	-2.9134266	11.592473	0.4708249496981891
E359_363	4.020672	-11.675673	0.7283702213279678
E118_410	5.894215	-9.989752	0.8229376257545271
E934_426	-1.2935421	-23.477093	0.8551307847082495
E234_289	6.139074	-9.665741	0.579476861167002
E961_53	-3.1658723	-2.2041302	0.1046277665995975
E563_131	-3.077327	12.401869	0.2615694164989939
E642_480	-1.322098	-22.329302	0.9637826961770624
E63_463	2.3881273	-13.653454	0.9295774647887324
E784_50	-3.4173775	-2.085533	0.0985915492957746
E221_411	-0.4557241	-19.873753	0.8249496981891348
E62_163	-1.7408025	10.990847	0.3259557344064386
E911_250	8.721316	-5.182022	0.5010060362173038
E576_164	8.31033	-4.3321652	0.3279678068410462
E468_175	3.8527744	-8.935419	0.3501006036217304
E273_154	-0.0147581445	-9.718945	0.3078470824949698
E203_234	4.663022	-12.273174	0.4688128772635815
E346_469	-0.5299849	24.124775	0.9416498993963782
E807_196	-3.6102355	11.8064575	0.3923541247484909
E187_217	-1.6290109	14.917332	0.4346076458752515
E95_172	0.27672026	-9.577955	0.3440643863179074
E52_197	-2.4902794	9.858374	0.3943661971830985
E5_353	-1.2076722	24.457	0.7082494969818913
E664_37	-3.9553397	-1.959775	0.0724346076458752
E746_339	-0.9212592	18.187641	0.6800804828973843
E233_139	-3.014256	9.8559065	0.2776659959758551
E310_203	-3.2688525	10.191145	0.4064386317907444
E418_265	-3.1153734	-5.153539	0.5311871227364185
E189_26	-4.5332046	-1.7546422	0.0503018108651911
E981_12	-1.7888035	1.5611829	0.0221327967806841
E993_266	0.34514922	-18.920017	0.5331991951710262
E632_397	-1.9722309	16.704903	0.7967806841046278
E797_341	-0.49515763	20.359142	0.6841046277665996
E891_85	-0.019942151	-7.7271357	0.1690140845070422
E704_129	5.461461	-7.2154093	0.2575452716297787
E982_112	2.9851897	-8.574012	0.2233400402414486
E222_317	6.345122	-8.84037	0.635814889336016
E922_246	-1.1329491	27.331463	0.4929577464788732
E880_255	7.186626	-8.205346	0.5110663983903421
E196_164	0.558462	-19.168192	0.3279678068410462
E201_175	-2.703483	9.323584	0.3501006036217304
E688_128	-2.8159645	-2.9032266	0.255533199195171
E394_400	-1.9137154	-21.478859	0.8028169014084507
E614_376	-0.92323	20.01122	0.7545271629778671
E643_301	7.5819063	-6.4268403	0.6036217303822937
E805_443	8.918438	-6.0907288	0.8893360160965795
