	dim1	dim2	pt
E951_51	-3.9339335	-1.2044344	0.101010101010101
E193_160	-5.13363	13.5762615	0.3212121212121212
E466_493	21.9835	-7.0786643	0.993939393939394
E265_129	12.672486	-3.7536356	0.2585858585858586
E790_352	21.548128	-8.849174	0.7090909090909091
E800_145	16.796608	-7.695568	0.2909090909090909
E518_181	16.377312	-7.272313	0.3636363636363636
E384_124	-15.3215	6.2632203	0.2484848484848484
E431_22	-0.41154405	-1.8776368	0.0424242424242424
E897_496	19.711643	-10.008978	1.0
E717_439	-13.35945	9.75066	0.8848484848484849
E954_460	18.120844	-5.911886	0.9272727272727272
E18_486	-18.554106	2.0568404	0.9797979797979798
E122_75	7.521135	-3.7912228	0.1494949494949495
E758_468	-11.150794	10.586601	0.9434343434343434
E903_56	-2.6288629	-3.4809175	0.1111111111111111
E920_291	19.026913	-7.30346	0.5858585858585859
E733_164	-10.382834	6.5331244	0.3292929292929293
E41_162	-8.094378	1.3128998	0.3252525252525252
E301_42	0.12173465	-2.971042	0.0828282828282828
E731_465	-6.787664	12.782592	0.9373737373737374
E894_467	-18.759417	2.290732	0.9414141414141414
E977_318	20.900126	-4.348825	0.6404040404040404
E129_384	-11.730115	4.331644	0.7737373737373737
E134_52	-2.363188	-1.4872646	0.103030303030303
E885_288	21.351492	-6.7921424	0.5797979797979798
E48_160	10.593949	-5.44795	0.3212121212121212
E489_299	-17.022272	3.159397	0.602020202020202
E205_462	19.674698	-4.0850573	0.9313131313131312
E220_482	20.749443	-9.356377	0.9717171717171718
E889_73	2.6451693	-4.068445	0.1454545454545454
E909_140	-14.605063	3.8541667	0.2808080808080808
E577_328	-8.535793	12.08918	0.6606060606060606
E931_113	-8.882326	2.5797822	0.2262626262626262
E136_45	-0.4152904	-3.1403706	0.0888888888888888
E856_481	-7.2423863	12.65976	0.9696969696969696
E789_139	-19.814829	-0.915615	0.2787878787878788
E552_332	-5.8151445	13.646913	0.6686868686868687
E979_120	12.91129	-6.7976303	0.2404040404040404
E976_148	12.144355	-4.6790447	0.296969696969697
E690_371	-4.7911234	14.8791485	0.7474747474747475
E764_397	-15.798861	6.2377114	0.8
E68_325	20.211596	-10.479003	0.6545454545454545
E437_66	-5.155281	-0.9742866	0.1313131313131313
E113_71	4.1279836	-4.4329386	0.1414141414141414
E943_9	0.8696016	0.06671184	0.0161616161616161
E782_122	-13.729749	9.827454	0.2444444444444444
E476_433	23.296593	-4.8647394	0.8727272727272727
E586_137	-1.9582673	13.124179	0.2747474747474747
E511_195	-8.334921	10.052706	0.3919191919191919
E802_142	12.062098	-5.9031305	0.2848484848484848
E162_415	-4.7550077	13.920427	0.8363636363636363
E80_435	18.083395	-4.430234	0.8767676767676768
E570_217	18.826681	-10.2208605	0.4363636363636363
E8_257	17.831621	-6.9934487	0.5171717171717172
E757_89	-2.0109699	-0.41948858	0.1777777777777777
E267_272	16.447548	-4.202445	0.5474747474747474
E57_236	-0.5154352	0.39634106	0.4747474747474747
E189_215	-13.270635	8.377309	0.4323232323232323
E304_356	-11.879999	10.005396	0.7171717171717171
E421_308	19.781761	-4.3470063	0.6202020202020202
E961_173	-20.603968	-1.7145034	0.3474747474747475
E523_227	17.09767	-10.768075	0.4565656565656565
E409_233	-10.987638	4.3868804	0.4686868686868687
E328_140	-10.501441	3.6940594	0.2808080808080808
E949_424	-18.976276	2.167437	0.8545454545454545
E186_429	16.454958	-6.256757	0.8646464646464647
E415_397	-16.124144	3.8232424	0.8
E499_454	-12.899302	9.167613	0.9151515151515152
E814_329	-16.274591	4.280516	0.6626262626262627
E926_210	-4.87054	13.122641	0.4222222222222222
E201_72	4.5655026	-4.8654213	0.1434343434343434
E529_224	20.371506	-7.7411633	0.4505050505050505
E839_3	0.70425165	2.0339322	0.004040404040404
E928_98	16.310698	-7.4793763	0.1959595959595959
E927_77	-5.3077755	-1.1574455	0.1535353535353535
E191_457	19.16323	-5.0721045	0.9212121212121211
E404_360	-2.8594306	13.914368	0.7252525252525253
E778_259	16.098373	-3.898584	0.5212121212121212
E766_119	9.110131	-5.8021054	0.2383838383838384
