	dim1	dim2	pt
E776_367	-9.101956	4.9507275	0.4585427135678392
E473_755	3.3110025	-9.331277	0.9459798994974874
E272_359	-12.020871	-3.802596	0.4484924623115578
E762_405	-8.991868	-8.673194	0.5062814070351759
E765_757	2.8392682	-10.262722	0.9484924623115578
E561_629	-3.1566596	-9.332768	0.7876884422110553
E806_756	6.4694195	-8.371362	0.9472361809045228
E361_405	-11.573748	3.6357734	0.5062814070351759
E540_750	10.650835	5.947356	0.9396984924623116
E19_407	-11.938552	-0.2690897	0.5087939698492462
E942_77	10.691143	5.470482	0.0942211055276382
E213_650	8.67394	-7.4798436	0.8140703517587939
E225_487	-12.427829	-4.02145	0.6092964824120602
E177_768	13.593111	1.5026633	0.9623115577889448
E534_480	-10.610191	-4.125451	0.6005025125628141
E243_235	-5.80999	9.167302	0.292713567839196
E676_368	-10.525038	-3.7683535	0.4597989949748743
E917_687	2.0218072	-9.508266	0.8605527638190955
E593_278	-9.639587	4.8021226	0.3467336683417085
E499_298	-10.932026	3.6468837	0.371859296482412
E656_588	-6.0313687	-9.559243	0.7361809045226131
E416_187	0.11382056	11.179244	0.2324120603015075
E761_685	13.669274	1.4071251	0.8580402010050251
E345_111	5.470076	7.5483637	0.1369346733668341
E488_407	-10.570428	-4.179475	0.5087939698492462
E305_378	-6.8991537	9.154021	0.4723618090452261
E360_139	5.7679048	9.385693	0.1721105527638191
E124_246	-4.279473	9.344231	0.3065326633165829
E317_143	0.40824163	9.87294	0.1771356783919598
E668_261	-7.726878	9.13148	0.3253768844221105
E417_62	4.912823	8.53074	0.0753768844221105
E566_76	9.804754	3.4371989	0.092964824120603
E738_406	-11.726502	-2.9775784	0.507537688442211
E461_780	8.046819	-6.5028253	0.9773869346733668
E585_260	5.933859	7.428118	0.3241206030150754
E81_749	12.450246	0.7886541	0.9384422110552764
E586_761	8.859452	-7.33095	0.9535175879396984
E536_116	0.29131868	9.476791	0.14321608040201
E370_83	5.067331	7.25387	0.1017587939698492
E844_333	-12.648909	1.5452619	0.4158291457286432
E432_661	10.0556555	-3.7571094	0.8278894472361809
E224_95	3.995442	8.501193	0.1168341708542713
E927_103	0.23921856	10.226981	0.1268844221105527
E44_210	3.0999796	9.289469	0.2613065326633166
E131_783	12.441077	1.7189137	0.9811557788944724
E470_233	0.8530782	9.134087	0.2902010050251256
E973_488	2.5796194	-9.270405	0.6105527638190955
E335_496	-11.51193	-5.213462	0.6206030150753769
E107_677	5.155438	-7.570168	0.8479899497487438
E944_303	-9.406139	5.0472193	0.3781407035175879
E786_440	-7.3717284	-8.725017	0.550251256281407
E829_304	-3.8488657	10.124638	0.3793969849246231
E481_91	6.6120596	7.214125	0.1118090452261306
E99_30	7.2535067	2.6215482	0.0351758793969849
E191_56	10.886944	1.868192	0.0678391959798995
E76_481	-3.8105216	-10.239029	0.6017587939698492
E433_6	7.8657765	-0.75471896	0.0050251256281407
E445_665	-5.2140584	-9.904505	0.8329145728643216
E963_212	-7.044645	7.4313183	0.2638190954773869
E155_120	4.9290137	7.662629	0.1482412060301507
E715_361	-6.208215	7.7318516	0.4510050251256281
E755_419	-8.564952	-6.9073997	0.5238693467336684
E477_8	7.2536135	-1.5410743	0.007537688442211
E689_164	6.6571074	7.832861	0.2035175879396984
E523_248	-0.5341279	11.970322	0.3090452261306532
E144_506	-6.403626	-8.661156	0.6331658291457286
E878_303	-6.6186833	8.705809	0.3781407035175879
E857_260	-4.4046097	8.902355	0.3241206030150754
E696_566	-6.186666	-9.386427	0.7085427135678392
E888_754	3.4498556	-10.095119	0.9447236180904522
E687_542	-5.807634	-8.881886	0.678391959798995
E189_199	-7.775116	7.716991	0.2474874371859296
E916_27	9.289289	4.0251074	0.0314070351758793
E160_279	5.0501084	9.713456	0.3479899497487437
E430_550	-5.932639	-9.639396	0.6884422110552764
E274_574	1.1188368	-9.290747	0.7185929648241206
E831_722	11.839187	1.7818047	0.9045226130653268
