	dim1	dim2	pt
E867_430	-4.990741	-13.768067	0.5382685069008782
E786_692	-9.537273	-2.5456438	0.8670012547051443
E557_646	3.4162333	1.6060671	0.8092848180677541
E67_192	6.0013566	7.0203958	0.2396486825595985
E669_486	1.0280684	-3.2630339	0.6085319949811794
E627_139	-3.4351258	10.182339	0.1731493099121706
E941_376	-9.728934	-6.0437365	0.4705144291091593
E99_757	-6.2186494	-12.437619	0.9485570890840652
E452_69	-9.578791	2.1211824	0.0853199498117942
E893_344	4.3736715	10.71178	0.4303638644918444
E716_212	0.48107183	5.950438	0.2647427854454203
E384_711	-4.29933	7.099773	0.890840652446675
E21_89	-11.738548	1.9432955	0.110414052697616
E966_316	-4.3578353	-10.428182	0.3952321204516938
E140_792	-1.3758395	2.6806943	0.9924717691342536
E154_535	7.5659328	4.8979564	0.6700125470514429
E720_569	12.098302	7.032131	0.71267252195734
E253_571	5.4696913	4.5106716	0.7151819322459222
E939_651	2.3485036	-5.7907457	0.8155583437892095
E123_387	-7.0212083	-12.922156	0.4843161856963613
E643_349	-3.8005314	-13.676798	0.4366373902132999
E942_88	0.17107356	10.224773	0.1091593475533249
E997_164	-4.7482758	-11.815328	0.2045169385194479
E902_163	-8.393636	-12.319988	0.2032622333751568
E395_702	9.573172	-1.3777812	0.8795483061480552
E546_321	7.7879114	7.4350705	0.4015056461731493
E396_750	-3.6563182	10.249929	0.9397741530740276
E165_429	2.561374	3.7563083	0.5370138017565872
E736_658	6.2738414	1.4337509	0.8243412797992472
E68_125	2.3680358	-0.906015	0.1555834378920953
E403_69	-11.394933	-0.31313643	0.0853199498117942
E810_321	5.964761	12.343437	0.4015056461731493
E561_351	4.4044724	-6.2814703	0.439146800501882
E198_423	-8.839068	-5.422269	0.5294855708908407
E378_534	4.257703	-9.433953	0.6687578419071518
E507_665	-0.16082288	-9.81055	0.8331242158092849
E562_173	7.8580594	-5.8668995	0.2158092848180677
E328_226	4.8896184	8.898614	0.2823086574654956
E186_125	-2.968123	-13.83221	0.1555834378920953
E728_180	3.7919085	2.4996219	0.2245922208281054
E961_266	-1.284984	-2.0725987	0.3324968632371393
E881_64	-0.8721989	-13.309021	0.0790464240903387
E176_328	3.36298	0.22093073	0.410288582183187
E382_389	6.2327094	1.3946095	0.4868255959849435
E779_3	-13.746957	6.248976	0.0025094102885821
E321_718	0.026746664	-4.3507104	0.8996235884567126
E340_694	1.0033774	-8.142169	0.8695106649937264
E218_798	0.76310015	-4.696583	1.0
E968_627	-0.6669602	6.1261644	0.7854454203262233
E437_650	-0.26827344	-8.395221	0.8143036386449184
E434_716	-9.276912	-7.773716	0.8971141781681304
E655_494	-3.6232145	-2.3238137	0.6185696361355082
E62_140	-8.035321	-2.587855	0.1744040150564617
E870_664	1.5427634	5.5447493	0.8318695106649937
E391_94	-5.930835	6.041158	0.1166875784190715
E710_747	12.230516	8.56889	0.9360100376411544
E343_210	-6.567816	-1.6365485	0.2622333751568381
E732_430	9.861787	1.3505857	0.5382685069008782
E459_412	2.5377777	7.710704	0.5156838143036386
E261_324	6.4578023	-4.016246	0.4052697616060225
E802_175	8.37758	9.329025	0.2183186951066499
E327_306	0.24775387	-9.362654	0.3826850690087829
E281_346	1.9088173	2.3213992	0.4328732747804266
E20_509	-10.842271	-7.50814	0.6373902132998746
E776_475	10.315869	-2.8108199	0.5947302383939774
E808_333	4.6643476	-5.7777977	0.4165621079046424
E387_694	3.9362507	9.121085	0.8695106649937264
E461_531	-3.4161828	4.591347	0.6649937264742786
E151_505	-6.5167704	5.7339067	0.6323713927227101
E751_161	3.9508033	1.9649881	0.2007528230865746
E926_331	7.0705833	2.6132042	0.4140526976160602
E273_448	2.1163123	5.042311	0.560853199498118
E359_612	-7.0290747	-11.913194	0.766624843161857
E144_153	9.228488	2.5630934	0.1907151819322459
E854_491	8.833466	8.677182	0.6148055207026348
E599_402	-7.210437	-6.3627687	0.5031367628607277
E315_763	0.40006143	-7.4726806	0.9560853199498118
E610_538	10.462356	4.5544057	0.6737766624843162
E600_774	-8.711385	-7.843702	0.9698870765370138
E884_688	5.6160507	1.1519561	0.8619824341279799
E532_310	0.19558759	3.4844139	0.3877038895859473
E199_73	-12.183307	0.82748795	0.0903387703889586
E181_418	-0.9787651	-4.9391947	0.5232120451693852
E277_594	2.315859	3.2552881	0.7440401505646174
E373_214	-0.71745795	3.948839	0.2672521957340025
E28_570	-7.4985943	-3.5301077	0.7139272271016311
E547_337	4.5600796	8.339899	0.4215809284818068
E682_379	-4.042087	10.551041	0.4742785445420326
E458_584	5.3544908	-6.1130633	0.7314930991217063
E616_244	5.2256646	7.825001	0.3048933500627352
E11_583	-8.7403965	-4.0675144	0.7302383939774153
E903_217	10.908491	3.0295355	0.2710163111668758
E467_269	2.2796502	7.2696	0.3362609786700125
E650_277	6.301588	-3.2082856	0.3462986198243413
E7_242	-6.437734	-14.444919	0.302383939774153
E719_264	-4.3256125	-12.18464	0.3299874529485571
E139_651	-5.7475533	-0.90347505	0.8155583437892095
E379_619	7.5953255	-5.435516	0.7754077791718946
E538_700	3.3965406	9.296354	0.877038895859473
E365_142	-1.5187023	11.880877	0.1769134253450439
E859_208	9.567116	1.2650071	0.2597239648682559
E673_126	-1.5723586	-11.983759	0.1568381430363864
E777_796	5.7875514	5.9513655	0.9974905897114178
E843_55	-10.010697	1.7199847	0.0677540777917189
E398_307	9.073071	0.9263721	0.383939774153074
E725_163	14.500798	3.577079	0.2032622333751568
E323_552	-0.39824474	10.855148	0.6913425345043914
E923_549	-10.404989	-5.703765	0.6875784190715182
E333_432	5.736558	-4.10786	0.5407779171894604
E641_272	-1.0707484	-7.0195627	0.3400250941028858
E793_164	9.228492	3.6066515	0.2045169385194479
E120_663	-4.51488	-12.154925	0.8306148055207027
E664_411	0.24185733	-9.889512	0.5144291091593476
E601_634	12.004477	0.18834397	0.794228356336261
