	dim1	dim2	pt
E39_430	-17.177443	-4.4610353	0.8631790744466801
E933_16	20.433594	16.040167	0.0301810865191146
E392_174	13.681445	0.8718487	0.3480885311871227
E79_152	11.150724	-2.1793728	0.3038229376257545
E992_86	21.732943	14.281599	0.1710261569416499
E87_28	21.408495	14.806443	0.0543259557344064
E869_23	21.067524	14.652204	0.0442655935613682
E624_279	1.3727635	-5.503281	0.5593561368209256
E235_487	-16.551516	-6.870658	0.977867203219316
E64_144	14.988666	1.9803106	0.2877263581488933
E882_110	12.412835	1.2915969	0.2193158953722334
E859_305	2.1287715	-7.158931	0.6116700201207244
E214_297	2.878205	-8.5981655	0.5955734406438632
E606_395	-16.393137	-5.7849703	0.7927565392354124
E317_206	4.369961	-6.0411506	0.4124748490945674
E147_95	17.448765	7.43701	0.1891348088531187
E238_379	-3.5323663	-4.9839067	0.7605633802816901
E886_292	-13.670268	-5.5504675	0.5855130784708249
E927_487	-13.428917	-4.693102	0.977867203219316
E239_134	14.165752	-0.9110056	0.2676056338028169
E818_6	21.724194	16.620773	0.0100603621730382
E399_117	12.604156	-0.029347299	0.2334004024144869
E860_332	-6.8430157	-3.9412248	0.6659959758551308
E523_480	-13.268448	-3.3832269	0.9637826961770624
E938_405	-13.41794	-6.7706137	0.8128772635814889
E102_375	-19.958529	-0.8487421	0.7525150905432596
E92_350	-7.336563	-3.2372432	0.7022132796780685
E954_176	3.1135774	-5.2476163	0.352112676056338
E463_71	18.627821	9.654291	0.1408450704225352
E353_106	15.758941	5.349153	0.2112676056338028
E875_420	-15.186774	-7.7397046	0.8430583501006036
E453_33	18.83632	10.919374	0.0643863179074446
E62_285	-16.585268	-3.8215134	0.5714285714285714
E109_382	-6.9194784	-3.9544263	0.7665995975855131
E880_402	-17.639769	-1.7013258	0.806841046277666
E396_422	-17.022957	-8.1112385	0.8470824949698189
E530_10	20.027758	17.65216	0.0181086519114688
E528_202	12.320396	-1.3648025	0.4044265593561368
E640_372	-10.907072	-0.6759851	0.7464788732394366
E672_38	17.77945	13.515631	0.0744466800804829
E643_395	-14.951441	-1.896266	0.7927565392354124
E701_212	2.7806811	-6.4040036	0.4245472837022133
E423_116	10.701186	-0.8422044	0.2313883299798792
E572_262	-1.6203262	-5.101749	0.5251509054325956
E993_423	-18.258574	-4.759355	0.8490945674044266
E679_497	-17.557678	-0.122170635	0.9979879275653925
E660_74	19.45138	9.321748	0.1468812877263581
E790_277	-15.00855	-7.7660427	0.5553319919517102
E801_164	15.413123	4.4722857	0.3279678068410462
E881_72	17.712093	6.870063	0.1428571428571428
E128_289	-8.722969	-6.4288588	0.579476861167002
E55_439	-18.696821	-8.193617	0.8812877263581489
E18_189	11.04106	0.7835592	0.3782696177062374
E89_335	-10.690689	-4.006276	0.6720321931589537
E573_152	11.468684	-2.9841979	0.3038229376257545
E440_86	21.27406	11.865328	0.1710261569416499
E461_72	17.293276	9.967641	0.1428571428571428
E153_398	-15.06951	-2.767646	0.7987927565392354
E620_262	2.109751	-7.820785	0.5251509054325956
E800_466	-16.224941	-5.5769806	0.9356136820925554
E241_271	0.3262605	-6.3362412	0.5432595573440644
E468_17	19.179972	14.036429	0.0321931589537223
E727_311	1.8703687	-5.128707	0.6237424547283702
E155_475	-13.074001	-5.885604	0.9537223340040242
E152_142	13.275023	3.0681486	0.2837022132796781
E808_99	19.90223	13.455896	0.1971830985915492
E819_200	10.239724	-3.1253247	0.4004024144869215
E750_281	3.4076383	-7.6774793	0.5633802816901409
E374_483	-14.2724285	-6.0323114	0.9698189134808852
E850_110	12.927681	0.1282571	0.2193158953722334
E100_489	-15.781269	-4.2935953	0.9818913480885312
E522_391	-11.570272	-6.072622	0.7847082494969819
E224_30	19.067123	11.908509	0.0583501006036217
E833_273	1.4641657	-7.08671	0.5472837022132797
E736_425	-12.572284	-2.200919	0.8531187122736419
E482_486	-11.436214	-0.85438466	0.9758551307847082
E229_358	-13.992293	-4.9521074	0.7183098591549296
E911_274	-10.918172	-2.5819201	0.5492957746478874
E655_261	2.1149561	-7.145176	0.5231388329979879
E187_188	10.612077	-1.0811859	0.3762575452716298
E418_399	-17.831806	-0.6560404	0.8008048289738431
E161_413	-18.673191	0.29010358	0.8289738430583501
E754_62	20.798983	14.589725	0.1227364185110664
E576_54	18.367393	11.011181	0.1066398390342052
E873_328	-3.3546443	-6.5430937	0.6579476861167002
E806_18	21.757622	15.28304	0.0342052313883299
E178_38	19.543575	9.937663	0.0744466800804829
E772_133	15.171111	3.4063468	0.2655935613682093
E600_352	-13.697267	1.4587535	0.7062374245472837
E13_378	-12.195825	0.8715014	0.7585513078470825
E816_235	5.063171	-5.9436154	0.4708249496981891
E397_224	3.8925023	-7.3575373	0.448692152917505
E447_462	-15.723448	-6.146639	0.9275653923541248
E172_204	11.404137	0.071753204	0.4084507042253521
E913_227	7.8828506	-3.4669213	0.4547283702213279
E781_124	13.552236	0.48197904	0.2474849094567404
E58_374	-7.266226	-6.619715	0.7505030181086519
E434_75	17.415125	12.08458	0.1488933601609658
E641_402	-18.430857	-4.624431	0.806841046277666
E205_492	-16.809454	-4.8027463	0.9879275653923542
E628_125	12.256415	2.3263533	0.249496981891348
E276_328	-11.850297	-5.260754	0.6579476861167002
E207_75	19.298225	13.330439	0.1488933601609658
E98_8	21.50881	16.491596	0.0140845070422535
E204_206	4.5241714	-7.9850917	0.4124748490945674
E741_378	-13.966131	0.77866006	0.7585513078470825
E740_357	-8.205862	-5.54853	0.716297786720322
E839_363	-19.914497	-6.5751023	0.7283702213279678
E182_424	-16.362906	-1.1153883	0.8511066398390342
E756_382	-4.3291774	-6.1294336	0.7665995975855131
E346_491	-18.775059	-1.9975504	0.9859154929577464
E642_115	14.191396	0.1793707	0.2293762575452716
E3_255	-2.1711066	-5.7106204	0.5110663983903421
E233_427	-17.09418	-1.1890066	0.8571428571428571
E627_146	12.118768	1.7539908	0.2917505030181087
E174_109	13.005162	2.2861342	0.2173038229376257
E537_326	-14.996615	-3.867506	0.6539235412474849
E412_491	-17.936573	-7.2114034	0.9859154929577464
E939_157	12.104533	-0.9184782	0.3138832997987927
E556_459	-12.358224	-3.990679	0.921529175050302
E729_387	-11.856527	-0.9440146	0.7766599597585513
E462_39	19.398102	11.317494	0.0764587525150905
E369_173	5.310676	-6.2443595	0.3460764587525151
E27_274	3.5127327	-5.663744	0.5492957746478874
E570_369	-13.123696	-1.3631182	0.7404426559356136
E291_225	0.47976613	-7.400673	0.4507042253521127
E328_215	12.085687	-0.93737096	0.4305835010060362
E807_406	-16.10021	-2.60971	0.8148893360160966
E72_395	-15.713618	-4.18843	0.7927565392354124
E689_186	1.4746382	-7.4384413	0.3722334004024145
E306_155	14.831501	0.8067398	0.3098591549295774
E889_437	-13.951386	0.49020582	0.8772635814889336
E260_433	-13.068938	-7.488425	0.869215291750503
E279_140	11.553629	-1.9361544	0.2796780684104628
E798_90	21.007872	14.065189	0.1790744466800805
E35_219	4.769095	-5.85939	0.4386317907444668
E797_279	-5.4292154	-4.1922946	0.5593561368209256
E334_420	-12.069766	-2.5774755	0.8430583501006036
E614_415	-19.761196	-1.491254	0.8329979879275654
E958_462	-18.431896	-1.5607157	0.9275653923541248
E272_229	-0.093909964	-4.8992205	0.4587525150905432
E552_70	19.37327	13.02833	0.1388329979879275
E383_444	-15.949477	-5.7521396	0.8913480885311871
E519_138	13.708473	0.8310769	0.2756539235412474
E871_132	11.209054	-2.6710618	0.2635814889336016
E179_152	10.726456	-0.9700701	0.3038229376257545
E509_146	13.922557	3.6083038	0.2917505030181087
E316_208	4.0110703	-4.5381026	0.4164989939637827
E565_303	-11.471263	1.2130378	0.607645875251509
E488_319	-11.432957	1.0557156	0.6398390342052314
E844_98	11.819664	0.03633682	0.1951710261569416
E51_94	13.31629	1.2022161	0.187122736418511
E258_32	20.395153	15.56766	0.062374245472837
E506_13	19.881304	14.990182	0.0241448692152917
E253_483	-18.597519	-3.2706892	0.9698189134808852
E694_242	3.194112	-6.224936	0.4849094567404426
E425_492	-11.564254	-1.7224709	0.9879275653923542
E961_144	14.980344	0.6817776	0.2877263581488933
E789_59	19.80396	12.366563	0.1167002012072434
E989_357	-19.17579	-0.72051644	0.716297786720322
E388_395	-18.199017	-1.0813069	0.7927565392354124
E298_421	-18.859173	-5.03652	0.8450704225352113
