	dim1	dim2	pt
E862_190	-1.5881083	-5.649025	0.2711621233859397
E659_77	-6.006143	6.3596005	0.1090387374461979
E494_272	-0.5671791	-16.785158	0.3888091822094691
E711_569	0.22198464	-18.15189	0.8149210903873745
E615_691	0.4322719	19.462946	0.9899569583931134
E312_248	-0.48925424	-11.425652	0.3543758967001434
E673_482	6.0318856	-16.765728	0.6901004304160688
E257_361	2.6334329	-12.127901	0.5164992826398852
E955_137	-3.5352762	7.401547	0.1951219512195122
E32_292	1.0387104	-13.862513	0.4175035868005738
E467_46	-8.627152	2.058906	0.0645624103299856
E639_227	-1.4343457	-6.1537175	0.3242467718794835
E755_144	-4.2857246	-2.2605493	0.2051649928263988
E555_450	0.3097236	-20.095306	0.6441893830703013
E195_420	4.5406923	-18.143988	0.6011477761836442
E805_265	-2.1948645	-7.102202	0.3787661406025825
E86_97	-4.903958	5.903518	0.1377331420373027
E304_115	-4.065346	-2.209062	0.1635581061692969
E942_657	2.3577719	16.157486	0.9411764705882352
E106_368	0.53802025	16.213614	0.5265423242467718
E577_423	3.3291383	-13.830514	0.6054519368723099
E675_241	-2.5991347	-4.4255137	0.3443328550932568
E296_554	3.4560533	19.459608	0.793400286944046
E402_274	3.1976888	19.866623	0.3916786226685796
E590_486	2.4560952	-16.90712	0.6958393113342898
E981_256	-1.1000084	11.784801	0.3658536585365853
E51_606	2.5358117	20.806503	0.8680057388809183
E873_206	-2.551159	-5.253343	0.2941176470588235
E928_464	3.0432746	19.864695	0.6642754662840746
E692_68	-7.26379	1.3213358	0.0961262553802008
E447_663	0.95229805	20.54761	0.9497847919655668
E338_120	-4.058803	6.3243837	0.1707317073170731
E261_389	2.0525608	-14.624421	0.5566714490674318
E49_396	3.0114188	18.094559	0.5667144906743186
E591_459	1.6413977	-14.3105545	0.6571018651362984
E953_476	-0.5346245	19.277573	0.6814921090387375
E466_105	-5.267111	-1.4729414	0.1492109038737446
E584_430	-0.7997525	-11.384619	0.6154949784791965
E860_245	-1.3771999	11.996964	0.3500717360114778
E70_78	-8.701174	1.5145963	0.1104734576757532
E736_335	3.3426225	16.699217	0.479196556671449
E699_611	0.51994187	-12.388377	0.8751793400286944
E891_614	-2.8946083	-14.471903	0.8794835007173601
E679_241	-2.0104444	10.181803	0.3443328550932568
E206_668	0.5330077	20.097631	0.9569583931133429
E678_324	3.2544098	-18.766638	0.4634146341463415
E616_683	-0.18291749	-12.816795	0.9784791965566716
E781_177	-2.7602518	-3.702892	0.2525107604017216
E671_90	-3.9869404	6.800352	0.127690100430416
E686_285	-0.98149604	12.478554	0.4074605451936872
E880_193	-1.5382767	10.610395	0.2754662840746054
E794_589	2.470931	-17.579622	0.8436154949784792
E640_185	-1.7285236	-5.3940115	0.2639885222381635
E715_82	-7.1165967	0.264382	0.1162123385939741
E947_186	-3.7441564	-3.8079267	0.2654232424677188
E429_598	5.1768456	-11.820757	0.8565279770444764
E579_582	3.1926177	17.967646	0.8335724533715926
E971_652	2.0442376	-15.038953	0.9340028694404592
E64_624	2.9241128	-16.397018	0.8938307030129125
E969_546	4.8190665	17.71969	0.7819225251076041
E552_642	4.274372	-13.699687	0.9196556671449068
E913_547	1.294754	-14.419291	0.7833572453371592
E667_344	2.3991394	-12.055377	0.4921090387374462
E641_554	3.3021595	-14.174717	0.793400286944046
E397_363	-0.03852929	-15.1396475	0.5193687230989957
E691_28	-8.532727	3.2328544	0.0387374461979913
E266_221	-0.57501155	11.084403	0.315638450502152
E504_231	-0.6520046	11.688777	0.3299856527977044
E936_370	5.4982624	20.024921	0.5294117647058824
E147_18	-8.533477	2.663199	0.024390243902439
E478_77	-8.030231	1.3291345	0.1090387374461979
E740_627	0.58651936	17.969868	0.8981348637015782
E297_637	0.7833569	-16.798752	0.9124820659971306
E442_114	-5.421199	6.257852	0.1621233859397417
E853_686	1.1030197	-17.36807	0.9827833572453372
E485_157	-3.8154106	8.395321	0.2238163558106169
E934_164	-4.1931953	-2.0904675	0.2338593974175035
E748_527	1.2284967	-19.421583	0.7546628407460545
E345_520	2.2254229	-16.190613	0.7446197991391679
E42_503	-0.43510967	-16.325872	0.7202295552367288
E341_166	-3.4213338	8.926106	0.236728837876614
E234_595	6.2109814	-16.370476	0.8522238163558106
E39_405	4.0543823	-12.573298	0.5796269727403156
E401_183	-3.8616219	-2.793377	0.2611190817790531
E25_231	-0.1896285	-14.345886	0.3299856527977044
E771_694	-1.3046571	-18.589275	0.994261119081779
E193_560	2.9008667	-19.271437	0.8020086083213773
E841_40	-8.202166	4.6249146	0.0559540889526542
E668_150	-3.39738	8.384446	0.2137733142037302
E492_452	1.4552405	18.248837	0.6470588235294118
E603_670	3.5575686	-13.526932	0.9598278335724534
E6_538	2.607227	-16.175568	0.7704447632711621
E359_393	1.7337277	-15.540139	0.5624103299856528
E852_480	-0.3405203	-12.095322	0.6872309899569584
