	dim1	dim2	pt
E209_3	-20.664112	17.13681	0.002016129032258
E816_41	-14.994125	15.7675705	0.0786290322580645
E0_313	9.431958	-7.1322217	0.6270161290322581
E996_312	7.1203713	-6.374085	0.625
E984_423	17.750677	-9.513193	0.8487903225806451
E613_146	-10.080072	5.1053953	0.2903225806451613
E683_79	-13.548402	16.583385	0.1552419354838709
E836_278	8.123566	-5.9277096	0.5564516129032258
E412_160	-11.213287	2.5381644	0.3185483870967742
E622_494	21.792645	-13.58477	0.9919354838709676
E736_329	9.345853	-6.8538175	0.6592741935483871
E329_247	1.4753808	-2.1667838	0.4939516129032258
E424_425	14.549332	-11.371906	0.8528225806451613
E488_271	7.051081	-5.009467	0.5423387096774194
E643_175	-8.114445	3.3115218	0.3487903225806452
E237_459	16.375803	-10.693172	0.9213709677419356
E497_454	21.32318	-12.532122	0.9112903225806452
E602_340	5.8900714	-6.8000646	0.6814516129032258
E192_422	14.997731	-9.807137	0.8467741935483871
E796_207	-9.807329	6.6111	0.4133064516129032
E788_189	-11.08288	3.6310275	0.377016129032258
E221_483	16.413427	-8.721558	0.969758064516129
E611_333	15.41734	-9.207128	0.6673387096774194
E988_44	-13.958081	17.877792	0.0846774193548387
E77_189	-2.716594	-3.5893579	0.377016129032258
E465_130	-10.625532	7.4555707	0.2580645161290322
E183_50	-13.654901	16.11371	0.0967741935483871
E752_29	-18.647907	15.6586485	0.0544354838709677
E200_464	7.7372494	-5.3822575	0.9314516129032258
E514_32	-18.149607	15.185301	0.0604838709677419
E258_4	-20.5656	17.224865	0.0040322580645161
E945_337	9.296932	-8.1217375	0.6754032258064516
E577_183	-10.519999	3.051371	0.3649193548387097
E337_385	17.644733	-10.674542	0.7721774193548387
E807_93	-13.969926	9.9944105	0.1834677419354838
E391_85	-17.154427	14.107392	0.1673387096774193
E22_391	17.69676	-8.611358	0.7842741935483871
E307_264	7.4076157	-4.453915	0.5282258064516129
E822_218	-9.240477	6.3374166	0.4354838709677419
E526_8	-19.973322	17.18798	0.0120967741935483
E948_358	13.813215	-11.00974	0.717741935483871
E943_253	-5.9396076	2.7077303	0.5060483870967742
E236_80	-14.129185	16.669867	0.157258064516129
E915_82	-12.023198	10.210489	0.1612903225806451
E155_19	-19.098219	15.608951	0.034274193548387
E544_211	-1.1214708	-0.84260786	0.4213709677419355
E651_408	19.742764	-9.509607	0.8185483870967742
E444_44	-17.508757	16.65458	0.0846774193548387
E126_45	-18.327192	18.289896	0.0866935483870967
E312_193	-2.8191078	-1.3651644	0.3850806451612903
E889_153	-10.503479	5.563259	0.3044354838709677
E35_356	17.211882	-9.41149	0.7137096774193549
E873_348	20.14763	-9.998437	0.6975806451612904
