	dim1	dim2	pt
E117_137	-5.011963	-3.1392124	0.2721774193548387
E989_493	2.5667179	1.2357512	0.9899193548387096
E126_290	-14.16622	-5.140715	0.5806451612903226
E737_60	-18.952322	-7.687321	0.1169354838709677
E907_62	-13.738485	-5.4210677	0.1209677419354838
E381_125	-15.748852	-6.211298	0.2479838709677419
E582_373	-24.121302	-7.54762	0.7479838709677419
E972_110	-11.294125	-4.3628335	0.2177419354838709
E700_199	0.3869568	1.584556	0.3971774193548387
E101_372	8.1986885	2.86771	0.7459677419354839
E553_260	-13.375963	-6.38252	0.5201612903225806
E608_14	22.304989	6.1763387	0.0241935483870967
E543_194	-22.122843	-6.4379196	0.3870967741935484
E359_476	-10.560631	-4.1644845	0.9556451612903226
E504_168	24.500788	6.930245	0.3346774193548387
E183_212	6.722438	2.050271	0.4233870967741935
E246_228	21.542168	5.5401025	0.4556451612903225
E817_133	-5.344397	-1.9640794	0.2641129032258064
E640_26	-6.339229	-3.24934	0.0483870967741935
E943_49	-9.920542	-4.6621566	0.094758064516129
E287_420	-20.386135	-6.248619	0.842741935483871
E278_287	9.563275	3.0015683	0.5745967741935484
E660_270	-16.46931	-6.10381	0.5403225806451613
E221_107	-16.387005	-5.7338796	0.2116935483870967
E214_372	8.212572	2.5800707	0.7459677419354839
E383_206	22.689306	6.7079415	0.4112903225806452
E869_271	17.581104	5.45558	0.5423387096774194
E886_6	20.840023	5.9840665	0.0080645161290322
E732_205	-16.183544	-4.748816	0.4092741935483871
E569_253	-18.997034	-6.4781847	0.5060483870967742
E18_363	-14.085478	-5.032924	0.7278225806451613
E957_63	10.854698	3.6841023	0.1229838709677419
E994_483	21.354607	6.7451906	0.969758064516129
E191_166	-0.94556344	-2.3155687	0.3306451612903225
E211_200	15.378309	4.0451403	0.3991935483870967
E598_26	-6.7882113	-3.6644163	0.0483870967741935
E319_172	8.647387	1.461586	0.3427419354838709
E612_83	3.9832299	1.1773205	0.1633064516129032
E83_25	-6.250625	-2.3813558	0.0463709677419354
E791_17	6.7167196	5.1694317	0.0302419354838709
E492_224	-22.797693	-6.8576674	0.4475806451612903
E752_466	14.754894	5.3572516	0.935483870967742
E113_261	-3.1144984	-2.3429904	0.5221774193548387
E808_211	-10.640012	-4.0032454	0.4213709677419355
E711_443	-4.9639344	-1.0903312	0.8891129032258065
E325_164	-0.9038483	-1.0827291	0.3266129032258064
E739_87	-16.457123	-6.1868467	0.1713709677419354
E741_240	13.438863	4.3808756	0.4798387096774194
E866_165	-10.34656	-2.951026	0.3286290322580645
E115_23	15.843572	5.3394394	0.0423387096774193
E50_35	-9.109088	-4.5796323	0.0665322580645161
E908_330	-21.147024	-7.05236	0.6612903225806451
E158_314	4.762415	3.3349817	0.6290322580645161
E330_391	-6.500468	0.8676776	0.7842741935483871
E555_498	-19.386415	-7.853533	1.0
E519_105	18.728718	6.4543424	0.2076612903225806
E836_384	6.1853027	1.8584225	0.7701612903225806
E292_109	16.339808	5.506765	0.2157258064516129
E362_456	3.2859643	2.1234498	0.9153225806451613
E322_43	20.781654	5.574666	0.0826612903225806
E386_175	-12.03658	-4.6729317	0.3487903225806452
E89_374	-13.815454	-5.6176953	0.75
E271_414	15.237644	8.45914	0.8306451612903226
E445_374	-23.928108	-7.936777	0.75
E410_61	20.779285	6.4809647	0.1189516129032258
E149_273	-1.1871457	-0.2776791	0.5463709677419355
E682_406	4.895973	1.8206915	0.8145161290322581
E33_284	-10.221752	-2.4945397	0.5685483870967742
E648_22	10.399998	5.125213	0.0403225806451612
E263_89	10.863948	4.2588854	0.1754032258064516
E335_184	10.1247015	3.299077	0.3669354838709677
E54_203	-0.36300057	2.925435	0.4052419354838709
E733_72	-20.446323	-7.000175	0.1411290322580645
E921_30	-8.033048	-3.5316358	0.0564516129032258
E506_67	-2.902937	0.20884992	0.1310483870967742
E68_154	-9.997519	-4.0945153	0.3064516129032258
E579_434	-12.328263	-4.5016212	0.8709677419354839
E852_452	-1.8705314	-2.1053438	0.907258064516129
E60_493	8.1831665	3.3126006	0.9899193548387096
E914_403	-8.5861225	-3.2244067	0.8084677419354839
E834_465	5.956207	2.5444007	0.933467741935484
E524_129	3.2443461	0.42446414	0.2560483870967742
E872_386	-16.971388	-6.2638707	0.7741935483870968
E675_454	14.097839	6.7796516	0.9112903225806452
E197_208	15.436618	4.52083	0.4153225806451613
E417_218	-25.734966	-7.9892282	0.4354838709677419
E521_167	-1.2819242	-0.16401215	0.3326612903225806
E343_183	-24.986036	-8.227204	0.3649193548387097
E813_220	-11.677289	-6.425381	0.439516129032258
E276_217	8.055079	1.247632	0.4334677419354839
E841_261	-25.43293	-8.2069025	0.5221774193548387
E571_262	-24.149164	-6.4568205	0.5241935483870968
E566_96	-21.111734	-7.8311276	0.189516129032258
E104_331	8.58066	3.5961294	0.6633064516129032
E28_469	15.155117	4.711582	0.941532258064516
E153_185	8.545773	0.77612203	0.3689516129032258
E977_466	-10.437859	-3.8692565	0.935483870967742
E904_43	2.9477487	1.428418	0.0826612903225806
E597_191	21.140617	4.933424	0.3810483870967742
E642_148	-25.184437	-7.5343733	0.2943548387096774
E584_199	-20.786394	-5.8834834	0.3971774193548387
E239_159	-13.072909	-4.199795	0.3165322580645161
E78_76	-10.426616	-2.2366202	0.1491935483870967
E299_128	-3.4460769	0.99546754	0.2540322580645161
E39_45	12.64864	2.8085208	0.0866935483870967
E718_498	-23.811003	-7.459123	1.0
E20_402	-5.643129	-3.2526302	0.8064516129032258
E254_342	-22.485455	-7.336258	0.6854838709677419
E220_39	22.692696	6.575	0.0745967741935483
E590_393	-1.600004	-1.5074626	0.7883064516129032
E155_286	8.502928	2.5381835	0.5725806451612904
E179_372	-9.912865	-3.6267645	0.7459677419354839
E922_239	-7.231466	-4.0317626	0.4778225806451613
E572_49	10.346328	3.9750423	0.094758064516129
E748_180	8.424218	4.0951705	0.3588709677419355
E847_34	-0.36164272	0.17471087	0.064516129032258
E934_124	21.76868	7.079181	0.2459677419354838
E533_145	-22.63486	-7.4258127	0.2883064516129032
E387_16	9.93533	3.8245862	0.0282258064516129
E919_4	17.724699	5.6903315	0.0040322580645161
E48_173	-6.258231	-3.2570028	0.344758064516129
E910_48	19.322798	6.4887257	0.0927419354838709
E704_101	13.294019	2.6265357	0.1995967741935483
E607_101	6.30801	3.6263273	0.1995967741935483
E107_433	-6.5971026	-4.4217086	0.8689516129032258
E938_181	9.703588	2.7044225	0.3608870967741935
E184_492	-15.731146	-7.605362	0.9879032258064516
E838_269	10.445057	3.1787362	0.5383064516129032
E236_399	-18.933447	-7.0725207	0.8004032258064516
E587_189	-6.4429493	-1.8481175	0.377016129032258
E622_409	11.5292225	4.688817	0.8205645161290323
E873_193	10.534174	3.83997	0.3850806451612903
E687_452	1.070242	0.41519907	0.907258064516129
E449_257	-3.0569685	-1.1501606	0.5141129032258065
E441_409	-7.8176036	-3.2149642	0.8205645161290323
E75_113	15.053332	6.332463	0.2237903225806451
E431_260	-13.869023	-5.3877387	0.5201612903225806
E891_306	-2.1724312	-1.0482756	0.6129032258064516
E793_285	-15.198673	-7.4258676	0.5705645161290323
E959_318	3.2543433	2.400996	0.6370967741935484
E927_297	-14.978712	-6.5246577	0.594758064516129
E792_303	8.435072	3.0285316	0.6068548387096774
E599_312	24.967043	6.97249	0.625
E243_10	24.598888	7.0790324	0.0161290322580645
E46_11	22.631079	6.850383	0.0181451612903225
E262_467	11.9073105	4.595772	0.9375
E728_398	9.563777	3.9961476	0.7983870967741935
E92_134	-10.015384	-3.2601871	0.2661290322580645
E889_96	-21.77981	-7.5215087	0.189516129032258
E988_116	6.68908	0.33836573	0.2298387096774193
E223_286	-10.307394	-4.2404976	0.5725806451612904
E758_351	20.668062	8.261269	0.7036290322580645
