	dim1	dim2	pt
E619_177	3.9893804	-26.285336	0.1164658634538152
E117_1474	-9.414247	22.467896	0.9846050870147256
E21_849	1.9444231	1.6377499	0.5662650602409639
E672_876	1.4921762	1.9099354	0.5843373493975904
E385_956	-2.3184285	8.988199	0.6378848728246319
E668_138	4.1140285	-27.044325	0.0903614457831325
E546_1191	-7.5383606	18.621592	0.7951807228915663
E853_1379	-10.730609	26.248108	0.9210174029451138
E506_350	4.4016185	-17.603931	0.2322623828647925
E337_1085	-3.6798744	12.379597	0.7242302543507363
E972_340	4.2670674	-18.486303	0.2255689424364123
E450_1478	-10.398716	26.850988	0.9872824631860776
E539_142	3.6560833	-27.18453	0.0930388219544846
E895_262	3.997744	-21.896608	0.1733601070950468
E258_1296	-8.831418	22.47976	0.8654618473895582
E524_371	4.0100513	-14.73636	0.2463186077643909
E543_1022	0.17709303	5.364624	0.6820615796519411
E581_269	3.6242728	-19.18539	0.1780455153949129
E822_1446	-10.223935	26.390156	0.9658634538152612
E202_4	2.5948827	-30.602192	0.000669344042838
E610_1318	-9.36447	21.830633	0.8801874163319946
E740_1181	-6.2201586	17.65075	0.7884872824631861
E854_944	1.196224	4.816352	0.6298527443105756
E80_75	3.0651507	-28.576141	0.0481927710843373
E746_301	3.0840197	-17.924461	0.1994645247657296
E811_579	3.6441658	-11.097221	0.3855421686746988
E398_1307	-8.876528	22.047527	0.8728246318607764
E814_849	1.1993232	3.9695904	0.5662650602409639
E215_963	0.23943576	5.3006115	0.642570281124498
E56_88	3.5194156	-27.352125	0.0568942436412315
E193_1303	-9.37008	20.78139	0.8701472556894244
E797_673	3.7524116	-5.8174872	0.4484605087014726
E497_210	4.0259957	-25.788065	0.1385542168674698
E345_1106	-3.8482163	15.69177	0.7382864792503346
E545_936	-0.62092865	8.306298	0.6244979919678715
E406_996	1.5541632	2.263237	0.6646586345381527
E651_941	-0.21694334	6.6286	0.6278447121820616
E32_664	3.7732396	-8.426422	0.4424364123159304
E167_869	1.9855385	-1.7260585	0.5796519410977242
E701_946	0.5942629	5.9116573	0.6311914323962516
E230_952	-2.1225023	8.830487	0.6352074966532798
E303_376	3.968558	-18.344822	0.249665327978581
E442_781	2.6089509	0.41138795	0.5207496653279786
E998_658	3.5315566	-8.322332	0.4384203480589023
E934_155	3.593329	-25.933083	0.1017402945113788
E109_954	1.3532382	1.4085919	0.6365461847389559
E444_307	3.5052476	-18.292141	0.2034805890227577
E24_317	4.583833	-18.612032	0.2101740294511379
E510_1178	-5.4093904	15.490838	0.786479250334672
E671_1105	-5.4105597	16.175594	0.7376171352074966
E435_1027	-4.7486424	16.164991	0.6854082998661312
E401_1284	-9.935169	24.87834	0.857429718875502
E195_1194	-7.204162	19.14394	0.7971887550200804
E505_154	4.5288606	-25.324816	0.1010709504685408
E99_956	-2.7786438	8.679413	0.6378848728246319
E358_360	4.429467	-19.05214	0.2389558232931727
E899_733	2.3976045	-0.051625386	0.4886211512717537
E427_351	3.7921464	-15.116812	0.2329317269076305
E627_1200	-9.533444	20.71273	0.8012048192771084
E554_651	1.7524961	-3.4636054	0.4337349397590361
E804_1101	-5.7541637	17.405062	0.7349397590361446
E898_880	0.82873917	0.68371975	0.5870147255689424
E217_712	1.8360323	-4.0959053	0.4745649263721553
E515_1300	-9.645085	25.008722	0.8681392235609103
E131_134	3.8141077	-29.09691	0.0876840696117804
E578_594	3.207146	-7.872569	0.395582329317269
E805_776	2.826048	-3.3377821	0.5174029451137885
E433_1274	-8.055975	18.710299	0.8507362784471219
E12_133	3.161508	-27.782558	0.0870147255689424
