	dim1	dim2	pt
E53_873	9.121464	-4.072261	0.58249832999332
E806_385	-9.838048	9.20224	0.2565130260521042
E798_920	7.7983856	-7.0841217	0.6138944555778223
E720_461	-9.613484	9.088178	0.3072812291249165
E733_436	-5.671247	5.9733033	0.2905811623246493
E319_286	-14.387381	13.098423	0.1903807615230461
E648_1285	2.638817	-5.615451	0.8577154308617234
E860_317	-11.102187	10.884541	0.2110888443553774
E822_97	-17.675789	16.007626	0.064128256513026
E109_1165	5.527855	-5.3532653	0.7775551102204409
E395_1387	8.935409	-0.06580992	0.9258517034068136
E432_887	5.9429846	-2.1592188	0.5918503674014696
E250_967	6.375028	-2.753727	0.6452905811623246
E919_1307	6.4350295	-7.370843	0.8724114896459586
E270_1302	4.2239027	-5.777896	0.8690714762859052
E97_720	0.4457036	-1.17831	0.4802939211756847
E497_951	0.12762752	-3.860479	0.6346025384101537
E894_1137	4.6486573	-4.8537498	0.7588510354041417
E861_486	-8.907629	8.616947	0.3239812959251837
E455_254	-14.58311	13.20842	0.1690046760187041
E175_900	1.1600877	-4.579329	0.6005344021376086
E297_641	-2.6530387	2.8824494	0.4275217100868403
E714_1386	6.9392953	-8.367315	0.9251837007348028
E91_1346	3.3331773	-6.0693073	0.8984635938543755
E263_460	-6.272381	6.645094	0.3066132264529058
E930_101	-19.059835	17.388176	0.0668002672010688
E718_581	-5.1183553	5.032423	0.387441549766199
E26_326	-12.171358	10.665859	0.2171008684034736
E123_692	6.841942	-4.1017575	0.4615898463593854
E615_405	-7.79766	8.8268585	0.269873079492318
E181_883	4.175851	-7.7886014	0.5891783567134269
E877_1453	5.4467793	-9.435302	0.969939879759519
E967_1191	11.889909	-4.942895	0.7949231796927188
E324_957	8.161712	-2.3935986	0.6386105544422178
E527_1057	9.347231	-0.9416832	0.7054108216432866
E489_1383	5.2716775	-7.706894	0.9231796927187708
E642_1221	3.4257672	0.6128106	0.8149632598530394
E92_194	-16.990889	14.293422	0.1289245156980628
E565_1134	2.5000641	-0.8667511	0.7568470273881096
E15_374	-11.401268	10.650147	0.2491649966599866
E777_726	6.2837415	-3.8810277	0.4843019372077488
E742_353	-11.787961	11.17779	0.2351369405477621
E79_920	8.30161	-8.260805	0.6138944555778223
E417_252	-14.510244	13.739282	0.1676686706746827
E701_149	-15.736112	14.413309	0.0988643954575818
E818_1295	5.5162964	-0.49614283	0.8643954575818303
E612_1385	7.074829	-10.50031	0.9245156980627922
E477_736	3.1801474	-2.7600024	0.4909819639278557
E872_1230	10.008639	-7.873122	0.8209752839011356
E508_1263	2.252958	-5.159971	0.8430193720774883
E117_385	-11.629002	10.614914	0.2565130260521042
E750_1055	2.629885	-7.579244	0.7040748162992652
E571_1160	9.689318	-6.58949	0.7742150968603875
E458_513	-4.625616	6.3312736	0.3420173680694723
E142_1187	8.345357	-6.5101995	0.7922511690046761
E840_177	-16.21625	14.811792	0.117568470273881
E454_323	-11.33646	10.289867	0.2150968603874415
E159_167	-17.546772	15.921646	0.1108884435537742
E77_788	3.9190068	0.74291825	0.5257181028724115
E286_591	-2.3931878	3.4011962	0.3941215764863059
E901_597	0.7991927	-1.159226	0.3981295925183701
E530_157	-17.287153	16.675192	0.1042084168336673
E923_216	-16.820795	15.499996	0.1436205744822979
E647_1328	7.6584797	-0.7831423	0.8864395457581831
E202_1465	3.2427812	-5.7333193	0.9779559118236472
E673_415	-11.879462	9.831601	0.2765531062124248
E970_653	-1.7534593	2.8969202	0.4355377421509686
E848_887	8.905056	0.18020152	0.5918503674014696
E328_951	6.9933405	-1.422598	0.6346025384101537
E141_942	6.876242	-5.979656	0.6285905143620575
E301_1329	6.0931506	-5.224449	0.8871075484301937
E925_31	-20.480436	18.030333	0.0200400801603206
E551_607	-5.3042326	5.552665	0.4048096192384769
E381_419	-8.148924	8.470437	0.2792251169004676
E600_935	4.0730805	-9.102112	0.6239144956579826
E548_43	-19.866379	18.673773	0.0280561122244488
E831_1380	0.08574506	-3.798805	0.9211756847027388
E387_343	-11.934665	11.31298	0.2284569138276553
E462_1182	1.672116	-6.072119	0.7889111556446226
E31_7	-21.074427	18.337166	0.0040080160320641
E745_1160	6.926924	-7.3019843	0.7742150968603875
E900_520	-7.0806427	7.0467196	0.3466933867735471
E884_406	-8.838287	8.97503	0.2705410821643286
E969_840	2.8890653	-6.5747156	0.5604542418169672
E412_984	7.0813494	-0.98519295	0.6566466265865063
E208_395	-8.063657	8.654387	0.2631930527722111
E467_1184	12.394216	-5.8881454	0.790247160988644
E329_1391	2.7090178	-7.185441	0.9285237140948563
E550_1076	11.262341	-5.930613	0.7181028724114896
E170_101	-17.8886	16.622137	0.0668002672010688
E997_292	-11.653471	9.842217	0.1943887775551102
E273_503	-4.3712935	5.7988796	0.3353373413493654
E891_1075	5.4943624	-9.538501	0.717434869739479
