	dim1	dim2	pt
E826_1072	-1.253383	-6.375623	0.6306784660766962
E908_196	-11.334386	17.151014	0.1138643067846607
E319_365	-13.043932	10.678301	0.2135693215339233
E355_267	-11.980942	13.875351	0.1557522123893805
E76_31	-8.577077	22.696604	0.0165191740412979
E766_1143	11.709058	-7.2175827	0.672566371681416
E397_742	-10.669456	0.16497342	0.4359882005899705
E859_542	-12.907911	3.6856852	0.3179941002949852
E455_85	-11.280131	18.898369	0.0483775811209439
E273_996	6.464421	-7.5099516	0.5858407079646017
E197_278	-13.172406	15.132514	0.1622418879056047
E637_1243	15.855336	-3.8028517	0.7315634218289085
E54_1294	17.46679	-8.100753	0.7616519174041297
E92_1655	20.790598	-6.2054677	0.9746312684365782
E118_1440	20.13627	-4.705146	0.8477876106194691
E177_1155	16.54184	-4.884931	0.679646017699115
E349_1050	1.7046969	-6.963716	0.6176991150442478
E290_5	-8.497924	23.199728	0.0011799410029498
E304_154	-12.479901	17.791363	0.0890855457227138
E412_957	5.663292	-7.5961604	0.5628318584070796
E46_955	-0.004880312	-6.356828	0.5616519174041298
E359_15	-9.47973	22.292236	0.0070796460176991
E550_46	-8.9277315	20.803041	0.0253687315634218
E429_841	-3.4087894	-5.315546	0.4943952802359882
E693_1096	9.703267	-6.7957845	0.6448377581120944
E86_1513	5.133917	-16.013765	0.8908554572271387
E99_1575	19.250763	-8.711769	0.927433628318584
E357_582	-11.003758	0.021666108	0.3415929203539823
E632_1424	17.71164	-6.8233824	0.8383480825958702
E79_927	2.5563498	-7.144309	0.5451327433628319
E997_144	-12.244672	17.692263	0.0831858407079646
E666_1448	3.8851342	-16.789576	0.8525073746312685
E985_600	-11.551724	1.6561928	0.3522123893805309
E879_641	-8.618848	-2.9926953	0.376401179941003
E516_1548	15.748721	-4.027093	0.911504424778761
E793_1228	9.583353	-6.9249873	0.7227138643067846
E994_981	3.8318315	-7.008409	0.5769911504424778
E341_663	-8.108683	-2.8243353	0.3893805309734513
E246_145	-10.767296	18.785156	0.0837758112094395
E433_160	-10.274086	18.108374	0.0926253687315634
E576_346	-13.335081	9.787162	0.2023598820058997
E228_1063	4.041125	-7.496871	0.6253687315634219
E458_1017	4.2433496	-7.8197045	0.5982300884955752
E800_424	-13.106583	12.251839	0.2483775811209439
E67_1332	18.852358	-6.1107936	0.784070796460177
E967_1500	16.286366	-4.5272255	0.8831858407079646
E750_1003	-0.0065018	-7.0107846	0.5899705014749262
E517_518	-13.279305	7.3585753	0.303834808259587
E406_633	-11.410532	0.5718649	0.3716814159292035
E806_1092	4.2237463	-7.363026	0.6424778761061947
E744_1125	4.493685	-7.5129924	0.6619469026548672
E694_1467	17.948603	-4.4378076	0.863716814159292
E85_615	-8.961456	-1.76985	0.3610619469026548
E249_1562	18.993517	-5.778219	0.91976401179941
E94_320	-12.298734	11.603964	0.1870206489675516
E858_219	-11.044321	18.228655	0.127433628318584
E156_1071	6.153682	-9.65147	0.6300884955752213
E365_1328	18.384575	-8.199465	0.7817109144542773
E403_930	-0.78824806	-6.3455863	0.5469026548672566
E965_512	-12.844898	2.9391875	0.3002949852507374
E416_1546	20.038454	-6.4568343	0.9103244837758112
E624_242	-12.148412	15.258926	0.1410029498525074
E972_1290	19.26419	-5.7491302	0.7592920353982301
E201_938	-1.2053841	-6.640693	0.551622418879056
E259_231	-11.619599	15.128933	0.1345132743362831
E612_549	-9.152968	-1.3691038	0.3221238938053097
E636_1255	3.878061	-15.488925	0.7386430678466077
E29_1510	17.710686	-3.693446	0.8890855457227138
E915_141	-11.852275	17.769005	0.0814159292035398
E932_1277	4.5219154	-17.132088	0.751622418879056
E444_1233	18.689089	-8.700206	0.7256637168141593
E111_1355	17.79435	-5.5178514	0.7976401179941003
E944_1508	16.251892	-6.4018726	0.887905604719764
E600_723	-11.7212925	0.8352659	0.4247787610619469
E816_273	-13.0328865	14.056878	0.1592920353982301
E526_1611	17.015059	-4.5845523	0.9486725663716814
E940_341	-12.551699	12.940183	0.199410029498525
E611_324	-12.478815	10.443452	0.1893805309734513
E894_554	-12.333149	4.3763747	0.3250737463126844
E44_763	-5.768733	-4.553658	0.4483775811209439
E754_446	-12.119925	3.3616083	0.2613569321533923
E258_732	-7.5151405	-4.4263706	0.4300884955752212
E126_1159	6.66722	-7.031171	0.6820058997050148
E784_373	-13.1208105	12.447186	0.2182890855457227
E999_1557	16.774155	-4.2001557	0.9168141592920354
E264_7	-8.56882	23.127922	0.0023598820058997
E321_1685	17.171198	-3.7785053	0.992330383480826
E171_1414	19.20026	-3.412247	0.8324483775811209
E845_50	-8.81473	21.866917	0.0277286135693215
E502_669	-10.982058	0.4763877	0.3929203539823009
E157_652	-12.603723	3.9030423	0.3828908554572271
E50_932	-0.092279665	-5.9857316	0.5480825958702065
E893_1137	3.7670906	-15.254288	0.6690265486725664
E864_158	-10.385262	19.50346	0.0914454277286135
E269_685	-10.726891	0.27729467	0.4023598820058997
E320_1547	19.734705	-4.8872414	0.910914454277286
E715_274	-11.13348	15.702826	0.159882005899705
E287_787	-1.3093272	-5.9789543	0.4625368731563422
E719_1360	3.0488477	-15.987841	0.800589970501475
