	dim1	dim2	pt
E706_1696	6.8123407	2.0306993	0.9988207547169812
E813_215	-14.145614	7.748934	0.1255896226415094
E275_133	-19.705767	10.237216	0.0772405660377358
E741_166	-19.245888	9.35747	0.0966981132075471
E179_913	-1.5921688	2.5597153	0.5371462264150944
E119_877	9.585513	-0.25114107	0.5159198113207547
E782_755	2.8395212	-2.310607	0.4439858490566037
E658_9	-21.103226	12.693259	0.004127358490566
E66_1285	2.1409552	1.886865	0.7564858490566038
E113_388	3.4648392	3.4825835	0.2275943396226415
E251_1413	1.9000756	-4.2293153	0.8319575471698113
E625_296	-11.115748	5.5668874	0.1733490566037736
E387_734	7.6022058	1.5454526	0.4316037735849056
E329_991	5.6046214	-3.4559345	0.5831367924528302
E107_590	-1.077408	-8.131115	0.3466981132075472
E539_761	1.7884363	-9.002458	0.4475235849056603
E250_532	1.129963	-8.664874	0.3125
E796_959	-4.2403226	-2.9601588	0.5642688679245284
E828_767	2.4043586	-5.057816	0.451061320754717
E893_1155	3.2788038	-4.261635	0.6798349056603774
E961_1085	2.3252583	-3.8613815	0.6385613207547169
E970_961	10.069308	1.3578734	0.5654481132075472
E661_694	6.98974	-1.877389	0.4080188679245283
E955_1016	-0.61196095	2.4835856	0.597877358490566
E407_1507	-1.2443777	-5.1254783	0.8873820754716981
E570_1167	-0.8520117	-3.342752	0.6869103773584906
E976_1268	3.4086006	4.137822	0.7464622641509434
E54_1336	6.129311	-1.2530359	0.7865566037735849
E788_365	-10.540007	4.9300523	0.2140330188679245
E170_1199	6.127396	1.6820459	0.7057783018867925
E973_735	8.616205	-7.581203	0.4321933962264151
E339_31	-21.570648	12.473185	0.0170990566037735
E427_1211	5.396358	-3.754589	0.7128537735849056
E720_798	8.656732	2.2644773	0.4693396226415094
E859_1676	6.3671155	-5.640094	0.9870283018867924
E349_209	-15.253696	5.9475245	0.1220518867924528
E695_1088	5.6864605	-8.4087715	0.6403301886792453
E185_275	-15.141297	7.4904094	0.1609669811320754
E325_1357	1.1504917	1.5232209	0.7989386792452831
E24_308	-11.117317	5.8284173	0.1804245283018868
E941_1169	5.414621	-6.3986826	0.6880896226415094
E437_1567	-1.6906774	-4.776566	0.922759433962264
E258_931	1.4155754	1.2356292	0.5477594339622641
E219_664	-1.4886266	-1.152049	0.3903301886792453
E530_1467	3.0677981	4.758793	0.8637971698113207
E369_1392	3.0089571	-5.1815066	0.8195754716981132
E243_1194	1.2433243	-1.5579518	0.7028301886792453
E150_1373	-5.312496	1.6977425	0.808372641509434
E738_732	-0.35042936	-7.2014756	0.4304245283018867
E378_207	-19.159222	9.126314	0.1208726415094339
E519_68	-21.842384	11.765731	0.0389150943396226
E415_1514	-3.7685606	0.025359249	0.8915094339622641
E916_1362	5.0676804	-9.837008	0.8018867924528302
E567_296	-14.548515	7.1034145	0.1733490566037736
E145_969	4.827761	-9.872639	0.5701650943396226
E239_206	-15.767544	7.4855156	0.1202830188679245
E843_710	7.6451664	3.480318	0.4174528301886792
E628_846	-1.4567298	-5.7562532	0.4976415094339622
E547_974	6.3094835	-6.8267465	0.5731132075471698
E2_509	10.157267	-3.587883	0.298938679245283
E964_1193	7.1735377	1.3445553	0.7022405660377359
E545_1658	5.726484	4.174175	0.9764150943396226
E297_1162	11.870135	-4.487985	0.6839622641509434
E421_1591	9.407922	1.5760792	0.9369103773584906
E158_831	3.6372945	-3.2763515	0.4887971698113207
E714_575	3.407302	3.6206195	0.3378537735849056
E630_1240	8.390054	2.4390821	0.7299528301886793
E122_1024	10.718311	-5.371575	0.6025943396226415
E332_1639	2.1878226	-1.6597074	0.9652122641509434
E181_1083	3.928598	-5.043551	0.6373820754716981
E58_574	9.676257	4.1448255	0.3372641509433962
E787_1499	7.74711	-2.6108494	0.8826650943396226
E820_474	1.695837	3.944244	0.2783018867924528
E694_693	4.708772	5.297963	0.4074292452830189
E23_284	-12.282265	5.8096247	0.1662735849056603
E293_1651	2.6721551	-2.5139322	0.9722877358490566
E604_1629	-1.6321787	1.7390596	0.9593160377358492
E148_708	8.807381	3.4010296	0.4162735849056603
E719_366	4.8675137	3.3248842	0.2146226415094339
E793_54	-21.132853	11.974473	0.0306603773584905
E692_861	-1.394847	-3.4591851	0.5064858490566038
E743_156	-20.118362	9.541887	0.0908018867924528
E15_1287	2.6008465	1.2293527	0.7576650943396226
E175_1323	0.6046768	2.6496048	0.7788915094339622
E913_1617	-2.6379035	-4.107041	0.952240566037736
E543_723	-3.3917236	-5.1278033	0.4251179245283019
E909_1463	5.609125	-2.2178197	0.8614386792452831
E249_1239	-0.7567682	1.3134296	0.7293632075471698
E867_1375	1.4849908	-4.1115236	0.8095518867924528
E526_761	7.4121957	4.753587	0.4475235849056603
E225_577	3.2627192	5.734912	0.3390330188679245
E727_53	-21.373106	12.890415	0.0300707547169811
E948_1123	9.107908	-3.9327278	0.6609669811320755
E841_975	3.1534169	3.054067	0.5737028301886793
E468_38	-21.335646	11.587506	0.0212264150943396
E447_1318	7.6600075	-6.822649	0.7759433962264151
E956_810	0.87759507	-1.37372	0.4764150943396226
E612_1005	-0.21508266	4.529257	0.5913915094339622
E290_1656	-4.310061	-1.5947479	0.9752358490566038
E472_1446	8.479235	1.3018508	0.8514150943396226
E697_249	-17.519833	8.020405	0.1456367924528301
E496_1417	10.47273	-1.0075281	0.8343160377358491
E742_617	5.375234	-7.628803	0.3626179245283019
E774_1602	3.2266498	1.4566301	0.9433962264150944
E465_752	0.42094144	4.231759	0.4422169811320754
E57_717	-3.3947406	-0.87773114	0.4215801886792453
E408_1274	-0.4863159	-2.5083582	0.75
E552_950	7.930538	-2.9557602	0.5589622641509434
E330_775	3.5735567	-3.832345	0.4557783018867924
E794_179	-18.827793	9.439917	0.1043632075471698
E448_1619	3.9509044	3.7453473	0.9534198113207548
E651_889	-3.3889682	-5.283946	0.5229952830188679
E268_1401	3.7195325	0.17725049	0.8248820754716981
E95_781	3.90454	1.4848269	0.459316037735849
E798_493	0.8304803	4.485302	0.289504716981132
E425_300	-14.997506	6.214338	0.1757075471698113
E963_1002	-0.91223913	-6.2755637	0.589622641509434
E281_1475	1.5710279	-1.4682357	0.8685141509433962
E8_1432	1.4547354	-5.869525	0.8431603773584906
E934_280	-15.15733	6.706646	0.1639150943396226
E1_847	0.22890255	2.9153602	0.4982311320754717
E771_1091	3.4005535	6.006508	0.6420990566037735
E998_803	3.1377823	2.1278822	0.4722877358490566
E30_841	-1.8418659	1.8892366	0.4946933962264151
E105_1382	-2.4368382	-2.8347545	0.8136792452830188
E590_679	7.7545304	-3.7756715	0.3991745283018867
E92_776	9.1973095	-0.14977875	0.4563679245283019
E772_52	-21.9479	11.38145	0.0294811320754717
E808_365	-11.795412	5.0828414	0.2140330188679245
E750_936	5.7754517	-7.074114	0.5507075471698113
E960_1297	9.764856	-2.43767	0.7635613207547169
E627_55	-21.9225	11.080718	0.03125
E366_1092	2.5024526	1.465703	0.6426886792452831
E582_383	-2.9868305	4.1929207	0.2246462264150943
E194_133	-18.894041	9.696647	0.0772405660377358
E557_460	8.467231	1.0856571	0.2700471698113207
E836_1108	4.662356	0.90504605	0.652122641509434
E669_159	-19.930635	8.682867	0.0925707547169811
E381_781	8.476319	-3.3638444	0.459316037735849
E82_51	-21.604116	12.043468	0.0288915094339622
E563_1571	5.378204	5.275125	0.925117924528302
E764_1482	2.4858248	1.7649981	0.8726415094339622
E527_36	-21.603634	11.657096	0.0200471698113207
E858_542	9.197485	-0.47939098	0.3183962264150943
E315_751	10.412084	-1.6263031	0.441627358490566
E783_24	-21.203718	12.538105	0.0129716981132075
E591_249	-14.731069	7.3868804	0.1456367924528301
E896_462	-1.6931852	1.0478994	0.2712264150943396
E255_277	-14.079401	7.04132	0.1621462264150943
E452_168	-19.26238	9.447107	0.097877358490566
E775_575	7.4254766	-0.9220079	0.3378537735849056
E705_1379	4.4024353	-6.917065	0.8119103773584906
E129_1211	0.12780333	-3.8973641	0.7128537735849056
E118_909	5.745967	2.8146825	0.5347877358490566
E776_1131	2.3882968	-1.495829	0.6656839622641509
E151_843	1.8233868	-4.8466344	0.4958726415094339
E755_1618	8.304989	1.6315535	0.9528301886792452
E71_1321	2.1626465	-6.281304	0.7777122641509434
E682_1674	-4.451675	-1.232938	0.9858490566037736
E533_243	-15.4367285	7.6671214	0.1420990566037736
E607_122	-21.069103	10.855535	0.070754716981132
E401_960	4.1093616	-3.4963064	0.5648584905660378
E681_670	-1.9192848	1.7746303	0.3938679245283019
E864_565	-0.5322468	4.6884155	0.3319575471698113
E397_448	4.9659777	4.0818896	0.2629716981132075
E671_1433	7.384703	-6.460315	0.84375
E773_461	-10.900925	4.8342285	0.2706367924528302
E383_387	-10.46386	4.802777	0.2270047169811321
E586_168	-19.818247	9.824533	0.097877358490566
E704_476	3.6289413	-1.3334751	0.2794811320754717
E925_682	-2.4205577	-6.0863285	0.4009433962264151
E204_1414	4.9477863	0.08297204	0.8325471698113207
E806_420	-12.607919	6.732834	0.2464622641509433
E663_392	-11.783373	5.1503034	0.2299528301886792
E430_1681	6.3213654	0.8283882	0.9899764150943396
E724_872	-1.5336564	5.7406187	0.5129716981132075
E345_1524	6.2909875	1.5432637	0.8974056603773585
E907_80	-21.228567	11.520456	0.0459905660377358
E623_1140	5.942459	-1.6636299	0.6709905660377359
E117_167	-16.603783	7.973605	0.0972877358490566
E605_1066	8.57091	2.6218526	0.6273584905660378
E314_1122	10.517154	-4.948429	0.660377358490566
E220_1266	-0.20657824	-3.2560778	0.7452830188679245
E22_1613	2.7199488	-8.807233	0.949882075471698
E488_402	0.16379619	-9.526528	0.2358490566037736
E751_173	-20.076914	10.332367	0.1008254716981132
E11_760	5.97236	2.2851353	0.4469339622641509
E962_165	-20.07772	11.423345	0.0961084905660377
E385_290	-14.295303	7.1501064	0.1698113207547169
E635_805	4.1364555	0.9445476	0.4734669811320754
E844_1205	-4.1843104	-1.4491652	0.7093160377358491
E740_1359	1.7481456	-7.489728	0.8001179245283019
E856_881	-2.0024452	1.3195038	0.5182783018867925
E193_581	3.591682	2.4258668	0.3413915094339622
E932_64	-22.02402	10.632108	0.0365566037735849
E804_1257	-1.8634276	-8.227981	0.7399764150943396
E688_612	2.3130546	-1.4955137	0.3596698113207547
E388_1005	9.638035	-4.706121	0.5913915094339622
E480_509	7.5377226	-8.2032	0.298938679245283
E86_557	1.3516442	0.11575027	0.3272405660377358
E597_1139	3.7354562	-9.219797	0.6704009433962265
E473_280	-15.384488	7.915641	0.1639150943396226
E531_689	2.2209651	3.7400265	0.4050707547169811
E271_1417	8.561056	-1.4362878	0.8343160377358491
E81_1095	0.85850453	2.6187224	0.6444575471698113
E537_1645	10.363541	-0.99745226	0.96875
E209_1269	-0.38653168	-0.93874884	0.7470518867924528
E524_1687	8.941705	5.078156	0.9935141509433962
E252_200	-19.627848	9.852248	0.1167452830188679
E343_1320	-4.4628468	-2.5198715	0.777122641509434
E240_309	-10.539914	5.9444594	0.1810141509433962
E894_291	-16.393997	7.263899	0.1704009433962264
E428_824	4.0221	-1.7717434	0.4846698113207547
E380_676	2.9877937	-10.289366	0.3974056603773584
E192_146	-19.132265	9.199864	0.0849056603773584
E435_647	4.5238895	-5.355916	0.3803066037735849
E817_554	-3.6481764	0.57728666	0.3254716981132075
E218_20	-21.495447	12.104848	0.0106132075471698
E207_625	6.8464026	-4.5033526	0.3673349056603773
E376_1104	0.7781601	6.5338826	0.6497641509433962
E246_1119	-1.4622579	-0.2576319	0.6586084905660378
E274_1549	2.9339495	-4.400786	0.9121462264150944
E873_137	-19.725866	9.125996	0.0795990566037735
E99_291	-14.613761	7.069352	0.1704009433962264
E292_481	-4.8788824	-2.7686718	0.2824292452830189
E400_947	6.7246275	-8.914292	0.5571933962264151
E967_980	4.8925533	-4.936843	0.5766509433962265
E898_1220	2.7367303	-6.543086	0.7181603773584906
E77_1165	6.6185412	-5.79137	0.6857311320754716
E402_804	-1.0484608	1.02526	0.472877358490566
E559_1274	3.864413	-0.15766494	0.75
E589_1129	2.1689498	-6.2105947	0.6645047169811321
E163_891	9.320667	0.7621294	0.5241745283018868
E687_1153	1.9486148	-9.319034	0.6786556603773585
E389_279	-16.766602	7.421492	0.1633254716981132
E728_257	-16.218933	8.15448	0.1503537735849056
E791_1099	8.212741	-6.3358083	0.6468160377358491
E978_1184	5.5181026	-1.2980057	0.6969339622641509
E593_1184	2.8481236	-0.56507695	0.6969339622641509
E168_1575	5.357596	0.846625	0.9274764150943396
E920_156	-18.671032	9.903342	0.0908018867924528
E555_890	4.566008	-5.815453	0.5235849056603774
E3_1224	0.6105743	4.239742	0.7205188679245284
E392_1083	-2.2052562	0.4465802	0.6373820754716981
E942_1686	3.2466073	-2.1455235	0.9929245283018868
E564_1497	6.17194	4.2312827	0.8814858490566038
E877_999	7.5573616	2.8766718	0.5878537735849056
E950_1237	1.8988464	-9.472167	0.7281839622641509
E540_1169	7.4088326	-4.619681	0.6880896226415094
E424_1261	1.8476224	-7.775381	0.7423349056603774
E183_1114	0.65651983	-10.139765	0.6556603773584906
E197_502	4.930264	-5.4862237	0.294811320754717
E373_767	1.7901101	-4.260666	0.451061320754717
E749_715	-3.4656012	-0.46559745	0.4204009433962264
E587_1400	3.9427483	1.2635776	0.8242924528301887
E110_383	-11.573886	5.685823	0.2246462264150943
E653_1311	7.868975	-5.083992	0.7718160377358491
E482_1211	-1.274002	-6.0481462	0.7128537735849056
E494_8	-21.238813	12.915458	0.0035377358490566
E309_882	-2.2978857	-3.9497023	0.5188679245283019
E104_455	4.2102785	2.638424	0.2670990566037736
E393_1296	7.867439	3.8648398	0.7629716981132075
E503_1384	-2.909903	3.4725406	0.8148584905660378
E890_1017	-0.8272951	-1.1459095	0.5984669811320755
E748_858	-1.3885303	-1.0479493	0.5047169811320755
E138_1484	5.6344705	1.2561375	0.8738207547169812
E992_183	-18.309267	9.095985	0.1067216981132075
E137_575	6.2944083	-9.43901	0.3378537735849056
E840_1213	4.363446	0.75100595	0.7140330188679245
E232_1198	-1.1853801	-0.83736944	0.7051886792452831
E974_453	-0.8107651	1.4641628	0.2659198113207547
E46_1379	3.6729698	-7.3360634	0.8119103773584906
E713_61	-21.894032	11.704604	0.0347877358490566
E167_952	-3.105931	-4.8259196	0.5601415094339622
E19_379	-11.467357	5.875834	0.2222877358490566
E618_1078	6.360315	-7.996622	0.6344339622641509
E75_1323	7.7238026	-6.198278	0.7788915094339622
E153_1093	-5.1400423	-2.5857575	0.6432783018867925
E685_1104	7.606957	-6.247841	0.6497641509433962
E516_165	-19.606123	10.887213	0.0961084905660377
E897_147	-18.669556	10.031959	0.0854952830188679
E37_342	-12.211219	5.900132	0.2004716981132075
E609_1122	-0.17307556	0.87500507	0.660377358490566
E18_1385	4.7190223	0.55085635	0.8154481132075472
E64_355	-1.0694767	0.16916113	0.2081367924528301
E338_1179	10.560466	-5.491546	0.6939858490566038
E269_1649	-3.4391677	-1.0948062	0.9711084905660378
E235_1085	0.93199956	-9.942484	0.6385613207547169
E572_450	-3.074494	-3.7953813	0.2641509433962264
E809_1291	-2.8936815	-6.8892517	0.7600235849056604
E311_245	-14.921677	8.4375105	0.1432783018867924
E489_249	-15.995329	8.108953	0.1456367924528301
E660_739	2.5924706	-8.510191	0.4345518867924528
E880_1405	3.2885997	-7.330372	0.8272405660377359
E441_913	5.3762627	-0.7301885	0.5371462264150944
E162_1345	-2.336635	-4.0556574	0.7918632075471698
E878_1615	0.7038882	-4.91174	0.9510613207547168
E346_1698	5.191739	-4.731105	1.0
E919_752	3.4970305	1.7433136	0.4422169811320754
E638_99	-21.253708	10.942739	0.057193396226415
E592_248	-14.753057	7.5715194	0.1450471698113207
E0_1212	-1.3298606	5.702502	0.7134433962264151
E434_807	-0.18622968	-3.5798297	0.4746462264150943
E184_969	5.4832797	-1.9850734	0.5701650943396226
E420_1315	3.0711896	2.727786	0.7741745283018868
E737_222	-15.214584	8.258985	0.1297169811320754
E684_1273	7.1811085	-2.0178845	0.7494103773584906
E301_1492	-1.4868466	-4.728733	0.8785377358490566
E31_861	8.588226	-4.489088	0.5064858490566038
E981_949	7.278028	-5.769785	0.558372641509434
E797_423	-5.460518	-1.6745621	0.2482311320754717
E821_1529	2.11343	-0.78739923	0.9003537735849056
E456_1413	5.1362305	-4.3324428	0.8319575471698113
E710_1340	7.322566	0.79956335	0.7889150943396226
E639_930	5.8413897	-5.5427217	0.5471698113207547
E136_1018	7.154374	-4.0113244	0.5990566037735849
E102_327	-13.805447	6.7097793	0.191627358490566
E602_1558	0.72384137	6.58875	0.9174528301886792
E334_1226	-3.9523778	-2.2476301	0.7216981132075472
E26_1529	8.728857	4.1902485	0.9003537735849056
E792_1219	2.8785672	-0.9325752	0.7175707547169812
E236_309	-11.183797	5.9049473	0.1810141509433962
E189_1038	3.073067	-1.5631833	0.6108490566037735
E980_128	-19.210783	10.606499	0.0742924528301886
E422_2	-21.207651	12.979221	0.0
E854_1418	3.784306	-1.5646853	0.8349056603773585
E814_645	1.0633252	-2.303828	0.379127358490566
E779_967	5.236282	0.9455855	0.5689858490566038
E178_206	-19.019978	9.09431	0.1202830188679245
E5_786	0.7885061	-3.380243	0.4622641509433962
E73_1662	2.0031471	-3.117461	0.9787735849056604
E423_1004	5.74406	-9.53553	0.5908018867924528
E888_1370	1.3154811	-2.7650456	0.8066037735849056
E405_500	4.1468167	-2.9103093	0.2936320754716981
E576_417	4.623548	-5.7482343	0.2446933962264151
E532_182	-17.561605	8.527288	0.1061320754716981
E731_1488	-5.2347927	-1.7302026	0.8761792452830188
E648_1567	-0.7010559	-3.0276082	0.922759433962264
E50_672	8.532923	-0.24129373	0.3950471698113207
E979_1064	5.356889	3.6316507	0.6261792452830188
E736_1440	8.475355	-8.262562	0.847877358490566
E76_1064	-1.5504102	2.937509	0.6261792452830188
E693_1108	4.6778502	0.8175382	0.652122641509434
E88_527	8.72696	-2.3616102	0.3095518867924528
E59_694	-1.338094	2.3129678	0.4080188679245283
E121_520	-0.38768595	3.583418	0.3054245283018867
E966_1312	11.819253	-4.4433036	0.7724056603773585
E115_1373	8.004493	-1.5784372	0.808372641509434
E450_236	-15.829795	8.517405	0.1379716981132075
E887_1580	-2.4325347	0.99798954	0.9304245283018868
E509_1532	8.833117	-0.44692868	0.902122641509434
E947_1031	4.0531325	5.097905	0.6067216981132075
E634_567	0.8368932	1.7194477	0.3331367924528302
E351_1250	-0.6434851	2.9905512	0.7358490566037735
E94_56	-22.081297	10.522313	0.0318396226415094
E829_897	1.3226887	0.39469215	0.5277122641509434
E637_1116	0.6022791	-7.7130446	0.6568396226415094
E812_663	8.926618	4.993376	0.3897405660377358
E895_1374	2.458695	-6.346784	0.8089622641509434
E41_1313	3.3070436	-5.8546915	0.7729952830188679
E449_129	-19.990862	10.163472	0.0748820754716981
E344_434	4.8817225	3.1583734	0.2547169811320754
E891_783	-5.4814267	-1.7732296	0.4604952830188679
E644_1314	-2.8817124	-8.768415	0.7735849056603774
E599_829	9.978113	-4.018709	0.4876179245283019
E286_435	-1.6419007	-8.525783	0.2553066037735849
E21_310	-15.690888	8.232202	0.1816037735849056
E306_24	-21.62673	12.09821	0.0129716981132075
E322_844	-0.25109705	-3.4144356	0.4964622641509434
E371_117	-19.195686	9.829742	0.0678066037735849
E621_662	8.517442	-2.9215257	0.3891509433962264
E839_1346	10.6717825	1.391837	0.7924528301886793
E267_1684	6.2231383	-2.1221845	0.991745283018868
E126_451	-10.53347	5.198277	0.2647405660377358
E971_1054	7.6252375	-2.9556346	0.6202830188679245
E822_1243	7.575062	-0.6864122	0.7317216981132075
