,cl
E0,2
E1,1
E2,0
E3,1
E4,0
E5,0
E6,2
E7,0
E8,0
E9,2
E10,0
E11,2
E12,2
E13,0
E14,1
E15,2
E16,1
E17,0
E18,2
E19,1
E20,1
E21,2
E22,1
E23,2
E24,2
E25,0
E26,1
E27,0
E28,1
E29,0
E30,0
E31,2
E32,1
E33,2
E34,2
E35,2
E36,0
E37,1
E38,2
E39,0
E40,0
E41,1
E42,2
E43,0
E44,0
E45,1
E46,1
E47,1
E48,0
E49,2
E50,0
E51,2
E52,1
E53,1
E54,2
E55,1
E56,0
E57,0
E58,0
E59,2
E60,2
E61,2
E62,0
E63,2
E64,2
E65,0
E66,2
E67,1
E68,0
E69,0
E70,0
E71,0
E72,2
E73,2
E74,2
E75,0
E76,0
E77,0
E78,0
E79,1
E80,2
E81,2
E82,2
E83,2
E84,1
E85,0
E86,1
E87,0
E88,2
E89,2
E90,1
E91,0
E92,2
E93,0
E94,1
E95,2
E96,1
E97,1
E98,2
E99,2
E100,1
E101,2
E102,0
E103,2
E104,2
E105,2
E106,0
E107,2
E108,2
E109,0
E110,0
E111,0
E112,0
E113,2
E114,2
E115,1
E116,0
E117,0
E118,0
E119,2
E120,0
E121,2
E122,0
E123,2
E124,2
E125,0
E126,2
E127,1
E128,2
E129,1
E130,1
E131,0
E132,2
E133,1
E134,1
E135,1
E136,2
E137,2
E138,0
E139,1
E140,2
E141,1
E142,0
E143,2
E144,1
E145,0
E146,1
E147,2
E148,1
E149,1
E150,0
E151,1
E152,1
E153,2
E154,1
E155,0
E156,0
E157,2
E158,2
E159,2
E160,2
E161,0
E162,0
E163,0
E164,1
E165,1
E166,0
E167,0
E168,0
E169,0
E170,0
E171,1
E172,2
E173,2
E174,0
E175,2
E176,2
E177,1
E178,0
E179,0
E180,2
E181,1
E182,1
E183,1
E184,2
E185,0
E186,1
E187,0
E188,1
E189,0
E190,0
E191,2
E192,1
E193,1
E194,1
E195,0
E196,1
E197,1
E198,0
E199,1
E200,0
E201,0
E202,1
E203,2
E204,1
E205,2
E206,1
E207,1
E208,1
E209,2
E210,1
E211,0
E212,1
E213,1
E214,0
E215,2
E216,1
E217,1
E218,0
E219,0
E220,2
E221,2
E222,0
E223,1
E224,0
E225,2
E226,0
E227,0
E228,0
E229,1
E230,0
E231,0
E232,1
E233,0
E234,2
E235,2
E236,1
E237,0
E238,0
E239,2
E240,1
E241,0
E242,0
E243,0
E244,1
E245,2
E246,0
E247,0
E248,0
E249,0
E250,2
E251,1
E252,1
E253,2
E254,2
E255,0
E256,2
E257,0
E258,1
E259,1
E260,2
E261,2
E262,0
E263,0
E264,0
E265,0
E266,1
E267,2
E268,0
E269,2
E270,1
E271,2
E272,0
E273,2
E274,2
E275,0
E276,2
E277,1
E278,0
E279,0
E280,2
E281,2
E282,2
E283,2
E284,1
