,PseudoTime1,PseudoTime2,PseudoTime3
E591_268,0.33501,NA,NA
E183_617,NA,0.7729,NA
E629_500,NA,0.6261,NA
E394_596,NA,NA,0.74655
E90_134,NA,0.16688,NA
E604_279,0.34881,NA,NA
E667_503,0.62986,NA,NA
E764_715,NA,NA,0.89586
E716_720,NA,0.90213,NA
E763_160,NA,NA,0.1995
E365_361,0.45169,NA,NA
E562_185,NA,NA,0.23087
E469_772,NA,NA,0.96738
E115_353,NA,0.44166,NA
E988_458,0.5734,NA,NA
E470_38,0.04642,NA,NA
E63_109,NA,NA,0.13551
E676_139,0.17315,NA,NA
E328_71,0.08783,NA,NA
E635_797,NA,NA,0.99875
E123_204,NA,NA,0.25471
E205_64,NA,NA,0.07905
E164_791,NA,0.99122,NA
E292_170,NA,0.21205,NA
E983_737,NA,0.92346,NA
E518_411,0.51443,NA,NA
E924_427,NA,0.5345,NA
E984_117,NA,0.14555,NA
E13_464,0.58093,NA,NA
E225_726,NA,NA,0.90966
E922_373,NA,NA,0.46675
E97_323,NA,0.40402,NA
E43_231,0.28858,NA,NA
E452_596,0.74655,NA,NA
E393_537,0.67252,NA,NA
E646_362,NA,NA,0.45295
E940_652,NA,0.81681,NA
E672_472,0.59097,NA,NA
E844_688,NA,NA,0.86198
E483_50,NA,0.06148,NA
E725_157,0.19573,NA,NA
E491_507,0.63488,NA,NA
E657_322,NA,0.40276,NA
E263_676,0.84693,NA,NA
E794_484,0.60602,NA,NA
E506_150,0.18695,NA,NA
E800_28,NA,0.03388,NA
E579_199,NA,NA,0.24843
E876_214,NA,0.26725,NA
E333_157,NA,0.19573,NA
E36_694,0.86951,NA,NA
E702_299,NA,0.3739,NA
E498_21,NA,NA,0.02509
E0_79,NA,NA,0.09787
E229_790,NA,0.98996,NA
E561_660,NA,0.82685,NA
E807_454,0.56838,NA,NA
E414_118,0.1468,NA,NA
E479_407,NA,0.50941,NA
E613_711,NA,0.89084,NA
E178_244,0.30489,NA,NA
E240_330,NA,0.4128,NA
E931_228,NA,0.28482,NA
E49_566,NA,NA,0.70891
E958_121,NA,NA,0.15056
E255_567,0.71016,NA,NA
E649_602,NA,NA,0.75408
E39_678,0.84944,NA,NA
E305_144,NA,NA,0.17942
E1_586,NA,0.734,NA
E551_764,0.95734,NA,NA
E88_492,NA,NA,0.61606
E711_284,0.35508,NA,NA
E743_516,NA,NA,0.64617
E845_232,NA,NA,0.28984
E919_304,0.38018,NA,NA
E887_175,0.21832,NA,NA
E439_231,NA,NA,0.28858
E567_93,NA,0.11543,NA
E248_626,0.78419,NA,NA
E37_597,NA,0.7478,NA
E440_281,0.35132,NA,NA
E399_121,0.15056,NA,NA
E835_502,0.62861,NA,NA
E259_532,NA,0.66625,NA
E799_619,NA,0.77541,NA
E868_285,0.35634,NA,NA
E395_138,NA,0.17189,NA
E515_682,NA,NA,0.85445
E856_746,0.93476,NA,NA
E238_366,0.45797,NA,NA
E331_388,NA,0.48557,NA
E423_451,0.56462,NA,NA
E776_676,NA,0.84693,NA
E937_343,NA,0.42911,NA
E592_440,NA,NA,0.55082
E338_629,NA,NA,0.78795
E623_509,NA,0.63739,NA
E797_166,NA,NA,0.20703
