	dim1	dim2	pt
E591_268	-3.7349217	0.096715465	0.33501
E183_617	15.431261	1.0538155	0.7729
E629_500	8.645574	0.84459454	0.6261
E394_596	1.8984461	14.575779	0.74655
E90_134	-11.722871	-0.8631652	0.16688
E604_279	1.5798134	-2.7578712	0.34881
E667_503	2.70449	-12.287557	0.62986
E764_715	1.6053616	13.517375	0.89586
E716_720	13.751231	3.111586	0.90213
E763_160	-10.537265	0.9280724	0.1995
E365_361	2.8008494	-7.3738565	0.45169
E562_185	-3.836427	-0.16768695	0.23087
E469_772	-0.100553975	11.691369	0.96738
E115_353	7.4472685	0.53824687	0.44166
E988_458	2.7876027	-13.195606	0.5734
E470_38	-19.541819	1.7833034	0.04642
E63_109	-12.4264	-0.2671643	0.13551
E676_139	-11.305324	-0.440713	0.17315
E328_71	-17.395214	-1.4856855	0.08783
E635_797	1.0265982	12.988726	0.99875
E123_204	-3.9211082	-0.2984868	0.25471
E205_64	-19.226192	-0.90105563	0.07905
E164_791	13.764641	2.7560327	0.99122
E292_170	-11.58843	0.5285551	0.21205
E983_737	13.963883	3.3377657	0.92346
E518_411	3.584664	-13.656495	0.51443
E924_427	8.526951	0.8685219	0.5345
E984_117	-15.525327	0.94375706	0.14555
E13_464	2.8877306	-7.8594036	0.58093
E225_726	0.36430523	13.5949745	0.90966
E922_373	1.635337	6.771026	0.46675
E97_323	8.345538	1.023283	0.40402
E43_231	-2.7282887	-1.8992462	0.28858
E452_596	4.0912757	-14.032497	0.74655
E393_537	4.708021	-12.73841	0.67252
E646_362	1.2977597	3.7945728	0.45295
E940_652	14.977853	2.083701	0.81681
E672_472	3.3209922	-12.547283	0.59097
E844_688	0.24776475	14.293705	0.86198
E483_50	-18.752312	0.6273061	0.06148
E725_157	-10.633955	-0.9118956	0.19573
E491_507	3.4611466	-12.77548	0.63488
E657_322	8.3785305	0.6149593	0.40276
E263_676	5.4258366	-12.510733	0.84693
E794_484	4.9907227	-13.680982	0.60602
E506_150	-11.065377	-1.5659485	0.18695
