,cl
E0,2
E1,1
E2,1
E3,0
E4,2
E5,0
E6,2
E7,1
E8,1
E9,2
E10,2
E11,2
E12,2
E13,2
E14,2
E15,0
E16,1
E17,1
E18,2
E19,2
E20,0
E21,0
E22,0
E23,1
E24,2
E25,0
E26,0
E27,1
E28,2
E29,1
E30,1
E31,0
E32,1
E33,2
E34,0
E35,0
E36,0
E37,0
E38,1
E39,2
E40,0
E41,1
E42,0
E43,1
E44,1
E45,0
E46,2
E47,0
E48,0
E49,0
E50,0
E51,1
E52,0
E53,1
E54,1
E55,2
E56,0
E57,0
E58,0
E59,0
E60,1
E61,2
E62,2
E63,1
E64,1
E65,1
E66,0
E67,1
E68,1
E69,0
E70,0
E71,0
E72,1
E73,1
E74,1
E75,2
E76,2
E77,1
E78,1
E79,1
E80,1
E81,0
E82,0
E83,1
E84,0
E85,1
E86,1
E87,1
E88,0
E89,1
E90,1
E91,1
E92,1
E93,2
E94,0
E95,0
E96,0
E97,1
E98,2
E99,1
E100,2
E101,1
E102,2
E103,2
E104,1
E105,1
E106,0
E107,1
E108,2
E109,1
E110,1
E111,1
E112,2
E113,2
E114,2
E115,1
E116,1
E117,1
E118,0
E119,1
E120,0
E121,0
E122,0
E123,0
E124,2
E125,2
E126,2
E127,0
E128,0
E129,2
E130,0
E131,2
E132,2
E133,1
E134,1
E135,0
E136,0
E137,2
E138,1
E139,2
E140,2
E141,1
E142,1
E143,0
E144,0
E145,2
E146,1
E147,2
E148,1
E149,1
E150,2
E151,2
E152,2
E153,0
E154,2
E155,0
E156,2
E157,1
E158,1
E159,0
E160,0
E161,0
E162,1
E163,1
E164,0
E165,0
E166,1
E167,2
E168,0
E169,0
E170,1
E171,1
E172,1
E173,0
E174,2
E175,2
E176,1
E177,0
E178,0
E179,1
E180,0
E181,1
E182,1
E183,0
E184,2
E185,2
E186,0
E187,1
E188,2
E189,1
E190,2
E191,2
E192,1
E193,2
E194,0
E195,2
E196,2
E197,0
E198,0
E199,1
E200,2
E201,1
E202,1
E203,0
E204,0
E205,1
E206,2
E207,2
E208,2
E209,0
E210,2
E211,1
E212,2
E213,0
E214,0
E215,2
E216,1
E217,2
E218,0
E219,1
E220,2
E221,1
E222,2
E223,1
E224,1
E225,2
E226,1
E227,2
E228,0
E229,2
E230,2
E231,0
E232,1
E233,0
E234,1
E235,0
E236,0
E237,2
E238,2
E239,0
E240,0
E241,0
E242,0
E243,0
E244,2
E245,2
E246,0
E247,2
E248,1
E249,2
E250,0
E251,0
E252,0
E253,0
E254,1
E255,0
E256,1
E257,1
E258,0
E259,1
E260,1
E261,2
E262,1
E263,1
E264,1
E265,1
E266,1
E267,1
E268,2
E269,2
E270,1
E271,2
E272,0
E273,2
E274,2
E275,0
E276,1
E277,0
E278,1
E279,0
E280,2
E281,1
E282,2
E283,1
E284,1
