	dim1	dim2	pt
E765_288	-9.290519	-7.8665977	0.3593
E260_305	-8.35123	-10.491749	0.38065
E211_255	-4.566224	-6.279286	0.31784
E847_715	-10.341243	3.9563677	0.89573
E112_236	-6.1423383	-2.6612234	0.29397
E785_229	-7.7948604	-6.6767497	0.28518
E964_281	-8.129813	-5.099573	0.3505
E587_133	-3.4897695	2.4866374	0.16457
E762_18	3.5550165	13.571001	0.0201
E819_402	-7.215948	-3.3202975	0.50251
E455_273	4.9422646	-2.4458082	0.34045
E339_247	13.784175	3.280014	0.30779
E173_640	15.084874	0.25281885	0.80151
E865_600	2.4132721	-1.7395527	0.75126
E841_284	7.8627887	-3.7997272	0.35427
E796_213	7.382686	-4.407398	0.26508
E465_421	-3.8088214	9.476955	0.52638
E609_776	-2.9640298	-5.5594835	0.97236
E603_87	11.794879	-3.9561684	0.10678
E826_703	-2.247193	-10.140104	0.88065
E562_529	13.302759	0.22933948	0.66206
E72_287	6.4622383	-0.16979164	0.35804
E338_594	7.757875	2.1106853	0.74372
E96_62	-8.87691	9.365187	0.07538
E145_316	10.325437	-6.3753996	0.39447
E435_404	1.4242023	7.4293733	0.50503
E986_648	13.41795	-1.3594147	0.81156
E416_711	4.018899	10.44454	0.8907
E690_625	-8.801477	-9.903824	0.78266
E332_563	-1.2523391	0.6657464	0.70477
E186_641	-8.01881	0.57771695	0.80276
E266_370	-9.589948	-0.32111585	0.46231
E988_544	-6.077722	-12.827072	0.6809
E972_525	12.492257	-3.4290435	0.65704
E295_703	-6.618619	-2.1190543	0.88065
E103_734	-11.263898	-10.100117	0.9196
E386_308	2.959886	9.551221	0.38442
E855_767	8.628835	-3.6432784	0.96106
E86_205	-2.465734	-12.410597	0.25503
E445_178	12.50883	-4.72576	0.22111
E372_412	-4.8973384	10.43931	0.51508
E989_82	-3.8121448	-14.405307	0.1005
E614_59	0.41927648	4.3186464	0.07161
E83_236	-10.572679	-11.263008	0.29397
E459_426	-9.365318	5.166374	0.53266
E837_305	13.4412775	0.47887352	0.38065
E962_316	1.6868855	9.020842	0.39447
E256_260	-8.884031	-8.924088	0.32412
E602_570	-8.649541	4.8304915	0.71357
E679_622	4.999669	-2.8157961	0.77889
E13_463	-0.22327337	-10.212722	0.57915
E101_251	-9.634881	6.0045905	0.31281
E554_414	11.87666	-1.7624387	0.51759
E758_348	-2.1041799	-1.6460733	0.43467
E678_527	7.005998	-9.283086	0.65955
E165_497	7.2627926	7.5189223	0.62186
E19_585	-10.528412	-7.2359147	0.73241
E623_74	0.69782114	2.2541428	0.09045
E208_26	-1.8516822	14.966571	0.03015
E281_97	0.97582895	-6.167933	0.11935
E209_153	4.043045	9.991751	0.1897
E290_487	9.558195	-1.3593079	0.6093
E394_270	-0.7093767	-2.2046545	0.33668
E668_442	6.77312	6.9091897	0.55276
E672_542	-4.587818	-0.62934697	0.67839
E799_732	-10.442296	7.365696	0.91709
E265_331	-7.4177904	-11.66695	0.41332
E206_152	-7.3008437	0.7004555	0.18844
E34_616	-10.133247	4.969169	0.77136
E487_323	3.2042377	8.403843	0.40327
E542_319	1.8237963	-12.53877	0.39824
E786_606	-6.67749	7.5873656	0.75879
E241_111	-2.239854	7.5197973	0.13693
E937_367	-6.782799	-8.7361145	0.45854
E81_632	-6.4910703	11.707854	0.79146
E235_567	0.3439303	-5.134097	0.7098
E210_118	12.962568	3.6978602	0.14573
E291_747	5.5217843	-4.344214	0.93593
E51_459	12.093157	5.5922184	0.57412
E519_209	-8.952666	7.5937333	0.26005
E935_436	-7.0532136	8.352992	0.54523
E734_218	8.526029	0.3514506	0.27136
E645_402	-9.43727	-5.621712	0.50251
E9_383	7.236087	-7.900291	0.47864
E743_331	0.3177533	8.040416	0.41332
