,PseudoTime1,PseudoTime2,PseudoTime3
E511_167,NA,NA,0.20828
E554_161,NA,0.20075,NA
E663_184,NA,0.22961,NA
E978_676,NA,0.84693,NA
E985_524,0.65621,NA,NA
E31_31,NA,0.03764,NA
E541_394,NA,0.4931,NA
E930_665,0.83312,NA,NA
E465_330,NA,NA,0.4128
E797_482,NA,0.60351,NA
E224_661,NA,NA,0.82811
E647_428,0.53576,NA,NA
E32_283,NA,0.35383,NA
E690_279,NA,0.34881,NA
E200_197,NA,NA,0.24592
E259_300,NA,0.37516,NA
E389_662,0.82936,NA,NA
E448_160,NA,0.1995,NA
E107_768,NA,0.96236,NA
E886_545,NA,0.68256,NA
E60_713,NA,0.89335,NA
E993_473,NA,0.59222,NA
E123_458,NA,0.5734,NA
E683_691,NA,0.86575,NA
E615_502,NA,0.62861,NA
E255_216,0.26976,NA,NA
E633_638,NA,0.79925,NA
E381_480,NA,0.601,NA
E607_263,NA,NA,0.32873
E614_654,0.81932,NA,NA
E929_20,0.02384,NA,NA
E726_130,NA,NA,0.16186
E629_487,NA,NA,0.60979
E309_120,NA,NA,0.14931
E536_120,NA,NA,0.14931
E462_49,NA,0.06023,NA
E910_166,NA,NA,0.20703
E54_341,NA,0.4266,NA
E246_479,0.59975,NA,NA
E424_139,NA,0.17315,NA
E606_168,NA,NA,0.20954
E791_431,0.53952,NA,NA
E267_33,NA,0.04015,NA
E73_745,NA,0.9335,NA
E43_308,0.38519,NA,NA
E307_24,0.02886,NA,NA
E201_516,0.64617,NA,NA
E974_339,NA,0.42409,NA
E692_610,NA,0.76412,NA
E95_482,NA,0.60351,NA
E926_249,NA,0.31117,NA
E313_316,NA,NA,0.39523
E321_209,0.26098,NA,NA
E340_488,0.61104,NA,NA
E401_454,NA,0.56838,NA
E286_323,NA,NA,0.40402
E202_361,0.45169,NA,NA
E385_412,NA,0.51568,NA
E382_30,NA,0.03639,NA
E2_545,NA,NA,0.68256
E24_512,NA,0.64115,NA
E648_214,NA,0.26725,NA
E817_386,NA,0.48306,NA
E998_65,NA,0.0803,NA
E897_641,NA,0.80301,NA
E619_784,NA,0.98243,NA
E431_697,NA,NA,0.87327
E778_590,NA,NA,0.73902
E856_777,NA,NA,0.97365
E662_632,NA,NA,0.79172
E805_60,NA,0.07403,NA
E581_401,0.50188,NA,NA
E378_704,NA,0.88206,NA
E210_153,NA,0.19072,NA
E37_448,NA,NA,0.56085
E524_232,NA,NA,0.28984
E359_124,NA,NA,0.15433
E50_247,0.30866,NA,NA
E469_302,NA,0.37767,NA
E888_187,NA,0.23338,NA
E944_110,NA,NA,0.13676
E565_364,NA,0.45546,NA
E915_360,NA,NA,0.45044
E264_72,0.08908,NA,NA
E963_584,NA,0.73149,NA
E513_278,0.34755,NA,NA
E600_462,0.57842,NA,NA
E19_518,NA,0.64868,NA
E421_295,NA,0.36888,NA
E225_246,NA,0.3074,NA
E164_738,NA,NA,0.92472
E753_695,0.87077,NA,NA
E473_53,0.06524,NA,NA
E368_504,NA,0.63112,NA
E355_433,0.54203,NA,NA
E102_110,NA,NA,0.13676
E10_718,NA,NA,0.89962
E823_771,NA,NA,0.96612
E395_106,NA,NA,0.13174
E793_574,NA,0.71895,NA
E936_318,0.39774,NA,NA
E599_511,NA,NA,0.6399
E36_524,0.65621,NA,NA
E636_112,NA,NA,0.13927
E97_343,NA,0.42911,NA
E687_724,NA,0.90715,NA
E393_90,0.11167,NA,NA
E117_514,0.64366,NA,NA
E799_71,NA,NA,0.08783
E18_219,NA,0.27353,NA
E906_424,0.53074,NA,NA
E230_740,NA,NA,0.92723
E751_415,NA,0.51945,NA
E980_605,NA,NA,0.75784
E838_466,0.58344,NA,NA
E189_300,NA,NA,0.37516
E679_363,NA,0.4542,NA
E265_623,0.78043,NA,NA
E918_72,NA,NA,0.08908
E3_344,NA,0.43036,NA
E518_735,0.92095,NA,NA
E681_736,NA,NA,0.92221
E763_98,NA,0.12171,NA
E771_34,NA,0.04141,NA
E4_466,0.58344,NA,NA
E727_104,NA,0.12923,NA
E688_4,NA,0.00376,NA
E508_573,NA,NA,0.71769
E911_194,NA,0.24216,NA
E59_399,NA,0.49937,NA
E345_311,NA,0.38896,NA
E835_346,0.43287,NA,NA
E938_709,NA,NA,0.88833
E840_235,NA,0.2936,NA
E83_515,NA,0.64492,NA
E620_682,NA,NA,0.85445
E722_735,NA,NA,0.92095
E682_21,NA,0.02509,NA
E89_312,NA,0.39021,NA
E21_772,NA,0.96738,NA
E360_621,NA,0.77792,NA
E873_97,0.12045,NA,NA
E76_752,NA,NA,0.94228
E995_582,0.72898,NA,NA
E20_284,NA,NA,0.35508
E576_787,NA,NA,0.9862
E156_669,0.83814,NA,NA
E863_703,NA,0.8808,NA
E781_340,NA,0.42535,NA
E150_490,NA,NA,0.61355
E589_359,NA,NA,0.44918
E745_242,NA,0.30238,NA
E950_548,NA,0.68632,NA
E729_420,NA,0.52572,NA
E373_496,NA,0.62108,NA
E444_727,0.91092,NA,NA
E939_407,NA,NA,0.50941
E592_745,NA,0.9335,NA
E80_320,NA,0.40025,NA
E72_226,NA,0.28231,NA
E715_772,NA,0.96738,NA
E955_599,0.75031,NA,NA
E233_719,0.90088,NA,NA
E441_214,0.26725,NA,NA
E166_693,NA,NA,0.86826
E353_477,NA,0.59724,NA
E238_192,0.23965,NA,NA
E673_386,0.48306,NA,NA
E802_771,NA,0.96612,NA
E717_295,0.36888,NA,NA
E412_494,NA,NA,0.61857
E572_38,NA,0.04642,NA
E324_664,NA,0.83187,NA
E966_711,0.89084,NA,NA
E410_182,NA,NA,0.2271
E436_290,0.36261,NA,NA
E686_724,NA,NA,0.90715
E391_98,NA,0.12171,NA
E437_741,NA,0.92848,NA
E816_322,NA,0.40276,NA
E657_457,0.57215,NA,NA
E249_28,NA,NA,0.03388
E70_204,NA,NA,0.25471
E503_214,NA,0.26725,NA
E306_704,NA,0.88206,NA
E182_762,0.95483,NA,NA
E641_8,NA,0.00878,NA
E703_374,NA,0.46801,NA
E774_764,NA,NA,0.95734
E115_500,NA,0.6261,NA
E111_78,0.09661,NA,NA
E821_157,NA,0.19573,NA
E108_38,NA,0.04642,NA
E612_114,NA,0.14178,NA
E874_483,NA,0.60477,NA
E704_200,0.24969,NA,NA
E935_538,0.67378,NA,NA
E387_13,NA,NA,0.01506
E489_437,NA,NA,0.54705
E25_636,0.79674,NA,NA
E346_186,0.23212,NA,NA
E560_569,NA,0.71267,NA
E604_108,0.13425,NA,NA
E631_7,NA,NA,0.00753
E956_393,0.49184,NA,NA
E787_456,0.57089,NA,NA
E350_688,NA,NA,0.86198
E170_267,0.33375,NA,NA
E142_623,NA,NA,0.78043
E114_276,NA,0.34504,NA
E338_23,NA,0.0276,NA
E481_668,NA,0.83689,NA
E678_97,NA,NA,0.12045
E632_246,NA,NA,0.3074
E228_684,NA,NA,0.85696
E737_309,0.38645,NA,NA
E262_728,0.91217,NA,NA
E845_193,NA,0.2409,NA
E940_651,NA,0.81556,NA
E997_164,NA,NA,0.20452
E295_51,NA,0.06274,NA
E697_55,0.06775,NA,NA
E755_161,0.20075,NA,NA
E439_487,NA,0.60979,NA
E281_213,NA,0.266,NA
E593_22,NA,0.02635,NA
E818_142,0.17691,NA,NA
E708_450,0.56336,NA,NA
E15_635,NA,0.79548,NA
E181_52,NA,0.06399,NA
E188_317,NA,NA,0.39649
E698_653,NA,0.81807,NA
E951_513,NA,NA,0.64241
E813_770,NA,0.96487,NA
E192_215,0.26851,NA,NA
E622_4,NA,0.00376,NA
E776_220,NA,NA,0.27478
E962_174,NA,0.21706,NA
E861_607,NA,0.76035,NA
E883_567,NA,0.71016,NA
E827_35,NA,0.04266,NA
E825_507,NA,0.63488,NA
E831_393,NA,NA,0.49184
E90_786,0.98494,NA,NA
E399_547,NA,NA,0.68507
E406_619,NA,0.77541,NA
E184_775,NA,0.97114,NA
