num_vars,seed,true_edges,edge_density,max_eigenvalue_real,DirectSF2M_AUROC,DirectSF2M_AUPRC,DirectSF2M_training_time,DirectSF2M_num_true_edges,hparam_n_steps,hparam_batch_size,hparam_reg,hparam_alpha,hparam_lr,hparam_knockout_hidden,config_id,experiment_id,total_experiments
10,962,25,0.25,0.7146712559397453,0.7765333333333333,0.5764584231653376,3.891787052154541,25,1000,64,1e-06,0.1,0.001,128,0,1,648
10,283,27,0.27,0.9467484666911842,0.8181126331811264,0.6552849693614462,3.9701502323150635,27,1000,64,1e-06,0.1,0.001,128,0,2,648
10,165,27,0.27,0.9963180699495502,0.8665651953323187,0.7339247021380928,3.883580207824707,27,1000,64,1e-06,0.1,0.001,128,0,3,648
10,962,25,0.25,0.7146712559397453,0.8269333333333333,0.603627513156717,5.1656413078308105,25,1000,64,1e-06,0.1,0.001,256,1,4,648
10,283,27,0.27,0.9467484666911842,0.8483003551496702,0.6754893044459476,5.299701929092407,27,1000,64,1e-06,0.1,0.001,256,1,5,648
10,165,27,0.27,0.9963180699495502,0.8992897006595637,0.7519879760767774,5.62412428855896,27,1000,64,1e-06,0.1,0.001,256,1,6,648
10,962,25,0.25,0.7146712559397453,0.7706666666666667,0.5743832736908298,3.903141975402832,25,1000,64,1e-06,0.1,0.003,128,2,7,648
10,283,27,0.27,0.9467484666911842,0.8551496702181633,0.6802045447606863,4.115484714508057,27,1000,64,1e-06,0.1,0.003,128,2,8,648
10,165,27,0.27,0.9963180699495502,0.9099441907661086,0.7732492079511566,3.90280818939209,27,1000,64,1e-06,0.1,0.003,128,2,9,648
10,962,25,0.25,0.7146712559397453,0.7994666666666667,0.5930991385878086,5.081916093826294,25,1000,64,1e-06,0.1,0.003,256,3,10,648
10,283,27,0.27,0.9467484666911842,0.8713850837138508,0.7213025794347163,5.33602499961853,27,1000,64,1e-06,0.1,0.003,256,3,11,648
10,165,27,0.27,0.9963180699495502,0.9147640791476408,0.7820528473813335,5.161586046218872,27,1000,64,1e-06,0.1,0.003,256,3,12,648
10,962,25,0.25,0.7146712559397453,0.7784000000000001,0.5862724168457668,3.6841421127319336,25,1000,64,1e-06,0.1,0.005,128,4,13,648
