timepoint,w_dist_ode,w_dist_sde,mmd2_ode,mmd2_sde,held_out_ko,held_out_ko_idx,model_type,seed,dataset_type
1,1.475090011126665,1.475090011126665,0.28247082233428955,0.28247082233428955,,0,rf,42,Synthetic
2,1.4948254193880195,1.4948254193880195,0.19367051124572754,0.19367051124572754,,0,rf,42,Synthetic
3,1.1406660032690907,1.1406660032690907,0.1264653205871582,0.1264653205871582,,0,rf,42,Synthetic
4,0.5337631242897795,0.5337631242897795,0.00442814826965332,0.00442814826965332,,0,rf,42,Synthetic
1,1.4969782849660593,1.4969782849660593,0.32148122787475586,0.32148122787475586,g7,1,rf,42,Synthetic
2,1.4397422959841721,1.4397422959841721,0.2043977975845337,0.2043977975845337,g7,1,rf,42,Synthetic
3,1.0882297023510372,1.0882297023510372,0.12528395652770996,0.12528395652770996,g7,1,rf,42,Synthetic
4,0.41303369572042026,0.41303369572042026,0.002111196517944336,0.002111196517944336,g7,1,rf,42,Synthetic
1,1.379288479130213,1.379288479130213,0.26984500885009766,0.26984500885009766,g6,2,rf,42,Synthetic
2,1.439239914217294,1.439239914217294,0.21365368366241455,0.21365368366241455,g6,2,rf,42,Synthetic
3,0.9898253274746245,0.9898253274746245,0.10569071769714355,0.10569071769714355,g6,2,rf,42,Synthetic
4,0.41399930157935966,0.41399930157935966,0.004452824592590332,0.004452824592590332,g6,2,rf,42,Synthetic
1,1.5294290038603198,1.5294290038603198,0.3184701204299927,0.3184701204299927,g8,3,rf,42,Synthetic
2,1.4256632278282357,1.4256632278282357,0.18833065032958984,0.18833065032958984,g8,3,rf,42,Synthetic
3,1.113915152444769,1.113915152444769,0.1277071237564087,0.1277071237564087,g8,3,rf,42,Synthetic
4,0.4159961771979853,0.4159961771979853,0.002250075340270996,0.002250075340270996,g8,3,rf,42,Synthetic
1,1.4573468037408275,1.4573468037408275,0.3035726547241211,0.3035726547241211,g4,4,rf,42,Synthetic
2,1.4220527045369888,1.4220527045369888,0.19843554496765137,0.19843554496765137,g4,4,rf,42,Synthetic
3,1.0872931987171197,1.0872931987171197,0.13442742824554443,0.13442742824554443,g4,4,rf,42,Synthetic
4,0.3737530398006375,0.3737530398006375,0.0020723342895507812,0.0020723342895507812,g4,4,rf,42,Synthetic
1,0.2565715269752296,0.2565715269752296,0.005249977111816406,0.005249977111816406,g3,5,rf,42,Synthetic
2,0.10541336873643964,0.10541336873643964,5.555152893066406e-05,5.555152893066406e-05,g3,5,rf,42,Synthetic
3,0.10327364127647536,0.10327364127647536,0.00010657310485839844,0.00010657310485839844,g3,5,rf,42,Synthetic
4,0.09676957195897759,0.09676957195897759,2.586841583251953e-05,2.586841583251953e-05,g3,5,rf,42,Synthetic
1,0.12683254024377846,0.12683254024377846,0.0004978179931640625,0.0004978179931640625,g2,6,rf,42,Synthetic
2,0.07674590087892706,0.07674590087892706,5.447864532470703e-05,5.447864532470703e-05,g2,6,rf,42,Synthetic
3,0.07300384305989958,0.07300384305989958,9.226799011230469e-05,9.226799011230469e-05,g2,6,rf,42,Synthetic
4,0.07508627322833016,0.07508627322833016,9.012222290039062e-05,9.012222290039062e-05,g2,6,rf,42,Synthetic
1,1.4488215169701022,1.4488215169701022,0.2910749912261963,0.2910749912261963,g5,7,rf,42,Synthetic
2,1.5182322338676209,1.5182322338676209,0.2203744649887085,0.2203744649887085,g5,7,rf,42,Synthetic
3,1.0970262114398717,1.0970262114398717,0.13170576095581055,0.13170576095581055,g5,7,rf,42,Synthetic
4,0.5165075820598275,0.5165075820598275,0.00402069091796875,0.00402069091796875,g5,7,rf,42,Synthetic
