timepoint,w_dist_ode,w_dist_sde,mmd2_ode,mmd2_sde,held_out_ko,held_out_ko_idx,model_type,seed,dataset_type
1,1.089440367259103,1.077372604007988,0.12864482402801514,0.12919116020202637,,0,sf2m,42,Synthetic
2,1.1117386897547632,1.0424791689978514,0.06653714179992676,0.05401957035064697,,0,sf2m,42,Synthetic
3,0.62029286341708,0.7277754777111769,0.02605593204498291,0.03995013236999512,,0,sf2m,42,Synthetic
4,0.5091547437169566,0.5146006807918034,0.007607102394104004,0.010306477546691895,,0,sf2m,42,Synthetic
1,1.0883241985861238,1.1044421137796399,0.15179765224456787,0.16373062133789062,g7,1,sf2m,42,Synthetic
2,1.0884081100688356,1.0141738006941379,0.07615876197814941,0.06355524063110352,g7,1,sf2m,42,Synthetic
3,0.6171074349619955,0.7048862514646012,0.024443387985229492,0.03805232048034668,g7,1,sf2m,42,Synthetic
4,0.4623483332504354,0.4966961883974396,0.009859323501586914,0.01321399211883545,g7,1,sf2m,42,Synthetic
1,1.057843385387008,1.1492320447164237,0.14181804656982422,0.18886959552764893,g6,2,sf2m,42,Synthetic
2,1.0039605378634917,0.9737526864755993,0.06956648826599121,0.061257243156433105,g6,2,sf2m,42,Synthetic
3,0.42070997308259933,0.547404590298496,0.011641860008239746,0.018773198127746582,g6,2,sf2m,42,Synthetic
4,0.32928491444669244,0.3776798941341873,0.005200028419494629,0.010357856750488281,g6,2,sf2m,42,Synthetic
1,1.168487854945825,1.2748782862914927,0.16078603267669678,0.21832549571990967,g8,3,sf2m,42,Synthetic
2,1.0483781761849194,0.973948595459736,0.06655597686767578,0.0465548038482666,g8,3,sf2m,42,Synthetic
3,0.6269258153772028,0.7075693285708734,0.03209531307220459,0.03613293170928955,g8,3,sf2m,42,Synthetic
4,0.47987498265593026,0.5534688180666117,0.010209441184997559,0.023549556732177734,g8,3,sf2m,42,Synthetic
1,1.0708702038824687,1.2060252527761337,0.14329195022583008,0.20986402034759521,g4,4,sf2m,42,Synthetic
2,0.9766479757173656,0.9494417128375409,0.05594015121459961,0.04773151874542236,g4,4,sf2m,42,Synthetic
3,0.5186367398616439,0.5936696373900837,0.022271394729614258,0.025947213172912598,g4,4,sf2m,42,Synthetic
4,0.2855408188349561,0.3987230623532678,0.005120754241943359,0.016264796257019043,g4,4,sf2m,42,Synthetic
1,0.334702477978484,0.6459758171817892,0.020022869110107422,0.09324729442596436,g3,5,sf2m,42,Synthetic
2,0.3393351361060695,0.6156577423786028,0.0195772647857666,0.087502121925354,g3,5,sf2m,42,Synthetic
3,0.34786691025423233,0.6269361622842039,0.021959781646728516,0.09104049205780029,g3,5,sf2m,42,Synthetic
4,0.34757741220011845,0.6127315069302254,0.02179241180419922,0.08711481094360352,g3,5,sf2m,42,Synthetic
1,0.21140606463622397,0.2544984454029301,0.004389524459838867,0.012156963348388672,g2,6,sf2m,42,Synthetic
2,0.2038722279599358,0.24868749108628974,0.004218459129333496,0.01245582103729248,g2,6,sf2m,42,Synthetic
3,0.20020461847981574,0.25245782164732916,0.0044710636138916016,0.013073325157165527,g2,6,sf2m,42,Synthetic
4,0.20870907702975922,0.2495365188302714,0.004672050476074219,0.012517213821411133,g2,6,sf2m,42,Synthetic
1,1.1905243557118306,1.2488294724790179,0.18295526504516602,0.21888387203216553,g5,7,sf2m,42,Synthetic
2,1.140095729107641,1.0811199428467302,0.10065281391143799,0.07501065731048584,g5,7,sf2m,42,Synthetic
3,0.46513566703403414,0.5694707628473886,0.016409754753112793,0.021227717399597168,g5,7,sf2m,42,Synthetic
4,0.49045320531922754,0.4964444918429351,0.006860613822937012,0.01126718521118164,g5,7,sf2m,42,Synthetic
