num_vars,seed,true_edges,edge_density,max_eigenvalue_real,NGM-NODE_AUROC,NGM-NODE_AUPRC,NGM-NODE_training_time,NGM-NODE_num_true_edges,hparam_n_steps,hparam_lr,hparam_gl_reg,hparam_hidden_dim,hparam_batch_size,config_id,experiment_id,total_experiments
10,451,26,0.26,0.9619140726704427,0.6993243243243243,0.45110183623182987,68.87703394889832,26,2000,0.001,0.05,128,64,0,1,27
10,217,12,0.12,0.5777858426075249,0.8508522727272727,0.4710626301802772,72.44901919364929,12,2000,0.001,0.05,128,64,0,2,27
10,407,20,0.2,1.0874072530050127,0.79125,0.5869367966415391,61.07894802093506,20,2000,0.001,0.05,128,64,0,3,27
10,451,26,0.26,0.9619140726704427,0.5725051975051975,0.3074777892813927,58.73619723320007,26,2000,0.005,0.05,128,64,1,4,27
10,217,12,0.12,0.5777858426075249,0.853219696969697,0.45460743934428144,58.77306604385376,12,2000,0.005,0.05,128,64,1,5,27
10,407,20,0.2,1.0874072530050127,0.7309375,0.5190757568884504,59.65560293197632,20,2000,0.005,0.05,128,64,1,6,27
10,451,26,0.26,0.9619140726704427,0.5348232848232848,0.27214684289527824,59.33970808982849,26,2000,0.01,0.05,128,64,2,7,27
10,217,12,0.12,0.5777858426075249,0.8404356060606061,0.3360677348472924,62.85370111465454,12,2000,0.01,0.05,128,64,2,8,27
10,407,20,0.2,1.0874072530050127,0.6971875,0.49822449857372547,58.8130841255188,20,2000,0.01,0.05,128,64,2,9,27
10,451,26,0.26,0.9619140726704427,0.7024428274428274,0.41613381555533363,126.37695908546448,26,4000,0.001,0.05,128,64,3,10,27
10,217,12,0.12,0.5777858426075249,0.8214962121212122,0.36553030303030304,130.9472041130066,12,4000,0.001,0.05,128,64,3,11,27
10,407,20,0.2,1.0874072530050127,0.803125,0.5191900008411199,131.20149302482605,20,4000,0.001,0.05,128,64,3,12,27
10,451,26,0.26,0.9619140726704427,0.6977650727650727,0.4140341675514505,133.66832304000854,26,4000,0.005,0.05,128,64,4,13,27
10,217,12,0.12,0.5777858426075249,0.7774621212121211,0.27569962042788126,127.03569483757019,12,4000,0.005,0.05,128,64,4,14,27
10,407,20,0.2,1.0874072530050127,0.809375,0.5409909105641514,124.69783616065979,20,4000,0.005,0.05,128,64,4,15,27
10,451,26,0.26,0.9619140726704427,0.7071205821205822,0.42492458037145375,127.88476490974426,26,4000,0.01,0.05,128,64,5,16,27
10,217,12,0.12,0.5777858426075249,0.7495265151515151,0.3433865753582744,123.89733934402466,12,4000,0.01,0.05,128,64,5,17,27
10,407,20,0.2,1.0874072530050127,0.6499999999999999,0.27224001787986785,119.00834107398987,20,4000,0.01,0.05,128,64,5,18,27
10,451,26,0.26,0.9619140726704427,0.6413721413721414,0.37319932924407573,174.56638097763062,26,6000,0.001,0.05,128,64,6,19,27
10,217,12,0.12,0.5777858426075249,0.881628787878788,0.4883509925709414,191.7622058391571,12,6000,0.001,0.05,128,64,6,20,27
10,407,20,0.2,1.0874072530050127,0.7609375,0.5115859487734488,181.76870822906494,20,6000,0.001,0.05,128,64,6,21,27
10,451,26,0.26,0.9619140726704427,0.6172037422037422,0.3915126278219586,165.28422594070435,26,6000,0.005,0.05,128,64,7,22,27
10,217,12,0.12,0.5777858426075249,0.7869318181818181,0.38888284088154185,160.0300259590149,12,6000,0.005,0.05,128,64,7,23,27
10,407,20,0.2,1.0874072530050127,0.7171875,0.4416303275038214,163.55422186851501,20,6000,0.005,0.05,128,64,7,24,27
10,451,26,0.26,0.9619140726704427,0.6122661122661123,0.3645047919226341,164.71299290657043,26,6000,0.01,0.05,128,64,8,25,27
10,217,12,0.12,0.5777858426075249,0.7357954545454545,0.24680323546422614,163.68116402626038,12,6000,0.01,0.05,128,64,8,26,27
10,407,20,0.2,1.0874072530050127,0.756875,0.3832729949262207,165.2168731689453,20,6000,0.01,0.05,128,64,8,27,27
